Time t / s,Voltage U_B1 / V,Voltage U_A1 / V
0,0,0.015
0.02,-0.015,0.015
0.04,0,0.015
0.06,0,0.015
0.08,-0.015,0.015
0.1,0,0.015
0.12,0,0.015
0.14,0,0.015
0.16,-0.015,0.015
0.18,0,0.015
0.2,-0.015,0.015
0.22,-0.015,0.015
0.24,0,0.015
0.26,0,0.015
0.28,0,0.015
0.3,-0.015,0.015
0.32,0,0.015
0.34,0,0.015
0.36,-0.015,0.015
0.38,-0.015,0.015
0.4,0,0.015
0.42,0,0.015
0.44,0,0.015
0.46,0,0.015
0.48,-0.015,0.015
0.5,0,0.015
0.52,0,0.015
0.54,-0.015,0.015
0.56,0,0.015
0.58,0,0.015
0.6,-0.015,0.015
0.62,0,0.015
0.64,0,0.015
0.66,0,0.015
0.68,-0.015,0.015
0.7,0,0
0.72,0,0.015
0.74,0,0.015
0.76,-0.015,0.015
0.78,0,0.015
0.8,0,0.015
0.82,-0.015,0.015
0.84,0,0.03
0.86,-0.015,0.015
0.88,0,0.015
0.9,0,0.015
0.92,0,0.015
0.94,-0.015,0.015
0.96,0,0.015
0.98,-0.015,0.015
1,0,0.015
1.02,0,0.03
1.04,0,0.015
1.06,0,0.03
1.08,0,0.015
1.1,0,0.015
1.12,-0.015,0.015
1.14,-0.015,0.015
1.16,-0.015,0.015
1.18,0,0.015
1.2,0,0.015
1.22,0,0.03
1.24,0,0.03
1.26,0,0.03
1.28,0,0.015
1.3,-0.015,0.015
1.32,0,0.015
1.34,0,0.03
1.36,0,0.015
1.38,-0.015,0.015
1.4,0,0.015
1.42,0,0.015
1.44,0,0.015
1.46,-0.015,0.015
1.48,-0.015,0.015
1.5,-0.015,0.015
1.52,-0.015,0.015
1.54,0,0.015
1.56,-0.015,0.03
1.58,-0.015,0.015
1.6,0,0.015
1.62,0,0.03
1.64,-0.015,0.03
1.66,-0.015,0.015
1.68,0,0.015
1.7,0,0.015
1.72,-0.015,0.015
1.74,0,0.03
1.76,-0.015,0.015
1.78,0,0.015
1.8,0,0.015
1.82,0,0.03
1.84,0,0.03
1.86,0,0.015
1.88,0,0.015
1.9,-0.015,0.015
1.92,0,0.015
1.94,0,0.015
1.96,0,0.09
1.98,0,0.015
2,0,0.015
2.02,-0.015,0.015
2.04,0,0.015
2.06,-0.015,0.03
2.08,-0.015,0.03
2.1,0,0.015
2.12,-0.015,0.03
2.14,-0.015,0.03
2.16,0,0.03
2.18,-0.015,0.03
2.2,0,0.03
2.22,0,0.015
2.24,0,0.03
2.26,0,0.03
2.28,-0.015,0.03
2.3,0,0.03
2.32,-0.015,0.015
2.34,-0.015,0.03
2.36,0,0.03
2.38,-0.015,0.015
2.4,0,0.03
2.42,0,0.03
2.44,0,0.03
2.46,0,0.03
2.48,3.195,12.615
2.5,0,-0.03
2.52,0.015,0
2.54,0.015,0.015
2.56,0.015,0.03
2.58,0.015,0.03
2.6,0.03,0.03
2.62,0.03,0.03
2.64,0.045,0.045
2.66,0.045,0.045
2.68,0.045,0.045
2.7,0.06,0.045
2.72,0.06,0.045
2.74,0.06,0.045
2.76,0.075,0.045
2.78,0.075,0.045
2.8,0.09,0.045
2.82,0.09,0.045
2.84,0.09,0.06
2.86,0.105,0.06
2.88,0.12,0.06
2.9,0.105,0.06
2.92,0.12,0.06
2.94,0.135,0.045
2.96,0.135,0.075
2.98,0.135,0.06
3,0.135,0.075
3.02,0.15,0.075
3.04,0.15,0.075
3.06,0.165,0.075
3.08,0.165,0.09
3.1,0.18,0.09
3.12,0.18,0.09
3.14,0.18,0.105
3.16,0.18,0.12
3.18,0.195,0.12
3.2,0.195,0.12
3.22,0.21,0.135
3.24,0.21,0.135
3.26,0.21,0.135
3.28,0.225,0.15
3.3,0.24,0.165
3.32,0.24,0.18
3.34,0.24,0.195
3.36,0.255,0.21
3.38,0.24,0.21
3.4,0.255,0.225
3.42,0.27,0.24
3.44,0.27,0.255
3.46,0.285,0.255
3.48,0.285,0.27
3.5,0.285,0.285
3.52,0.3,0.3
3.54,0.3,0.3
3.56,0.3,0.3
3.58,0.315,0.3
3.6,0.315,0.285
3.62,0.315,0.24
3.64,0.33,0.27
3.66,0.33,0.27
3.68,0.345,0.255
3.7,0.345,0.24
3.72,0.345,0.24
3.74,0.36,0.21
3.76,0.36,0.195
3.78,0.375,0.18
3.8,0.375,0.18
3.82,0.375,0.165
3.84,0.39,0.15
3.86,0.39,0.15
3.88,0.39,0.135
3.9,0.405,0.135
3.92,0.405,0.12
3.94,0.42,0.12
3.96,0.435,0.105
3.98,0.42,0.105
4,0.435,0.105
4.02,0.435,0.105
4.04,0.45,0.105
4.06,0.45,0.105
4.08,0.45,0.09
4.1,0.465,0.105
4.12,0.465,0.105
4.14,0.48,0.09
4.16,0.48,0.09
4.18,0.495,0.09
4.2,0.495,0.09
4.22,0.495,0.105
4.24,0.51,0.105
4.26,0.51,0.105
4.28,0.51,0.12
4.3,0.51,0.105
4.32,0.525,0.12
4.34,0.54,0.135
4.36,0.525,0.12
4.38,0.54,0.135
4.4,0.555,0.15
4.42,0.555,0.165
4.44,0.555,0.165
4.46,0.555,0.18
4.48,0.57,0.195
4.5,0.57,0.21
4.52,0.585,0.225
4.54,0.585,0.24
4.56,0.585,0.255
4.58,0.6,0.27
4.6,0.615,0.3
4.62,0.615,0.33
4.64,0.615,0.345
4.66,0.63,0.36
4.68,0.615,0.39
4.7,0.63,0.42
4.72,0.63,0.45
4.74,0.645,0.48
4.76,0.645,0.51
4.78,0.66,0.525
4.8,0.66,0.555
4.82,0.66,0.6
4.84,0.675,0.63
4.86,0.675,0.675
4.88,0.675,0.705
4.9,0.69,0.75
4.92,0.705,0.78
4.94,0.705,0.825
4.96,0.705,0.855
4.98,0.72,0.9
5,0.72,0.945
5.02,0.735,0.99
5.04,0.735,1.035
5.06,0.735,1.08
5.08,0.735,1.125
5.1,0.75,1.185
5.12,0.75,1.215
5.14,0.75,1.26
5.16,0.765,1.29
5.18,0.765,1.32
5.2,0.78,1.335
