Time t / s,Voltage U_A1 / V,Voltage U_B1 / V
0,0.015,0.01
0.02,0.015,0.01
0.04,0.015,0.015
0.06,0,0.01
0.08,0,0.01
0.1,0,0.01
0.12,0,0.01
0.14,0.015,0.01
0.16,0.015,0.015
0.18,0,0.01
0.2,0,0.01
0.22,0.015,0.01
0.24,0,0.01
0.26,0.015,0.01
0.28,0,0.01
0.3,0.015,0.01
0.32,0.015,0.01
0.34,0,0.01
0.36,0.015,0.01
0.38,0,0.01
0.4,0,0.01
0.42,0,0.01
0.44,0,0.01
0.46,0,0.01
0.48,0,0.01
0.5,0.015,0.01
0.52,0.015,0.01
0.54,0,0.01
0.56,0.015,0.01
0.58,0.015,0.01
0.6,0,0.015
0.62,0,0.01
0.64,0,0.01
0.66,0,0.01
0.68,0,0.01
0.7,0,0.01
0.72,0,0.01
0.74,0,0.01
0.76,0,0.01
0.78,0.015,0.01
0.8,0,0.01
0.82,0,0.01
0.84,0,0.01
0.86,0,0.01
0.88,0,0.01
0.9,0,0.01
0.92,0,0.01
0.94,0.015,0.01
0.96,0,0.01
0.98,0,0.015
1,0.015,0.01
1.02,0.015,0.01
1.04,0,0.01
1.06,0.015,0.01
1.08,0,0.01
1.1,0,0.01
1.12,0,0.01
1.14,0,0.01
1.16,0,0.01
1.18,0.015,0.06
1.2,-0.015,0.015
1.22,0,0.02
1.24,0.015,0.03
1.26,0,0.035
1.28,0,0.04
1.3,0,0.045
1.32,0,0.05
1.34,0,0.055
1.36,0.015,0.06
1.38,0,0.065
1.4,0.015,0.07
1.42,0.015,0.075
1.44,0,0.08
1.46,0.015,0.085
1.48,0.015,0.09
1.5,0.015,0.095
1.52,0.015,0.1
1.54,0,0.105
1.56,0.015,0.11
1.58,0,0.115
1.6,0.015,0.12
1.62,0.015,0.125
1.64,0.015,0.13
1.66,0.015,0.135
1.68,0.015,0.14
1.7,0.015,0.145
1.72,0.015,0.15
1.74,0.015,0.155
1.76,0.015,0.16
1.78,0.015,0.165
1.8,0.015,0.165
1.82,0.015,0.175
1.84,0.015,0.18
1.86,0.015,0.18
1.88,0.015,0.19
1.9,0.015,0.19
1.92,0.015,0.2
1.94,0.015,0.2
1.96,0.015,0.21
1.98,0.03,0.21
2,0.03,0.22
2.02,0.03,0.22
2.04,0.03,0.225
2.06,0.045,0.235
2.08,0.045,0.235
2.1,0.045,0.245
2.12,0.06,0.25
2.14,0.06,0.25
2.16,0.06,0.26
2.18,0.075,0.265
2.2,0.075,0.265
2.22,0.09,0.27
2.24,0.105,0.28
2.26,0.105,0.285
2.28,0.12,0.285
2.3,0.135,0.295
2.32,0.135,0.3
2.34,0.15,0.305
2.36,0.18,0.31
2.38,0.18,0.31
2.4,0.195,0.315
2.42,0.21,0.32
2.44,0.24,0.325
2.46,0.24,0.33
2.48,0.27,0.335
2.5,0.3,0.34
2.52,0.315,0.345
2.54,0.33,0.35
2.56,0.36,0.355
2.58,0.39,0.36
2.6,0.405,0.365
2.62,0.42,0.37
2.64,0.33,0.375
2.66,0.135,0.385
2.68,0.495,0.385
2.7,-0.03,0.39
2.72,-0.045,0.395
2.74,0.18,0.4
2.76,0.015,0.405
2.78,0.03,0.41
2.8,0.435,0.415
2.82,0.36,0.42
2.84,0.54,0.425
2.86,0.69,0.43
2.88,0.345,0.435
2.9,0.45,0.44
2.92,0.36,0.445
2.94,0.255,0.45
2.96,0.27,0.455
2.98,0.225,0.46
3,0.195,0.465
3.02,0.18,0.47
3.04,0.135,0.48
3.06,0.135,0.48
3.08,0.12,0.485
3.1,0.105,0.49
3.12,0.06,0.495
3.14,0.075,0.5
3.16,0.06,0.505
3.18,0.06,0.51
3.2,0.045,0.51
3.22,0.03,0.52
3.24,0.045,0.525
3.26,0.03,0.53
3.28,0.03,0.535
3.3,0.03,0.54
3.32,0.03,0.545
3.34,0.03,0.55
3.36,0.03,0.555
3.38,0.03,0.56
3.4,0.03,0.565
3.42,0.03,0.57
3.44,0.03,0.575
3.46,0.03,0.58
3.48,0.03,0.585
3.5,0.03,0.59
3.52,0.045,0.595
3.54,0.045,0.6
3.56,0.045,0.605
3.58,0.06,0.61
3.6,0.06,0.615
3.62,0.075,0.62
3.64,0.09,0.625
3.66,0.09,0.63
3.68,0.105,0.635
