Time t / s,Voltage U_A1 / V,Voltage U_B1 / V
0,0.003,0.0075
0.02,0.003,0.0075
0.04,0.003,0.0075
0.06,0.003,0.009
0.08,0.0045,0.009
0.1,0.0045,0.009
0.12,0.0045,0.0075
0.14,0.003,0.009
0.16,0.003,0.009
0.18,0.003,0.0075
0.2,0.003,0.0075
0.22,0.003,0.0075
0.24,0.003,0.0075
0.26,0.003,0.009
0.28,0.003,0.009
0.3,0.003,0.009
0.32,0.0045,0.0075
0.34,0.003,0.0075
0.36,0.003,0.0075
0.38,0.003,0.009
0.4,0.003,0.0075
0.42,0.003,0.0075
0.44,0.003,0.0075
0.46,0.003,0.009
0.48,0.003,0.0075
0.5,0.0045,0.0075
0.52,0.003,0.0075
0.54,0.0015,0.0075
0.56,0.0015,0.009
0.58,0.003,0.009
0.6,0.0015,0.0075
0.62,0.003,0.0075
0.64,0.003,0.0075
0.66,0.0015,0.009
0.68,0.003,0.009
0.7,0.003,0.0075
0.72,0.003,0.0075
0.74,0.0015,0.0075
0.76,0.0015,0.0075
0.78,0.0015,0.009
0.8,0.003,0.0075
0.82,0.0015,0.0075
0.84,0.003,0.0075
0.86,0.0015,0.0075
0.88,0.003,0.009
0.9,0.003,0.009
0.92,0.003,0.009
0.94,0.003,0.0075
0.96,0.003,0.0075
0.98,-0.021,0.0075
1,0.003,0.009
1.02,0.003,0.0075
1.04,0,0.0075
1.06,0.003,0.009
1.08,0.003,0.009
1.1,0.003,0.009
1.12,0.003,0.009
1.14,0.003,0.0075
1.16,0.0015,0.0075
1.18,0.0015,0.009
1.2,0.0015,0.0075
1.22,0.0015,0.0075
1.24,0.0015,0.0075
1.26,0.0015,0.0075
1.28,0.003,0.0075
1.3,0.0015,0.009
1.32,0.0015,0.009
1.34,0.003,0.009
1.36,0.0015,0.0075
1.38,0.0015,0.009
1.4,0.0015,0.009
1.42,0.0015,0.0075
1.44,0.0015,0.0075
1.46,0.0015,0.0075
1.48,0.0015,0.0075
1.5,0.003,0.009
1.52,0.0015,0.009
1.54,0.0015,0.0075
1.56,3.072,3.072
1.58,-0.0315,0.012
1.6,-0.0105,0.018
1.62,-0.0015,0.0225
1.64,0,0.027
1.66,0.003,0.033
1.68,0.0045,0.0375
1.7,0.003,0.045
1.72,0.0045,0.0495
1.74,0.006,0.0525
1.76,0.006,0.0585
1.78,0.0045,0.063
1.8,0.0045,0.069
1.82,0.006,0.0735
1.84,0.006,0.078
1.86,0.006,0.0825
1.88,0.006,0.0885
1.9,0.006,0.093
