Time t / s,Voltage U_B1 / V,Voltage U_A1 / V
0,0,0.005
0.02,0,0.01
0.04,0,-0.005
0.06,0,0.005
0.08,0,0.01
0.1,0,0.005
0.12,-0.005,0
0.14,0,0.005
0.16,-0.005,-0.045
0.18,0,0.015
0.2,0,0
0.22,0,0.005
0.24,0,0.005
0.26,-0.005,0.005
0.28,-0.005,0.005
0.3,-0.005,0.005
0.32,0,0.005
0.34,0,0
0.36,0,0.005
0.38,0,0.01
0.4,0,0.005
0.42,-0.005,0
0.44,0,0.005
0.46,0,0.005
0.48,-0.005,0.005
0.5,0,0
0.52,0,0.01
0.54,-0.005,0
0.56,0,0
0.58,0,0.005
0.6,0,0.005
0.62,0,0.005
0.64,0,0
0.66,-0.005,0.005
0.68,0,0.01
0.7,0,0.005
0.72,0,0.005
0.74,-0.005,0.005
0.76,-0.005,0.005
0.78,-0.005,0
0.8,0,0.005
0.82,0,0.005
0.84,0,0
0.86,0,0
0.88,3.19,10.24
0.9,0.005,-0.065
0.92,0.01,-0.025
0.94,0.015,-0.005
0.96,0.02,0.005
0.98,0.025,0.01
1,0.03,0.005
1.02,0.035,0.01
1.04,0.04,0.01
1.06,0.05,0.01
1.08,0.055,0.01
1.1,0.06,0.015
1.12,0.07,0.015
1.14,0.07,0.01
1.16,0.08,0.015
1.18,0.085,0.02
1.2,0.09,0.015
1.22,0.095,0.01
1.24,0.1,0.015
1.26,0.105,0.015
1.28,0.115,0.005
1.3,0.12,0.015
1.32,0.125,0.02
1.34,0.13,0.015
1.36,0.135,0.015
1.38,0.145,0.015
1.4,0.15,0.02
1.42,0.155,0.025
1.44,0.16,0.015
1.46,0.165,0.02
1.48,0.17,0
1.5,0.175,0.015
1.52,0.18,0.02
1.54,0.185,0.025
1.56,0.19,0.025
1.58,0.2,0.025
1.6,0.205,0.025
1.62,0.21,0.03
1.64,0.215,0.03
1.66,0.225,0.025
1.68,0.23,0.035
1.7,0.235,0.035
1.72,0.24,0.035
1.74,0.245,0.04
1.76,0.25,0.04
1.78,0.26,0.04
1.8,0.265,0.045
1.82,0.27,0.045
1.84,0.275,0.06
1.86,0.28,0.05
1.88,0.285,0.05
1.9,0.29,0.055
1.92,0.3,0.07
1.94,0.305,0.055
1.96,0.31,0.06
1.98,0.315,0.065
2,0.32,0.06
2.02,0.325,0.055
2.04,0.33,0.06
2.06,0.335,0.03
2.08,0.34,0.05
2.1,0.35,0.015
2.12,0.355,0.075
2.14,0.36,0.085
2.16,0.365,0.05
2.18,0.375,0.05
2.2,0.38,0.05
2.22,0.385,-0.065
2.24,0.39,0.02
2.26,0.395,0.03
2.28,0.4,0.03
2.3,0.405,0.065
2.32,0.41,0
2.34,0.42,0.005
2.36,0.425,0.065
2.38,0.43,0.015
2.4,0.435,0.055
2.42,0.44,0.015
2.44,0.45,0.01
2.46,0.455,0.055
2.48,0.46,0.025
2.5,0.465,0.005
2.52,0.47,0.025
2.54,0.48,0.015
2.56,0.48,0.045
2.58,0.485,0.07
2.6,0.49,0.03
2.62,0.5,0.01
2.64,0.505,0.03
2.66,0.51,0.035
2.68,0.515,0.075
2.7,0.52,0.05
2.72,0.525,0.03
2.74,0.53,0.3
2.76,0.54,0.1
2.78,0.545,-0.06
2.8,0.55,0.06
2.82,0.555,0.06
2.84,0.56,0.04
2.86,0.565,0.065
2.88,0.575,0.075
2.9,0.58,0.07
2.92,0.585,0.08
2.94,0.59,0.08
2.96,0.595,0.08
2.98,0.605,0.12
3,0.61,0.105
3.02,0.615,0.105
3.04,0.62,0.115
3.06,0.625,0.125
3.08,0.63,0.14
3.1,0.64,0.165
3.12,0.645,0.16
3.14,0.65,0.18
3.16,0.655,0.18
3.18,0.66,0.205
3.2,0.665,0.22
3.22,0.67,0.25
3.24,0.675,0.26
3.26,0.685,0.27
3.28,0.69,0.29
3.3,0.695,0.31
3.32,0.7,0.32
3.34,0.705,0.355
3.36,0.71,0.365
3.38,0.715,0.395
3.4,0.725,0.42
3.42,0.73,0.435
3.44,0.735,0.46
3.46,0.74,0.485
3.48,0.745,0.515
3.5,0.75,0.54
3.52,0.76,0.56
3.54,0.765,0.58
3.56,0.77,0.6
3.58,0.775,0.615
3.6,0.78,0.645
3.62,0.785,0.625
3.64,0.79,0.635
3.66,0.8,0.615
3.68,0.805,0.6
3.7,0.81,0.57
3.72,0.815,0.54
3.74,0.82,0.5
3.76,0.825,0.47
3.78,0.83,0.425
3.8,0.835,0.395
3.82,0.84,0.35
3.84,0.845,0.31
3.86,0.855,0.28
3.88,0.86,0.26
3.9,0.865,0.235
3.92,0.87,0.21
3.94,0.88,0.185
3.96,0.885,0.17
3.98,0.89,0.165
4,0.895,0.15
4.02,0.9,0.135
4.04,0.905,0.125
4.06,0.915,0.115
4.08,0.92,0.11
4.1,0.925,0.11
4.12,0.93,0.1
4.14,0.935,0.09
4.16,0.94,0.085
4.18,0.945,0.085
4.2,0.95,0.085
4.22,0.96,0.085
4.24,0.965,0.075
4.26,0.97,0.08
4.28,0.975,0.08
4.3,0.98,0.085
4.32,0.985,0.085
4.34,0.99,0.095
4.36,0.995,0.095
4.38,1,0.105
4.4,1.01,0.115
4.42,1.015,0.13
4.44,1.02,0.14
4.46,1.025,0.15
4.48,1.03,0.16
4.5,1.04,0.18
4.52,1.045,0.195
4.54,1.05,0.21
4.56,1.055,0.23
4.58,1.06,0.25
4.6,1.065,0.275
4.62,1.07,0.315
4.64,1.08,0.325
4.66,1.085,0.36
4.68,1.09,0.38
4.7,1.095,0.41
4.72,1.1,0.44
4.74,1.105,0.47
4.76,1.11,0.505
4.78,1.12,0.54
4.8,1.125,0.58
4.82,1.13,0.615
4.84,1.135,0.63
4.86,1.14,0.7
4.88,1.145,0.74
4.9,1.15,0.79
4.92,1.155,0.835
4.94,1.16,0.88
4.96,1.17,0.93
4.98,1.175,0.98
5,1.18,1.035
5.02,1.185,1.085
5.04,1.19,1.14
5.06,1.195,1.195
5.08,1.2,1.255
5.1,1.21,1.315
5.12,1.215,1.375
5.14,1.22,1.435
5.16,1.225,1.49
5.18,1.23,1.545
5.2,1.235,1.6
5.22,1.245,1.65
5.24,1.25,1.69
5.26,1.255,1.725
5.28,1.26,1.745
5.3,1.265,1.755
5.32,1.27,1.745
5.34,1.275,1.72
5.36,1.285,1.68
5.38,1.29,1.62
5.4,1.295,1.545
5.42,1.3,1.46
5.44,1.305,1.365
5.46,1.31,1.27
5.48,1.315,1.17
5.5,1.325,1.075
5.52,1.33,1.005
5.54,1.335,0.9
5.56,1.34,0.82
5.58,1.345,0.74
5.6,1.35,0.69
5.62,1.36,0.635
5.64,1.365,0.58
5.66,1.37,0.535
5.68,1.375,0.485
5.7,1.38,0.445
5.72,1.385,0.405
5.74,1.39,0.375
5.76,1.4,0.345
5.78,1.405,0.32
5.8,1.41,0.295
5.82,1.415,0.275
5.84,1.42,0.26
5.86,1.43,0.245
5.88,1.435,0.23
5.9,1.44,0.225
5.92,1.445,0.22
5.94,1.45,0.22
5.96,1.455,0.215
5.98,1.46,0.22
6,1.465,0.225
6.02,1.47,0.23
6.04,1.475,0.245
6.06,1.48,0.255
6.08,1.49,0.27
6.1,1.495,0.305
6.12,1.5,0.31
6.14,1.505,0.33
6.16,1.51,0.355
6.18,1.52,0.375
6.2,1.52,0.405
6.22,1.53,0.435
6.24,1.535,0.47
6.26,1.54,0.505
6.28,1.545,0.545
6.3,1.55,0.595
6.32,1.555,0.63
6.34,1.56,0.675
6.36,1.57,0.725
6.38,1.575,0.775
6.4,1.58,0.825
6.42,1.585,0.885
6.44,1.59,0.945
6.46,1.595,1.02
6.48,1.605,1.07
6.5,1.61,1.135
6.52,1.615,1.205
6.54,1.62,1.28
6.56,1.625,1.34
6.58,1.63,1.425
6.6,1.635,1.505
6.62,1.64,1.59
6.64,1.65,1.67
6.66,1.65,1.76
6.68,1.66,1.845
6.7,1.665,1.935
6.72,1.67,2.03
6.74,1.675,2.125
6.76,1.68,2.225
6.78,1.69,2.315
6.8,1.695,2.415
6.82,1.7,2.515
6.84,1.705,2.615
6.86,1.71,2.71
6.88,1.715,2.81
6.9,1.72,2.89
6.92,1.73,2.96
6.94,1.73,3.025
6.96,1.74,3.08
6.98,1.745,3.115
7,1.75,3.125
7.02,1.755,3.115
7.04,1.76,3.085
7.06,1.765,3.025
7.08,1.775,2.95
7.1,1.78,2.85
7.12,1.78,2.73
7.14,1.79,2.6
7.16,1.795,2.465
7.18,1.8,2.32
7.2,1.805,2.18
7.22,1.81,2.045
