Time t / s,Voltage U_A1 / V,Voltage U_B1 / V
0,0.015,0.0075
0.02,0.006,0.0075
0.04,0.0045,0.0075
0.06,0.0045,0.0075
0.08,0.0015,0.0075
0.1,0.009,0.009
0.12,0.006,0.0075
0.14,0.0075,0.009
0.16,0.0045,0.009
0.18,0.0075,0.009
0.2,0.009,0.0075
0.22,0.0075,0.0075
0.24,0.0075,0.0075
0.26,0.0075,0.009
0.28,0.0075,0.009
0.3,0.0075,0.009
0.32,0.0075,0.009
0.34,0.0075,0.0075
0.36,0.009,0.0075
0.38,0.0045,0.0075
0.4,0.0075,0.0075
0.42,0.0045,0.0075
0.44,0.0045,0.009
0.46,0.006,0.009
0.48,0.0075,0.009
0.5,0.006,0.009
0.52,0.0075,0.0075
0.54,0.0075,0.0075
0.56,0.0045,0.0075
0.58,0.0045,0.0075
0.6,0.0045,0.009
0.62,0.0075,0.0075
0.64,0.006,0.0075
0.66,0.006,0.0075
0.68,0.0045,0.0075
0.7,0.006,0.0075
0.72,0.006,0.0075
0.74,0.0045,0.0075
0.76,0.0045,0.009
0.78,0.0045,0.009
0.8,0.0045,0.0075
0.82,0.0075,0.0075
0.84,0.006,0.0075
0.86,0.0045,0.0075
0.88,0.006,0.0075
0.9,0.006,0.009
0.92,0.006,0.009
0.94,0.0075,0.0075
0.96,0.0045,0.0075
0.98,0.009,0.0075
1,0.0045,0.0075
1.02,0.006,0.0075
1.04,0.0045,0.009
1.06,0.006,0.009
1.08,0.006,0.009
1.1,0.006,0.009
1.12,0.0075,0.0075
1.14,0.006,0.0075
1.16,0.0075,0.0075
1.18,0.006,0.0075
1.2,0.009,0.009
1.22,0.0075,0.009
1.24,0.0075,0.0075
1.26,0.0075,0.0075
1.28,0.0075,0.0075
1.3,0.009,0.0075
1.32,0.0075,0.0075
1.34,0.0075,0.0075
1.36,0.006,0.0075
1.38,0.006,0.009
1.4,-0.0435,0.009
1.42,-0.0105,0.0135
1.44,0.0045,0.0195
1.46,0.0075,0.0255
1.48,0.009,0.03
1.5,0.0105,0.036
1.52,0.0135,0.0405
1.54,0.009,0.045
1.56,0.0135,0.0495
1.58,0.0135,0.054
1.6,0.015,0.06
1.62,0.0105,0.0645
1.64,0.0105,0.0705
1.66,0.012,0.0765
1.68,0.012,0.081
1.7,0.024,0.0855
1.72,0.012,0.0915
1.74,0.0165,0.096
1.76,0.0105,0.1005
1.78,0.015,0.105
1.8,0.0135,0.1095
1.82,0.015,0.1155
1.84,0.012,0.12
1.86,0.015,0.1245
1.88,0.0165,0.129
1.9,0.0135,0.135
1.92,0.03,0.1395
1.94,0.012,0.1455
1.96,0.0165,0.15
1.98,0.012,0.156
2,0.015,0.1605
2.02,0.0135,0.165
2.04,0.0165,0.171
2.06,0.0135,0.1755
2.08,0.015,0.18
2.1,0.018,0.186
2.12,0.0135,0.1905
2.14,0.015,0.195
2.16,0.0135,0.1995
2.18,0.0195,0.204
2.2,0.015,0.21
2.22,0.0165,0.2145
2.24,0.015,0.2205
2.26,0.0165,0.225
2.28,0.015,0.2295
2.3,0.018,0.2355
2.32,0.018,0.24
2.34,0.018,0.2445
2.36,0.018,0.249
2.38,0.0165,0.255
2.4,0.021,0.2595
2.42,0.0165,0.2655
2.44,0.0195,0.27
2.46,0.018,0.2745
2.48,0.0225,0.279
2.5,0.018,0.285
2.52,0.0195,0.2895
2.54,0.0225,0.294
2.56,0.0195,0.3
2.58,0.021,0.3045
2.6,0.021,0.309
2.62,0.0255,0.315
2.64,0.021,0.3195
2.66,0.0255,0.324
2.68,0.0225,0.33
2.7,0.027,0.3345
2.72,0.0255,0.339
2.74,0.027,0.3435
2.76,0.0285,0.348
2.78,0.027,0.354
2.8,0.0285,0.3585
2.82,0.027,0.3645
2.84,0.033,0.369
2.86,0.027,0.375
2.88,0.03,0.3795
2.9,0.03,0.384
2.92,0.0315,0.3885
2.94,0.0315,0.393
2.96,0.0315,0.399
2.98,0.033,0.4035
3,0.03,0.4095
3.02,0.0315,0.414
3.04,0.0285,0.4185
3.06,0.03,0.423
3.08,0.0255,0.429
3.1,0.027,0.4335
3.12,0.0225,0.438
3.14,0.0255,0.444
3.16,0.0225,0.4485
3.18,0.021,0.4545
3.2,0.021,0.4575
3.22,0.018,0.4635
3.24,0.0195,0.468
3.26,0.0165,0.4725
3.28,0.018,0.4785
3.3,0.015,0.483
3.32,0.018,0.4875
3.34,0.0165,0.4935
3.36,0.0165,0.498
3.38,0.0165,0.5025
3.4,0.015,0.507
3.42,0.0165,0.513
3.44,0.0165,0.519
3.46,0.0165,0.5235
3.48,0.0135,0.528
3.5,0.018,0.5325
3.52,0.015,0.537
3.54,0.0165,0.5415
3.56,0.0165,0.5475
3.58,0.0165,0.552
3.6,0.015,0.558
3.62,0.015,0.5625
3.64,0.018,0.5685
3.66,0.0165,0.5715
3.68,0.018,0.5775
3.7,0.0165,0.582
3.72,0.018,0.588
3.74,0.0165,0.5925
3.76,0.0195,0.5985
3.78,0.018,0.603
