Time t / s,Voltage U_B1 / V,Voltage U_A1 / V
0,3.19,3.072
0.02,3.185,3.072
0.04,3.19,3.072
0.06,3.19,3.072
0.08,3.19,3.072
0.1,3.19,3.072
0.12,3.19,3.072
0.14,3.19,3.072
0.16,3.19,3.072
0.18,3.19,3.072
0.2,3.19,3.072
0.22,3.19,3.072
0.24,3.19,3.072
0.26,3.185,3.072
0.28,3.19,3.072
0.3,3.19,3.072
0.32,3.19,3.072
0.34,3.19,3.072
0.36,3.19,3.072
0.38,3.19,3.072
0.4,3.19,3.072
0.42,3.185,3.072
0.44,3.19,3.072
0.46,3.19,3.072
0.48,3.19,3.072
0.5,3.19,3.072
0.52,3.19,3.072
0.54,3.19,3.072
0.56,3.19,3.072
0.58,3.19,3.072
0.6,3.185,3.072
0.62,3.19,3.072
0.64,3.19,3.072
0.66,3.19,3.072
0.68,3.185,3.072
0.7,3.19,3.072
0.72,3.19,3.072
0.74,3.19,3.072
0.76,3.19,3.072
0.78,3.19,3.072
0.8,3.19,3.072
0.82,3.185,3.072
0.84,3.19,3.072
0.86,3.19,3.072
0.88,3.19,3.072
0.9,3.19,3.072
0.92,3.185,3.072
0.94,3.19,3.072
0.96,3.19,3.072
0.98,3.185,3.072
1,3.185,3.072
1.02,3.19,3.072
1.04,3.19,3.072
1.06,3.19,3.072
1.08,3.19,3.072
1.1,3.19,3.072
1.12,3.185,3.072
1.14,0,-0.0945
1.16,0,-0.078
1.18,-0.005,-0.069
1.2,-0.005,-0.0645
1.22,0,-0.0585
1.24,0,-0.0495
1.26,0,-0.051
1.28,0,-0.048
1.3,0,-0.045
1.32,0,-0.045
1.34,0,-0.042
1.36,3.19,3.072
1.38,0.005,-0.0735
1.4,0.01,-0.051
1.42,0.015,-0.0405
1.44,0.025,-0.0345
1.46,0.03,-0.0315
1.48,0.04,-0.0285
1.5,0.045,-0.027
1.52,0.055,-0.0255
1.54,0.06,-0.0255
1.56,0.065,-0.024
1.58,0.075,-0.0225
1.6,0.08,-0.0225
1.62,0.085,-0.0225
1.64,0.09,-0.021
1.66,0.1,-0.0225
1.68,0.11,-0.021
1.7,0.115,-0.0195
1.72,0.12,-0.0195
1.74,0.125,-0.021
1.76,0.13,-0.0195
1.78,0.14,-0.018
1.8,0.145,-0.018
1.82,0.15,-0.018
1.84,0.16,-0.018
1.86,0.165,-0.0165
1.88,0.17,-0.018
1.9,0.175,-0.0165
1.92,0.18,-0.015
1.94,0.19,-0.015
1.96,0.195,-0.015
1.98,0.2,-0.0135
2,0.205,-0.0135
2.02,0.215,-0.0135
2.04,0.22,-0.012
2.06,0.225,-0.012
2.08,0.23,-0.012
2.1,0.24,-0.0105
2.12,0.245,-0.009
2.14,0.25,-0.009
2.16,0.255,-0.009
2.18,0.265,-0.0075
2.2,0.27,-0.0075
2.22,0.275,-0.006
2.24,0.28,-0.006
2.26,0.29,-0.0045
2.28,0.295,-0.003
2.3,0.3,-0.003
2.32,0.305,0
2.34,0.31,0
2.36,0.32,0
2.38,0.32,0
2.4,0.33,0
2.42,0.335,0
2.44,0.34,-0.003
2.46,0.345,0
2.48,0.355,-0.003
2.5,0.36,-0.0045
2.52,0.365,-0.0045
2.54,0.37,-0.0045
2.56,0.38,-0.006
2.58,0.385,-0.0075
2.6,0.39,-0.0105
2.62,0.395,-0.0075
2.64,0.4,-0.009
2.66,0.405,-0.009
2.68,0.415,-0.009
2.7,0.42,-0.009
2.72,0.425,-0.009
2.74,0.43,-0.009
2.76,0.435,-0.0105
2.78,0.445,-0.0105
2.8,0.45,-0.0105
2.82,0.455,-0.0105
2.84,0.46,-0.0135
2.86,0.47,-0.009
2.88,0.475,-0.0105
2.9,0.48,-0.009
2.92,0.485,-0.009
2.94,0.49,-0.0075
2.96,0.495,-0.0075
2.98,0.5,-0.009
3,0.51,-0.006
3.02,0.51,-0.006
3.04,0.52,-0.003
3.06,0.525,-0.0015
3.08,0.53,0
3.1,0.54,0
3.12,0.545,0.0015
3.14,0.55,0.003
3.16,0.555,0.0045
3.18,0.56,0.0075
3.2,0.57,0.009
3.22,0.575,0.0105
3.24,0.58,0.0135
3.26,0.585,0.0165
3.28,0.59,0.0195
3.3,0.595,0.024
3.32,0.605,0.027
3.34,0.61,0.0315
3.36,0.615,0.0345
3.38,0.62,0.039
3.4,0.625,0.045
3.42,0.635,0.0495
3.44,0.64,0.0555
3.46,0.645,0.0615
3.48,0.65,0.069
3.5,0.655,0.081
3.52,0.66,0.084
3.54,0.665,0.0915
3.56,0.675,0.099
3.58,0.68,0.108
3.6,0.685,0.1185
3.62,0.69,0.1785
3.64,0.695,0.144
3.66,0.7,0.1515
3.68,0.71,0.1635
3.7,0.715,0.174
3.72,0.72,0.1875
3.74,0.725,0.201
3.76,0.73,0.2145
3.78,0.735,0.228
3.8,0.74,0.2415
3.82,0.75,0.255
3.84,0.755,0.267
3.86,0.76,0.2775
3.88,0.765,0.2865
3.9,0.77,0.288
3.92,0.78,0.2985
3.94,0.785,0.3
3.96,0.79,0.297
3.98,0.795,0.291
4,0.8,0.2805
4.02,0.805,0.267
4.04,0.815,0.2505
4.06,0.82,0.231
4.08,0.825,0.2115
4.1,0.83,0.2265
4.12,0.835,0.1785
4.14,0.84,0.159
4.16,0.845,0.1425
4.18,0.85,0.129
4.2,0.86,0.117
4.22,0.865,0.108
4.24,0.87,0.099
4.26,0.88,0.057
4.28,0.885,0.084
4.3,0.89,0.0795
4.32,0.895,0.075
4.34,0.9,0.069
4.36,0.905,0.066
4.38,0.91,0.063
4.4,0.92,0.06
4.42,0.925,0.06
4.44,0.93,0.057
4.46,0.935,0.0555
4.48,0.94,0.054
4.5,0.945,0.054
4.52,0.955,0.054
4.54,0.96,0.054
4.56,0.965,0.0555
4.58,0.97,0.057
4.6,0.975,0.06
4.62,0.98,0.063
4.64,0.985,0.0645
4.66,0.99,0.069
4.68,1,0.075
4.7,1.005,0.0795
4.72,1.01,0.087
4.74,1.015,0.093
4.76,1.02,0.099
4.78,1.025,0.1095
4.8,1.035,0.114
4.82,1.04,0.1275
4.84,1.045,0.138
4.86,1.05,0.1485
4.88,1.055,0.1605
4.9,1.06,0.174
4.92,1.07,0.189
4.94,1.075,0.204
4.96,1.08,0.219
4.98,1.085,0.237
5,1.09,0.2535
5.02,1.095,0.2895
5.04,1.1,0.288
5.06,1.11,0.312
5.08,1.115,0.3345
5.1,1.12,0.354
5.12,1.125,0.3825
5.14,1.13,0.4035
5.16,1.135,0.4275
5.18,1.145,0.453
5.2,1.15,0.4785
5.22,1.155,0.5055
5.24,1.16,0.5325
5.26,1.165,0.561
5.28,1.17,0.5895
5.3,1.175,0.6195
5.32,1.185,0.651
5.34,1.19,0.6825
5.36,1.195,0.711
5.38,1.2,0.7455
5.4,1.205,0.7785
5.42,1.21,0.81
5.44,1.22,0.843
5.46,1.225,0.873
5.48,1.23,0.9015
5.5,1.235,0.927
5.52,1.24,0.9495
5.54,1.245,0.9645
5.56,1.255,0.9735
5.58,1.26,0.9765
5.6,1.265,0.9705
5.62,1.27,0.9525
5.64,1.275,0.927
5.66,1.28,0.8865
5.68,1.29,0.846
5.7,1.295,0.7965
5.72,1.3,0.7425
5.74,1.305,0.6855
5.76,1.31,0.6285
5.78,1.315,0.5715
5.8,1.32,0.5235
5.82,1.33,0.4725
5.84,1.335,0.4305
5.86,1.34,0.3915
5.88,1.345,0.3555
5.9,1.35,0.3255
5.92,1.355,0.297
5.94,1.36,0.2685
5.96,1.37,0.2475
5.98,1.375,0.2265
6,1.38,0.2085
6.02,1.385,0.192
6.04,1.39,0.144
6.06,1.4,0.105
6.08,1.405,0.147
6.1,1.41,0.1425
6.12,1.415,0.1365
6.14,1.42,0.129
6.16,1.425,0.1245
6.18,1.435,0.12
6.2,1.44,0.1185
6.22,1.445,0.1185
6.24,1.445,0.12
6.26,1.455,0.1215
6.28,1.46,0.1245
6.3,1.465,0.1305
6.32,1.475,0.1365
6.34,1.475,0.144
6.36,1.48,0.153
6.38,1.49,0.165
6.4,1.495,0.177
6.42,1.5,0.1905
6.44,1.505,0.2055
6.46,1.51,0.2205
6.48,1.52,0.2385
6.5,1.52,0.2625
6.52,1.53,0.2775
6.54,1.535,0.2985
6.56,1.54,0.321
6.58,1.545,0.345
6.6,1.55,0.372
6.62,1.56,0.399
6.64,1.565,0.429
6.66,1.57,0.459
6.68,1.575,0.4905
6.7,1.58,0.5265
6.72,1.585,0.558
6.74,1.59,0.5955
6.76,1.6,0.633
6.78,1.605,0.6705
6.8,1.61,0.7125
6.82,1.615,0.756
6.84,1.62,0.7995
6.86,1.625,0.846
6.88,1.63,0.891
6.9,1.64,0.9375
6.92,1.645,0.987
6.94,1.65,1.0365
6.96,1.655,1.0095
6.98,1.66,1.134
7,1.665,1.194
7.02,1.67,1.248
7.04,1.68,1.299
7.06,1.685,1.3575
7.08,1.69,1.4145
7.1,1.695,1.4685
7.12,1.7,1.5165
7.14,1.705,1.5735
7.16,1.715,1.6215
7.18,1.72,1.6635
7.2,1.725,1.698
7.22,1.73,1.7235
7.24,1.735,1.74
7.26,1.74,1.743
7.28,1.745,1.7325
7.3,1.755,1.7085
7.32,1.76,1.671
7.34,1.765,1.617
7.36,1.77,1.5495
7.38,1.775,1.476
7.4,1.78,1.3935
7.42,1.785,1.305
7.44,1.79,1.2135
7.46,1.795,1.125
7.48,1.805,1.0395
7.5,1.81,0.957
7.52,1.815,0.8805
7.54,1.82,0.8055
7.56,1.825,0.7365
7.58,1.83,0.6825
7.6,1.84,0.4965
7.62,1.845,0.5535
7.64,1.85,0.516
7.66,1.855,0.4695
7.68,1.86,0.4305
7.7,1.865,0.3885
7.72,1.875,0.3525
7.74,1.88,0.321
7.76,1.885,0.294
7.78,1.89,0.2715
7.8,1.895,0.252
7.82,1.9,0.237
7.84,1.905,0.222
7.86,1.915,0.21
7.88,1.92,0.2025
7.9,1.925,0.1965
7.92,1.93,0.195
7.94,1.935,0.195
7.96,1.94,0.198
7.98,1.945,0.2025
8,1.955,0.21
8.02,1.96,0.2205
8.04,1.965,0.2325
8.06,1.97,0.2475
8.08,1.975,0.2655
8.1,1.98,0.285
8.12,1.985,0.3045
8.14,1.995,0.3255
8.16,2,0.3525
8.18,2.005,0.3795
8.2,2.01,0.4125
8.22,2.015,0.4635
8.24,2.02,0.4935
8.26,2.025,0.5145
8.28,2.035,0.552
8.3,2.04,0.594
8.32,2.045,0.639
8.34,2.05,0.6825
8.36,2.055,0.7305
8.38,2.06,0.7785
8.4,2.065,0.8295
8.42,2.075,0.8835
8.44,2.08,0.939
8.46,2.085,0.9975
8.48,2.09,1.0575
8.5,2.095,1.119
8.52,2.1,1.182
8.54,2.105,1.2495
8.56,2.11,1.317
8.58,2.12,1.3875
8.6,2.125,1.458
8.62,2.13,1.5315
8.64,2.135,1.605
8.66,2.14,1.683
8.68,2.145,1.761
8.7,2.15,1.8405
8.72,2.16,1.923
8.74,2.165,2.0025
8.76,2.17,2.085
8.78,2.175,2.1675
8.8,2.18,2.247
8.82,2.185,2.3235
8.84,2.19,2.397
8.86,2.2,2.463
8.88,2.205,2.523
8.9,2.21,2.574
8.92,2.215,2.6115
8.94,2.225,2.637
8.96,2.225,2.6475
8.98,2.23,2.64
9,2.24,2.6175
9.02,2.245,2.5755
9.04,2.25,2.5185
9.06,2.255,2.448
9.08,2.26,2.232
9.1,2.265,2.28
9.12,2.27,2.166
9.14,2.28,2.064
9.16,2.285,1.956
9.18,2.29,1.8435
9.2,2.295,1.7415
9.22,2.3,1.6395
9.24,2.305,1.515
9.26,2.31,1.431
9.28,2.315,1.347
9.3,2.325,1.2555
9.32,2.33,1.167
9.34,2.335,1.08
9.36,2.34,0.996
9.38,2.345,0.8895
9.4,2.35,0.8445
9.42,2.355,0.783
9.44,2.365,0.723
9.46,2.37,0.693
9.48,2.375,0.6225
9.5,2.38,0.579
9.52,2.385,0.5415
9.54,2.39,0.51
9.56,2.4,0.48
9.58,2.405,0.456
9.6,2.405,0.4365
9.62,2.415,0.4245
9.64,2.42,0.4125
9.66,2.425,0.405
9.68,2.43,0.4035
9.7,2.435,0.405
9.72,2.44,0.411
9.74,2.45,0.423
9.76,2.455,0.432
9.78,2.46,0.4485
9.8,2.465,0.4665
9.82,2.47,0.4905
9.84,2.475,0.5145
9.86,2.485,0.543
9.88,2.49,0.5745
9.9,2.495,0.5385
9.92,2.5,0.3135
9.94,2.505,0.552
9.96,2.51,0.7245
9.98,2.515,0.7815
10,2.52,0.8355
10.02,2.53,0.897
10.04,2.53,0.9705
10.06,2.54,1.0155
10.08,2.545,1.08
10.1,2.55,1.1295
10.12,2.555,1.2
10.14,2.56,1.269
10.16,2.57,1.3545
