Time t / s,Voltage U_A1 / V,Voltage U_B1 / V
0,0.015,0.01
0.02,0.015,0.01
0.04,0.015,0.01
0.06,0.015,0.01
0.08,0,0.01
0.1,0,0.01
0.12,0,0.01
0.14,0.015,0.01
0.16,0,0.01
0.18,0,0.01
0.2,0.015,0.01
0.22,0,0.01
0.24,0,0.01
0.26,0.015,0.01
0.28,0.015,0.01
0.3,0.015,0.015
0.32,0.015,0.01
0.34,0,0.01
0.36,0,0.01
0.38,0,0.01
0.4,0,0.01
0.42,0.015,0.01
0.44,0.015,0.01
0.46,0,0.01
0.48,0,0.01
0.5,0.015,0.015
0.52,0.015,0.01
0.54,0,0.01
0.56,0.015,0.01
0.58,0.015,0.01
0.6,0,0.015
0.62,0,0.01
0.64,0,0.01
0.66,0.015,0.01
0.68,0,0.01
0.7,0,0.015
0.72,0,0.01
0.74,0,0.01
0.76,11.13,2.52
0.78,-0.015,0.015
0.8,0.015,0.02
0.82,0.015,0.025
0.84,0.015,0.03
0.86,0.015,0.035
0.88,0.015,0.04
0.9,0.015,0.045
0.92,0.015,0.055
0.94,0,0.055
0.96,0.015,0.065
0.98,0.015,0.07
1,0.015,0.075
1.02,0.015,0.08
1.04,0.015,0.08
1.06,0.015,0.09
1.08,0.015,0.09
1.1,0.015,0.1
1.12,0.015,0.105
1.14,0.015,0.11
1.16,0.015,0.115
1.18,0.015,0.12
1.2,0.015,0.125
1.22,0.015,0.13
1.24,0.015,0.135
1.26,0.015,0.135
1.28,0.015,0.145
1.3,0.015,0.15
1.32,0.165,0.155
1.34,-0.015,0.16
1.36,0.03,0.165
1.38,0.015,0.165
1.4,0.015,0.175
1.42,0.015,0.18
1.44,0.015,0.18
1.46,0.03,0.185
1.48,0.015,0.195
1.5,0.03,0.2
1.52,0.03,0.2
1.54,0.03,0.21
1.56,0.03,0.215
1.58,0.03,0.215
1.6,0.03,0.22
1.62,0.045,0.225
1.64,0.045,0.235
1.66,0.06,0.24
1.68,0.06,0.245
1.7,0.06,0.245
1.72,0.06,0.255
1.74,0.075,0.26
1.76,0.075,0.26
1.78,0.09,0.27
1.8,0.09,0.27
1.82,0.105,0.275
1.84,0.105,0.285
1.86,0.135,0.29
1.88,0.135,0.29
1.9,0.15,0.3
1.92,0.165,0.305
1.94,0.18,0.305
1.96,0.195,0.31
1.98,0.21,0.32
2,0.225,0.325
2.02,0.24,0.325
2.04,0.255,0.33
2.06,0.27,0.335
2.08,0.3,0.34
2.1,0.315,0.345
2.12,0.33,0.355
2.14,0.36,0.355
2.16,0.39,0.36
2.18,0.405,0.365
2.2,0.435,0.37
2.22,0.45,0.38
2.24,0.48,0.38
2.26,0.51,0.385
2.28,0.525,0.39
2.3,0.525,0.395
2.32,0.555,0.4
2.34,0.555,0.405
2.36,0.54,0.41
2.38,0.54,0.415
2.4,0.525,0.42
2.42,0.495,0.425
2.44,0.465,0.43
2.46,0.42,0.435
2.48,0.375,0.445
2.5,0.345,0.445
2.52,0.3,0.45
2.54,0.27,0.46
2.56,0.24,0.46
2.58,0.21,0.465
2.6,0.18,0.475
2.62,0.15,0.48
2.64,0.135,0.48
2.66,0.105,0.485
2.68,0.09,0.49
2.7,0.09,0.495
2.72,0.075,0.5
2.74,0.06,0.505
2.76,0.06,0.51
2.78,0.045,0.515
2.8,0.045,0.52
2.82,0.045,0.525
2.84,0.03,0.53
2.86,0.03,0.535
2.88,0.03,0.54
2.9,0.03,0.545
2.92,0.03,0.55
2.94,0.03,0.555
2.96,0.03,0.56
2.98,0.03,0.565
3,0.03,0.57
3.02,0.03,0.575
3.04,0.03,0.58
3.06,0.03,0.585
3.08,0.045,0.59
3.1,0.045,0.595
3.12,0.045,0.6
3.14,0.12,0.605
3.16,0.075,0.61
3.18,0.075,0.615
3.2,0.075,0.62
3.22,0.09,0.625
3.24,0.105,0.63
3.26,0.105,0.635
3.28,0.12,0.64
3.3,0.15,0.645
3.32,0.165,0.65
3.34,0.195,0.655
3.36,0.21,0.66
3.38,0.24,0.665
3.4,0.27,0.67
3.42,0.285,0.675
3.44,0.33,0.68
3.46,0.36,0.685
3.48,0.39,0.69
3.5,0.42,0.695
3.52,0.465,0.7
3.54,0.495,0.705
3.56,0.54,0.71
3.58,0.585,0.715
3.6,0.615,0.72
