Time t / s,Voltage U_A1 / V,Voltage U_B1 / V
0,0.015,0.01
0.02,0.015,0.01
0.04,0.015,0.01
0.06,0,0.01
0.08,0,0.01
0.1,0,0.01
0.12,0,0.01
0.14,0.015,0.01
0.16,0.015,0.01
0.18,0,0.01
0.2,0,0.01
0.22,0.015,0.01
0.24,0.015,0.01
0.26,0.015,0.01
0.28,0.015,0.01
0.3,0.015,0.01
0.32,0.015,0.01
0.34,0,0.01
0.36,0.015,0.01
0.38,0,0.01
0.4,0,0.01
0.42,0,0.01
0.44,0,0.01
0.46,0,0.01
0.48,0,0.01
0.5,0,0.01
0.52,0,0.015
0.54,0,0.01
0.56,0.015,0.01
0.58,0,0.01
0.6,0,0.01
0.62,7.56,1.275
0.64,-0.045,0.015
0.66,-0.015,0.02
0.68,0,0.025
0.7,0,0.03
0.72,0,0.035
0.74,0,0.04
0.76,0.015,0.045
0.78,0,0.05
0.8,0.015,0.055
0.82,0.015,0.06
0.84,0.015,0.065
0.86,0.015,0.07
0.88,0.015,0.075
0.9,0.015,0.08
0.92,0.015,0.085
0.94,0.015,0.09
0.96,0.015,0.095
0.98,0.015,0.1
1,0.015,0.105
1.02,0.015,0.11
1.04,0.015,0.115
1.06,0.015,0.12
1.08,0.015,0.125
1.1,0.015,0.13
1.12,0.015,0.135
1.14,0.015,0.14
1.16,0.015,0.145
1.18,0.015,0.15
1.2,0.015,0.155
1.22,0.03,0.16
1.24,0.015,0.165
1.26,0.015,0.17
1.28,0.015,0.175
1.3,0.015,0.175
1.32,0.015,0.185
1.34,0.075,0.19
1.36,0.015,0.195
1.38,0.015,0.2
1.4,0.03,0.205
1.42,0.03,0.21
1.44,0.03,0.215
1.46,0.045,0.22
1.48,0.03,0.225
1.5,0.045,0.23
1.52,0.045,0.235
1.54,0.045,0.24
1.56,0.045,0.245
1.58,0.06,0.25
1.6,0.06,0.25
1.62,0.075,0.26
1.64,0.075,0.265
1.66,0.09,0.27
1.68,0.09,0.275
1.7,0.105,0.28
1.72,0.105,0.285
1.74,0.12,0.29
1.76,0.135,0.295
1.78,0.135,0.3
1.8,0.15,0.305
1.82,0.165,0.31
1.84,0.18,0.315
1.86,0.195,0.32
1.88,0.21,0.325
1.9,0.48,0.33
1.92,-0.03,0.335
1.94,0.54,0.335
1.96,2.61,0.34
1.98,0.33,0.345
2,-0.015,0.35
2.02,-0.045,0.355
2.04,1.02,0.36
2.06,0.165,0.365
2.08,0.06,0.37
2.1,0.045,0.375
2.12,0.315,0.38
2.14,0.63,0.385
2.16,0.585,0.395
2.18,0.54,0.395
2.2,0.51,0.4
2.22,0.54,0.405
2.24,0.525,0.415
2.26,0.525,0.415
2.28,0.495,0.42
2.3,0.48,0.425
2.32,0.45,0.435
2.34,0.405,0.435
2.36,0.36,0.445
2.38,0.33,0.445
2.4,0.285,0.45
2.42,0.255,0.46
2.44,0.225,0.465
2.46,0.195,0.465
2.48,0.165,0.475
2.5,0.15,0.48
2.52,0.12,0.48
2.54,0.105,0.485
2.56,0.09,0.49
2.58,0.075,0.495
2.6,0.06,0.5
2.62,0.06,0.505
2.64,0.045,0.51
2.66,0.045,0.515
2.68,0.045,0.52
2.7,0.045,0.525
2.72,0.03,0.53
2.74,0.03,0.535
2.76,0.03,0.54
2.78,0.03,0.545
2.8,0.03,0.55
2.82,0.03,0.555
2.84,0.03,0.56
2.86,0.03,0.565
2.88,0.03,0.57
2.9,0.03,0.575
2.92,0.03,0.58
2.94,0.03,0.585
2.96,0.045,0.59
2.98,0.045,0.595
3,0.045,0.6
3.02,0.06,0.605
3.04,0.06,0.61
3.06,0.06,0.615
3.08,0.075,0.62
3.1,0.075,0.625
3.12,0.09,0.63
3.14,0.105,0.635
3.16,0.12,0.64
3.18,0.135,0.645
3.2,0.15,0.65
3.22,0.165,0.655
3.24,0.195,0.66
3.26,0.225,0.665
3.28,0.24,0.67
3.3,0.285,0.675
3.32,0.315,0.68
3.34,0.33,0.685
3.36,0.375,0.69
3.38,0.405,0.695
3.4,0.45,0.7
3.42,0.48,0.705
3.44,0.51,0.71
3.46,0.54,0.715
3.48,0.6,0.72
3.5,0.645,0.725
3.52,0.69,0.73
3.54,0.735,0.735
3.56,0.78,0.74
3.58,0.84,0.745
3.6,0.885,0.75
