Time t / s,Voltage U_A1 / V,Voltage U_B1 / V
0,0.015,0.01
0.02,0,0.01
0.04,0.015,0.01
0.06,0,0.01
0.08,0.015,0.01
0.1,0.015,0.01
0.12,0,0.01
0.14,0.015,0.01
0.16,0.015,0.01
0.18,0.015,0.01
0.2,0,0.01
0.22,0.015,0.01
0.24,0,0.01
0.26,0.015,0.01
0.28,0.015,0.01
0.3,0.015,0.01
0.32,0.015,0.01
0.34,0,0.01
0.36,0.015,0.01
0.38,0.015,0.01
0.4,0.015,0.01
0.42,0.015,0.01
0.44,0.015,0.01
0.46,0,0.01
0.48,0,0.01
0.5,0,0.01
0.52,0.015,0.01
0.54,0.015,0.01
0.56,0,0.01
0.58,0.015,0.01
0.6,0,0.01
0.62,0.015,0.01
0.64,0,0.01
0.66,0.015,0.01
0.68,0.015,0.01
0.7,0.015,0.01
0.72,0,0.01
0.74,0.015,0.01
0.76,0.015,0.01
0.78,0.015,0.01
0.8,0.015,0.01
0.82,0,0.01
0.84,0.015,0.01
0.86,0,0.015
0.88,0.03,0.01
0.9,0,0.01
0.92,0.015,0.01
0.94,0,0.01
0.96,0.015,0.01
0.98,0,0.01
1,0.015,0.01
1.02,0,0.01
1.04,0.015,0.01
1.06,0.015,0.01
1.08,0,0.01
1.1,0,0.01
1.12,0,0.01
1.14,0.015,0.01
1.16,0,0.01
1.18,0,0.01
1.2,0,0.01
1.22,0,0.01
1.24,0.015,0.01
1.26,0,0.01
1.28,0.015,0.015
1.3,0,0.01
1.32,0.015,0.01
1.34,0,0.01
1.36,0.015,0.01
1.38,0,0.01
1.4,0.015,0.01
1.42,0.015,0.01
1.44,0,0.01
1.46,0.015,0.01
1.48,0,0.01
1.5,0,0.01
1.52,0,0.01
1.54,0.015,0.01
1.56,0,0.01
1.58,0.015,0.01
1.6,0,0.01
1.62,0.015,0.01
1.64,0,0.01
1.66,0,0.01
1.68,0,0.01
1.7,0,0.015
1.72,0.015,0.01
1.74,0.015,0.01
1.76,0.015,0.015
1.78,0.015,0.01
1.8,1.32,0.98
1.82,-0.015,0.02
1.84,0,0.02
1.86,0.015,0.03
1.88,0.015,0.035
1.9,0.015,0.04
1.92,0,0.045
1.94,0.015,0.05
1.96,0.015,0.055
1.98,0.015,0.06
2,0.015,0.06
2.02,0.015,0.07
2.04,0.015,0.075
2.06,0.015,0.08
2.08,0.015,0.085
2.1,0.015,0.09
2.12,0.015,0.095
2.14,0.015,0.1
2.16,0.015,0.105
2.18,0.015,0.11
2.2,0.015,0.115
2.22,0.015,0.12
2.24,0.015,0.125
2.26,0.015,0.13
2.28,0.015,0.135
2.3,0.015,0.14
2.32,0.03,0.145
2.34,0.015,0.15
2.36,0.03,0.155
2.38,0.03,0.16
2.4,0.015,0.165
2.42,0.015,0.165
2.44,0.015,0.175
2.46,0.03,0.18
2.48,0.03,0.185
