Time t / s,Voltage U_B1 / V,Voltage U_A1 / V
0,3.19,3.072
0.02,3.19,3.072
0.04,3.185,3.072
0.06,3.19,3.072
0.08,3.19,3.072
0.1,3.19,3.072
0.12,3.19,3.072
0.14,3.19,3.072
0.16,3.19,3.072
0.18,3.19,3.072
0.2,3.19,3.072
0.22,3.19,3.072
0.24,3.19,3.072
0.26,3.19,3.072
0.28,3.185,3.072
0.3,3.19,3.072
0.32,3.185,3.072
0.34,3.19,3.072
0.36,3.19,3.072
0.38,3.19,3.072
0.4,3.19,3.072
0.42,3.19,3.072
0.44,3.185,3.072
0.46,3.19,3.072
0.48,3.19,3.072
0.5,3.19,3.072
0.52,3.19,3.072
0.54,3.185,3.072
0.56,3.19,3.072
0.58,3.19,3.072
0.6,3.185,3.072
0.62,3.19,3.072
0.64,3.19,3.072
0.66,3.19,3.072
0.68,3.19,3.072
0.7,3.19,3.072
0.72,3.185,3.072
0.74,3.185,3.072
0.76,0,-0.09
0.78,0,-0.081
0.8,-0.005,-0.0735
0.82,0,-0.069
0.84,0,-0.066
0.86,-0.005,-0.0615
0.88,0,-0.0585
0.9,0,-0.0555
0.92,0,-0.054
0.94,0,-0.051
0.96,0,-0.0495
0.98,0,-0.0465
1,0,-0.045
1.02,-0.005,-0.045
1.04,-0.005,-0.045
1.06,3.19,3.072
1.08,0,-0.0825
1.1,0.005,-0.063
1.12,0.015,-0.0495
1.14,0.02,-0.042
1.16,0.03,-0.039
1.18,0.035,-0.036
1.2,0.04,-0.033
1.22,0.05,-0.033
1.24,0.055,-0.03
1.26,0.06,-0.03
1.28,0.07,-0.0285
1.3,0.075,-0.0285
1.32,0.08,-0.027
1.34,0.09,-0.027
1.36,0.095,-0.024
1.38,0.1,-0.024
1.4,0.11,-0.024
1.42,0.115,-0.0225
1.44,0.12,-0.021
1.46,0.13,-0.021
1.48,0.135,-0.0195
1.5,0.14,-0.0195
1.52,0.145,-0.018
1.54,0.15,-0.018
1.56,0.16,-0.0165
1.58,0.165,-0.0165
1.6,0.17,-0.0165
1.62,0.175,-0.0135
1.64,0.18,-0.0135
1.66,0.19,-0.012
1.68,0.195,-0.012
1.7,0.2,-0.0105
1.72,0.21,-0.0105
1.74,0.215,-0.009
1.76,0.22,-0.0075
1.78,0.225,-0.0075
1.8,0.23,-0.0045
1.82,0.235,-0.015
1.84,0.245,-0.003
1.86,0.25,0
1.88,0.255,0
1.9,0.265,0.0015
1.92,0.27,0.009
1.94,0.275,0.0045
1.96,0.28,0.0045
1.98,0.285,0.0075
2,0.295,0.009
2.02,0.3,0.009
2.04,0.305,0.0105
2.06,0.31,0.012
2.08,0.315,0.0135
2.1,0.325,0.012
2.12,0.33,0.0135
2.14,0.335,0.0135
2.16,0.34,0.0135
2.18,0.345,0.0135
2.2,0.35,0.0135
2.22,0.36,0.015
2.24,0.365,0.003
2.26,0.37,0.012
2.28,0.375,0.012
2.3,0.385,0.012
2.32,0.39,0.0105
2.34,0.395,0.0105
2.36,0.4,0.012
2.38,0.405,0.0105
2.4,0.415,0.0105
2.42,0.42,0.0105
2.44,0.425,0.012
2.46,0.43,0.0135
2.48,0.435,0.012
2.5,0.445,0.012
2.52,0.45,0.012
2.54,0.455,0.012
2.56,0.46,0.0135
2.58,0.465,0.0135
2.6,0.47,0.015
2.62,0.48,0.0165
2.64,0.485,0.0165
2.66,0.49,0.0165
2.68,0.495,0.09
2.7,0.5,0.027
2.72,0.505,0.021
2.74,0.515,0.0225
2.76,0.515,0.024
2.78,0.525,0.0255
2.8,0.53,0.027
2.82,0.535,0.03
2.84,0.54,0.0315
2.86,0.55,0.0345
2.88,0.555,0.036
2.9,0.56,0.039
2.92,0.57,0.042
2.94,0.57,0.045
2.96,0.575,0.048
2.98,0.585,0.051
3,0.59,0.057
3.02,0.595,0.06
3.04,0.6,0.0645
3.06,0.605,0.069
