Time t / s,Voltage U_B1 / V,Voltage U_A1 / V
0,3.185,3.072
0.02,3.19,3.072
0.04,3.19,3.072
0.06,3.19,3.072
0.08,3.19,3.072
0.1,3.19,3.072
0.12,3.19,3.072
0.14,3.19,3.072
0.16,3.19,3.072
0.18,3.19,3.072
0.2,3.19,3.072
0.22,3.19,3.072
0.24,3.19,3.072
0.26,3.19,3.072
0.28,3.19,3.072
0.3,3.19,3.072
0.32,3.19,3.072
0.34,3.19,3.072
0.36,3.19,3.072
0.38,3.19,3.072
0.4,3.19,3.072
0.42,3.19,3.072
0.44,3.185,3.072
0.46,3.19,3.072
0.48,3.185,3.072
0.5,3.19,3.072
0.52,3.185,3.072
0.54,3.19,3.072
0.56,3.185,3.072
0.58,3.185,3.072
0.6,3.185,3.072
0.62,3.19,3.072
0.64,3.19,3.072
0.66,3.19,3.072
0.68,3.19,3.072
0.7,3.19,3.072
0.72,3.19,3.072
0.74,3.19,3.072
0.76,3.19,3.072
0.78,3.19,3.072
0.8,3.19,3.072
0.82,3.19,3.072
0.84,3.19,3.072
0.86,3.19,3.072
0.88,3.19,3.072
0.9,3.185,3.072
0.92,3.19,3.072
0.94,3.19,3.072
0.96,3.19,3.072
0.98,0,-0.081
1,0,-0.0735
1.02,-0.005,-0.0675
1.04,0,-0.063
1.06,-0.005,-0.06
1.08,0,-0.0555
1.1,0,-0.0525
1.12,-0.005,-0.0495
1.14,0,-0.0465
1.16,0,-0.045
1.18,-0.005,-0.0435
1.2,0,-0.042
1.22,-0.005,-0.09
1.24,0.005,-0.0615
1.26,0.01,-0.0465
1.28,0.02,-0.0375
1.3,0.025,-0.033
1.32,0.035,-0.03
1.34,0.04,-0.027
1.36,0.05,-0.0255
1.38,0.055,-0.0225
1.4,0.06,-0.0225
1.42,0.07,-0.0225
1.44,0.075,-0.0195
1.46,0.08,-0.0165
1.48,0.09,-0.0165
1.5,0.095,-0.0225
1.52,0.1,-0.0225
1.54,0.105,-0.012
1.56,0.115,-0.012
1.58,0.12,-0.0105
1.6,0.13,-0.006
1.62,0.135,-0.0075
1.64,0.14,-0.0075
1.66,0.145,-0.0045
1.68,0.15,-0.003
1.7,0.16,-0.003
1.72,0.165,-0.0015
1.74,0.17,0
1.76,0.175,0
1.78,0.18,0.0015
1.8,0.19,0.003
1.82,0.195,0.0105
1.84,0.2,0.006
1.86,0.21,0.0195
1.88,0.215,0.009
1.9,0.22,0.009
1.92,0.225,0.0105
1.94,0.23,0.012
1.96,0.24,0.012
1.98,0.245,0.0135
2,0.25,0.0135
2.02,0.255,0.0165
2.04,0.265,0.0195
2.06,0.27,0.021
2.08,0.275,0.0225
2.1,0.28,0.0255
2.12,0.29,0.027
2.14,0.295,0.0285
2.16,0.3,0.03
2.18,0.305,0.0315
2.2,0.31,0.0345
2.22,0.32,0.0345
2.24,0.325,0.0195
2.26,0.33,0.0315
2.28,0.335,0.036
2.3,0.34,0.0345
2.32,0.345,0.0345
2.34,0.355,0.0345
2.36,0.36,0.0345
2.38,0.365,0.033
2.4,0.37,0.033
2.42,0.375,0.033
2.44,0.385,0.033
2.46,0.39,0.0315
2.48,0.395,0.0315
2.5,0.4,0.0315
2.52,0.41,0.0315
2.54,0.415,0.03
2.56,0.42,0.03
2.58,0.425,0.0285
2.6,0.43,0.0285
2.62,0.44,0.0285
2.64,0.445,0.03
2.66,0.45,0.0285
2.68,0.455,0.03
2.7,0.46,0.0285
2.72,0.465,0.0285
2.74,0.475,0.0285
2.76,0.48,0.0285
2.78,0.485,0.03
2.8,0.49,0.0285
2.82,0.495,0.03
2.84,0.5,0.03
2.86,0.505,0.03
2.88,0.515,0.0315
2.9,0.52,0.0315
2.92,0.525,0.033
2.94,0.53,0.033
2.96,0.54,0.0345
2.98,0.545,0.0345
3,0.55,0.039
3.02,0.555,0.0405
3.04,0.56,0.051
3.06,0.57,0.0435
3.08,0.57,0.0435
3.1,0.58,0.045
3.12,0.585,0.048
3.14,0.59,0.051
3.16,0.595,0.054
3.18,0.6,0.057
3.2,0.61,0.0615
3.22,0.615,0.0645
3.24,0.62,0.069
3.26,0.625,0.0735
3.28,0.635,0.0795
3.3,0.64,0.084
3.32,0.645,0.0795
3.34,0.65,0.096
3.36,0.655,0.102
3.38,0.66,0.1095
3.4,0.665,0.117
3.42,0.67,0.1275
3.44,0.68,0.132
3.46,0.685,0.141
3.48,0.69,0.15
3.5,0.695,0.159
3.52,0.7,0.1695
3.54,0.71,0.1815
3.56,0.715,0.1905
3.58,0.72,0.1965
3.6,0.725,0.213
3.62,0.735,0.225
3.64,0.74,0.2385
3.66,0.745,0.249
3.68,0.75,0.261
3.7,0.755,0.2715
3.72,0.76,0.2805
3.74,0.765,0.288
3.76,0.77,0.294
3.78,0.78,0.297
3.8,0.785,0.2955
3.82,0.79,0.291
3.84,0.795,0.282
3.86,0.8,0.27
3.88,0.81,0.2535
3.9,0.81,0.2355
3.92,0.82,0.2175
3.94,0.825,0.1965
3.96,0.83,0.177
3.98,0.835,0.1575
4,0.84,0.1395
4.02,0.85,0.123
4.04,0.855,0.111
4.06,0.86,0.0975
4.08,0.865,0.0855
4.1,0.875,0.078
4.12,0.88,0.0705
4.14,0.885,0.0615
4.16,0.89,0.057
4.18,0.895,0.0495
4.2,0.9,0.0465
4.22,0.905,0.0465
4.24,0.91,0.039
4.26,0.92,0.0345
4.28,0.925,0.033
4.3,0.93,0.03
4.32,0.935,0.0285
4.34,0.945,0.027
4.36,0.95,0.027
4.38,0.955,0.0255
4.4,0.96,0.0255
4.42,0.965,0.0255
4.44,0.97,0.027
4.46,0.975,0.027
4.48,0.98,0.03
4.5,0.99,0.0375
4.52,0.99,0.036
4.54,1,0.039
4.56,1.005,0.042
4.58,1.01,0.048
4.6,1.015,0.0525
4.62,1.02,0.057
4.64,1.03,0.0645
4.66,1.035,0.0705
4.68,1.04,0.0795
4.7,1.045,0.0885
4.72,1.05,0.0975
4.74,1.055,0.111
4.76,1.06,0.105
4.78,1.07,0.045
4.8,1.075,0.129
4.82,1.08,0.1575
4.84,1.085,0.207
4.86,1.09,0.1965
4.88,1.095,0.213
4.9,1.105,0.231
4.92,1.11,0.2505
4.94,1.115,0.27
4.96,1.12,0.2925
4.98,1.125,0.315
5,1.13,0.3375
5.02,1.135,0.3615
5.04,1.14,0.387
5.06,1.15,0.4125
5.08,1.155,0.441
5.1,1.16,0.4665
5.12,1.165,0.4935
5.14,1.17,0.5235
5.16,1.175,0.5535
5.18,1.185,0.5835
5.2,1.19,0.615
5.22,1.195,0.6465
5.24,1.2,0.6795
5.26,1.205,0.693
5.28,1.215,0.741
5.3,1.22,0.7755
5.32,1.225,0.8055
5.34,1.23,0.8355
5.36,1.235,0.861
5.38,1.24,0.8835
5.4,1.245,0.8505
5.42,1.25,0.909
5.44,1.255,0.9105
5.46,1.265,0.903
5.48,1.27,0.894
5.5,1.275,0.87
5.52,1.28,0.834
5.54,1.285,0.789
5.56,1.295,0.741
5.58,1.3,0.6915
5.6,1.305,0.6375
5.62,1.31,0.5805
5.64,1.315,0.5265
5.66,1.32,0.4755
5.68,1.33,0.432
5.7,1.335,0.39
5.72,1.34,0.354
5.74,1.345,0.3195
5.76,1.35,0.2895
5.78,1.355,0.264
5.8,1.365,0.2415
5.82,1.37,0.219
5.84,1.375,0.1995
5.86,1.38,0.183
5.88,1.385,0.1665
5.9,1.39,0.153
5.92,1.4,0.141
5.94,1.405,0.132
5.96,1.41,0.123
5.98,1.415,0.117
6,1.42,0.1125
6.02,1.425,0.0975
6.04,1.43,0.1065
6.06,1.435,0.1035
6.08,1.445,0.1035
6.1,1.45,0.105
6.12,1.455,0.1095
6.14,1.46,0.1125
6.16,1.465,0.1185
6.18,1.47,0.126
6.2,1.48,0.1365
6.22,1.485,0.147
6.24,1.49,0.096
6.26,1.495,0.162
6.28,1.5,0.1815
6.3,1.505,0.1965
6.32,1.51,0.2145
6.34,1.515,0.2325
6.36,1.525,0.252
6.38,1.53,0.2715
6.4,1.535,0.294
6.42,1.54,0.318
