Time t / s,Voltage U_B1 / V,Voltage U_A1 / V
0,0,0.015
0.02,-0.005,0.02
0.04,0,0.02
0.06,-0.005,0.02
0.08,0,0.02
0.1,0,0.02
0.12,0,0.015
0.14,-0.005,0.015
0.16,-0.005,0.015
0.18,0,0.02
0.2,0,0.02
0.22,0,0.015
0.24,-0.005,0.015
0.26,0,0.015
0.28,-0.005,0.02
0.3,0,0.015
0.32,-0.005,0.015
0.34,-0.005,0.015
0.36,0,0.015
0.38,0,0.01
0.4,-0.005,0.015
0.42,0,0.015
0.44,0,0.015
0.46,0,0.015
0.48,-0.005,0.015
0.5,-0.005,0.015
0.52,0,0.035
0.54,0,0.02
0.56,-0.005,0.015
0.58,-0.005,0.015
0.6,0,0.015
0.62,0,0.015
0.64,0,0.015
0.66,-0.005,0.015
0.68,-0.005,0.015
0.7,-0.005,0.015
0.72,-0.005,0.015
0.74,0,0.015
0.76,0,0.01
0.78,0,0.01
0.8,0,0.015
0.82,0,0.015
0.84,0,0.015
0.86,0,0.015
0.88,0,0.015
0.9,0,0.015
0.92,0,0.015
0.94,-0.005,0.015
0.96,1.79,9.87
0.98,0,-0.07
1,0.005,-0.03
1.02,0.01,-0.005
1.04,0.015,0.005
1.06,0.02,0.01
1.08,0.03,0.01
1.1,0.035,0.02
1.12,0.04,0.02
1.14,0.045,0.02
1.16,0.055,0.025
1.18,0.06,0.02
1.2,0.065,0.02
1.22,0.07,0.025
1.24,0.075,0.02
1.26,0.08,0.02
1.28,0.085,0.025
1.3,0.095,0.02
1.32,0.1,0.025
1.34,0.105,0.025
1.36,0.11,0.02
1.38,0.115,0.02
1.4,0.125,0.02
1.42,0.13,0.02
1.44,0.135,0.02
1.46,0.14,0.025
1.48,0.145,0.025
1.5,0.155,0.02
1.52,0.16,0.025
1.54,0.165,0.025
1.56,0.165,0.02
1.58,0.175,0.02
1.6,0.18,0.025
1.62,0.185,0.03
1.64,0.19,0.03
1.66,0.195,0.03
1.68,0.205,0.03
1.7,0.205,0.03
1.72,0.215,0.03
1.74,0.22,0.035
1.76,0.225,0.035
1.78,0.23,0.035
1.8,0.235,0.04
1.82,0.245,0.04
1.84,0.25,0.04
1.86,0.255,0.04
1.88,0.26,0.045
1.9,0.265,0.045
1.92,0.27,0.05
1.94,0.28,0.055
1.96,0.285,0.05
1.98,0.29,0.045
2,0.295,0.055
2.02,0.3,0.06
2.04,0.305,0.06
2.06,0.31,0.06
2.08,0.32,0.06
2.1,0.325,0.065
2.12,0.33,0.06
2.14,0.335,0.055
2.16,0.34,0.055
2.18,0.345,0.05
2.2,0.355,0.05
2.22,0.355,0.05
2.24,0.365,0.045
2.26,0.37,0.04
2.28,0.375,0.04
2.3,0.38,0.035
2.32,0.385,0.015
2.34,0.39,0.03
2.36,0.4,0.03
2.38,0.405,0.025
2.4,0.41,0.025
2.42,0.415,0.025
2.44,0.42,0.025
2.46,0.43,0.025
2.48,0.435,0.025
2.5,0.44,0.025
2.52,0.445,0.025
2.54,0.45,0.02
2.56,0.455,0.02
2.58,0.46,0.025
2.6,0.47,0.02
2.62,0.475,0.02
2.64,0.48,0.02
2.66,0.485,0.025
2.68,0.49,0.02
2.7,0.495,0.065
2.72,0.5,0.03
2.74,0.505,0.025
2.76,0.51,0.03
2.78,0.52,0.025
2.8,0.525,0.03
2.82,0.53,0.03
2.84,0.535,0.035
2.86,0.545,0.035
2.88,0.545,0.04
2.9,0.555,0.04
2.92,0.56,0.045
2.94,0.565,0.05
2.96,0.57,0.05
2.98,0.575,0.055
3,0.585,0.06
3.02,0.585,0.065
3.04,0.595,0.07
3.06,0.6,0.08
3.08,0.605,0.085
3.1,0.61,0.095
3.12,0.615,0.105
3.14,0.625,0.115
3.16,0.63,0.12
3.18,0.635,0.13
3.2,0.64,0.145
3.22,0.645,0.155
3.24,0.65,0.17
3.26,0.655,0.18
3.28,0.66,0.195
3.3,0.67,0.21
3.32,0.675,0.225
3.34,0.68,0.255
3.36,0.685,0.26
3.38,0.69,0.28
3.4,0.7,0.295
3.42,0.705,0.32
3.44,0.71,0.335
3.46,0.715,0.36
3.48,0.72,0.38
3.5,0.725,0.405
3.52,0.73,0.425
3.54,0.735,0.45
3.56,0.745,0.475
3.58,0.75,0.495
3.6,0.755,0.52
3.62,0.76,0.54
3.64,0.765,0.56
3.66,0.77,0.575
3.68,0.78,0.59
3.7,0.785,0.6
3.72,0.79,0.595
3.74,0.795,0.59
3.76,0.8,0.575
3.78,0.805,0.555
3.8,0.81,0.525
3.82,0.815,0.495
3.84,0.82,0.455
3.86,0.825,0.42
3.88,0.835,0.375
3.9,0.84,0.335
3.92,0.845,0.3
3.94,0.85,0.27
3.96,0.855,0.24
3.98,0.86,0.21
4,0.87,0.19
4.02,0.875,0.17
4.04,0.88,0.155
4.06,0.885,0.14
4.08,0.89,0.125
4.1,0.9,0.115
4.12,0.905,0.1
4.14,0.91,0.095
4.16,0.915,0.085
4.18,0.92,0.08
4.2,0.925,0.07
4.22,0.93,0.07
4.24,0.94,0.065
4.26,0.945,0.06
4.28,0.95,0.06
4.3,0.955,0.055
4.32,0.96,0.055
4.34,0.965,0.055
4.36,0.97,0.06
4.38,0.975,0.055
4.4,0.98,0.06
4.42,0.99,0.065
4.44,0.995,0.07
4.46,1,0.075
4.48,1.005,0.085
4.5,1.01,0.09
4.52,1.015,0.1
4.54,1.02,0.11
4.56,1.03,0.125
4.58,1.035,0.135
4.6,1.04,0.335
4.62,1.045,0.185
4.64,1.05,0.185
4.66,1.055,0.205
4.68,1.065,0.23
4.7,1.07,0.245
4.72,1.075,0.275
4.74,1.08,0.3
4.76,1.085,0.325
4.78,1.09,0.345
4.8,1.095,0.385
4.82,1.105,0.415
4.84,1.11,0.445
4.86,1.115,0.48
4.88,1.12,0.515
4.9,1.125,0.55
4.92,1.13,0.585
4.94,1.135,0.635
4.96,1.14,0.67
4.98,1.15,0.715
5,1.155,0.76
5.02,1.16,0.81
5.04,1.165,0.855
5.06,1.17,0.905
5.08,1.175,0.96
5.1,1.185,1.005
5.12,1.185,1.06
5.14,1.195,1.12
5.16,1.2,1.175
5.18,1.205,1.23
5.2,1.21,1.29
5.22,1.215,1.35
5.24,1.22,1.405
5.26,1.23,1.465
5.28,1.235,1.52
5.3,1.24,1.57
5.32,1.245,1.615
5.34,1.255,1.65
5.36,1.255,1.68
5.38,1.265,1.695
5.4,1.27,1.695
5.42,1.275,1.68
5.44,1.28,1.645
5.46,1.285,1.6
5.48,1.29,1.535
5.5,1.295,1.455
5.52,1.3,1.365
5.54,1.31,1.27
5.56,1.315,1.17
5.58,1.32,1.075
5.6,1.325,0.98
5.62,1.33,0.89
5.64,1.335,0.81
5.66,1.345,0.735
5.68,1.35,0.67
5.7,1.355,0.605
5.72,1.36,0.555
5.74,1.365,0.5
5.76,1.37,0.45
5.78,1.375,0.405
5.8,1.38,0.37
5.82,1.39,0.33
5.84,1.395,0.3
5.86,1.4,0.27
5.88,1.405,0.245
5.9,1.41,0.225
5.92,1.415,0.21
5.94,1.425,0.195
5.96,1.43,0.18
5.98,1.435,0.17
6,1.44,0.16
6.02,1.445,0.16
6.04,1.45,0.155
6.06,1.455,0.15
6.08,1.46,0.155
6.1,1.47,0.165
6.12,1.475,0.17
6.14,1.48,0.185
6.16,1.485,0.195
6.18,1.49,0.215
6.2,1.495,0.23
6.22,1.505,0.25
6.24,1.51,0.275
6.26,1.515,0.295
6.28,1.52,0.325
6.3,1.525,0.355
6.32,1.535,0.385
6.34,1.535,0.415
6.36,1.545,0.455
6.38,1.55,0.495
6.4,1.555,0.535
6.42,1.56,0.58
6.44,1.565,0.625
6.46,1.575,0.65
6.48,1.575,0.725
6.5,1.585,0.785
6.52,1.59,0.84
6.54,1.595,0.9
6.56,1.6,0.965
6.58,1.605,1.03
6.6,1.61,1.095
6.62,1.615,1.165
6.64,1.62,1.235
6.66,1.625,1.31
6.68,1.635,1.39
6.7,1.64,1.465
6.72,1.645,1.55
6.74,1.65,1.555
6.76,1.655,1.555
6.78,1.66,1.42
6.8,1.665,1.41
6.82,1.675,1.395
6.84,1.68,1.975
6.86,1.685,2.165
6.88,1.69,2.28
6.9,1.695,2.38
6.92,1.705,2.515
6.94,1.705,2.54
6.96,1.715,2.68
6.98,1.72,2.725
7,1.725,2.805
7.02,1.73,2.895
7.04,1.735,2.955
7.06,1.74,2.98
7.08,1.75,3.03
7.1,1.755,3.03
7.12,1.76,3.015
7.14,1.765,2.97
7.16,1.77,2.91
7.18,1.775,2.84
7.2,1.78,2.705
7.22,1.785,2.57
7.24,1.79,2.45
7.26,1.795,2.32
7.28,1.805,2.195
7.3,1.81,2.015
7.32,1.815,1.89
7.34,1.82,1.75
7.36,1.825,1.635
7.38,1.83,1.52
7.4,1.84,1.42
7.42,1.845,1.31
7.44,1.85,1.18
7.46,1.855,1.1
7.48,1.86,1
7.5,1.865,0.925
7.52,1.87,0.84
7.54,1.875,0.75
7.56,1.885,0.69
7.58,1.89,0.62
7.6,1.895,0.58
7.62,1.9,0.535
7.64,1.905,0.485
7.66,1.91,0.45
7.68,1.915,0.425
