Time t / s,Voltage U_A1 / V,Voltage U_B1 / V
0,0,0.01
0.02,0.015,0.01
0.04,0.015,0.01
0.06,0.015,0.01
0.08,0,0.01
0.1,0,0.01
0.12,0,0.01
0.14,0.015,0.01
0.16,0,0.01
0.18,0,0.01
0.2,0,0.01
0.22,0,0.015
0.24,0,0.01
0.26,0.015,0.01
0.28,0.015,0.01
0.3,0,0.01
0.32,0,0.01
0.34,0,0.01
0.36,0.015,0.01
0.38,0,0.01
0.4,0,0.01
0.42,0,0.01
0.44,0.015,0.01
0.46,0,0.01
0.48,0,0.01
0.5,0,0.01
0.52,0,0.01
0.54,0.015,0.01
0.56,0,0.01
0.58,0.015,0.01
0.6,0,0.01
0.62,0,0.01
0.64,0,0.01
0.66,0.015,0.01
0.68,0,0.01
0.7,0.015,0.01
0.72,0,0.01
0.74,0.015,0.01
0.76,0.015,0.01
0.78,0,0.01
0.8,0.015,0.01
0.82,0,0.01
0.84,0.015,0.01
0.86,0.015,0.01
0.88,0.015,0.01
0.9,0,0.01
0.92,0.015,0.01
0.94,12.42,3.19
0.96,-0.03,0.015
0.98,-0.015,0.02
1,0,0.025
1.02,0.015,0.03
1.04,0,0.035
1.06,0.015,0.04
1.08,0.015,0.045
1.1,0.015,0.05
1.12,0.015,0.055
1.14,0.015,0.06
1.16,0.015,0.065
1.18,0.015,0.07
1.2,0.015,0.075
1.22,0.015,0.08
1.24,0.015,0.085
1.26,0.015,0.09
1.28,0.015,0.095
1.3,0.015,0.105
1.32,0.015,0.105
1.34,0.015,0.11
1.36,0.015,0.115
1.38,0.015,0.12
1.4,0.015,0.125
1.42,0.015,0.13
1.44,0.015,0.135
1.46,0.015,0.14
1.48,0.015,0.145
1.5,0.015,0.15
1.52,0.03,0.155
1.54,0.015,0.16
1.56,0.015,0.165
1.58,0.015,0.17
1.6,0.015,0.175
1.62,0.03,0.18
1.64,0.015,0.185
1.66,0.015,0.19
1.68,0.015,0.195
1.7,0.03,0.2
1.72,0.03,0.205
1.74,0.03,0.205
1.76,0.03,0.215
1.78,0.03,0.22
1.8,0.045,0.225
1.82,0.045,0.23
1.84,0.045,0.235
1.86,0.06,0.24
1.88,0.06,0.245
1.9,0.06,0.25
1.92,0.075,0.255
1.94,0.09,0.26
1.96,0.09,0.265
1.98,0.105,0.27
2,0.105,0.275
2.02,0.12,0.28
2.04,0.135,0.285
2.06,0.135,0.29
2.08,0.15,0.295
2.1,0.15,0.3
2.12,0.18,0.305
2.14,0.18,0.31
2.16,0.21,0.315
2.18,0.225,0.32
2.2,0.24,0.325
2.22,0.255,0.325
2.24,0.27,0.335
2.26,0.3,0.335
2.28,0.315,0.345
2.3,0.345,0.35
2.32,0.36,0.355
2.34,0.39,0.36
2.36,0.405,0.36
2.38,0.435,0.37
