Time t / s,Voltage U_A1 / V,Voltage U_B1 / V
0,0,0.01
0.02,0,0.01
0.04,0,0.015
0.06,0,0.01
0.08,0,0.01
0.1,0.015,0.015
0.12,0,0.01
0.14,0.015,0.01
0.16,0.015,0.01
0.18,0.015,0.01
0.2,0,0.01
0.22,0,0.01
0.24,0,0.015
0.26,0,0.01
0.28,0,0.01
0.3,0.015,0.01
0.32,0,0.01
0.34,0.015,0.01
0.36,0.015,0.01
0.38,0.015,0.01
0.4,0.015,0.01
0.42,0.015,0.01
0.44,0,0.01
0.46,0.015,0.01
0.48,0,0.01
0.5,0,0.01
0.52,0,0.01
0.54,0.015,0.01
0.56,0.015,0.01
0.58,0,0.015
0.6,0.015,0.01
0.62,0,0.01
0.64,0,0.01
0.66,0,0.01
0.68,0.015,0.01
0.7,0,0.01
0.72,0,0.01
0.74,0.015,0.01
0.76,0.015,0.01
0.78,0.015,0.01
0.8,0,0.01
0.82,0,0.01
0.84,0.015,0.01
0.86,0.015,0.01
0.88,0.015,0.01
0.9,0.015,0.01
0.92,0,0.01
0.94,0,0.01
0.96,0,0.01
0.98,0,0.015
1,0.015,0.01
1.02,0,0.01
1.04,0.015,0.01
1.06,0.015,0.015
1.08,0,0.01
1.1,0.015,0.01
1.12,0.015,0.015
1.14,0,0.01
1.16,0,0.015
1.18,0,0.01
1.2,0,0.01
1.22,0.015,0.01
1.24,0,0.01
1.26,0,0.01
1.28,0,0.01
1.3,0,0.01
1.32,0,0.01
1.34,0.015,0.01
1.36,0.015,0.01
1.38,0,0.01
1.4,0.015,0.01
1.42,0,0.01
1.44,0,0.01
1.46,0,0.01
1.48,0.015,0.01
1.5,0.015,0.01
1.52,0.015,0.01
1.54,0,0.01
1.56,0.015,0.01
1.58,0.015,0.01
1.6,0,0.01
1.62,0,0.01
1.64,0,0.015
1.66,0,0.01
1.68,0,0.01
1.7,0.015,0.01
1.72,0,0.01
1.74,0,0.01
1.76,0,0.01
1.78,0.015,0.01
1.8,0,0.01
1.82,0,0.01
1.84,0,0.01
1.86,0.015,0.01
1.88,0.015,0.015
1.9,0.015,0.01
1.92,0,0.01
1.94,0,0.01
1.96,0.015,0.01
1.98,0,0.015
2,0.015,0.01
2.02,0,0.01
2.04,0.015,0.01
2.06,0,0.01
2.08,0,0.01
2.1,0.015,0.01
2.12,0,0.01
2.14,0,0.01
2.16,0,0.01
2.18,0,0.01
2.2,0,0.01
2.22,0.015,0.015
2.24,0,0.01
2.26,0,0.01
2.28,0,0.01
2.3,0,0.01
2.32,0,0.01
2.34,0.015,0.01
2.36,0,0.01
2.38,0,0.01
2.4,0,0.01
2.42,-0.03,0.015
2.44,-0.015,0.02
2.46,0,0.025
2.48,0.015,0.03
2.5,0.015,0.035
2.52,0.015,0.04
2.54,0.015,0.045
2.56,0.015,0.05
2.58,0.015,0.055
2.6,0.015,0.06
2.62,0.015,0.065
2.64,0.015,0.07
2.66,0.015,0.075
2.68,0.015,0.08
2.7,0.015,0.085
2.72,0.015,0.09
2.74,0.015,0.095
2.76,0.015,0.1
2.78,0.015,0.105
2.8,0.015,0.11
2.82,0.015,0.115
2.84,0.015,0.12
2.86,0.015,0.125
2.88,0,0.13
2.9,0.015,0.135
2.92,0.015,0.14
2.94,0.015,0.145
2.96,0.015,0.15
2.98,0.015,0.155
3,0.015,0.16
3.02,0.015,0.165
3.04,0.03,0.17
3.06,0.015,0.175
3.08,0.015,0.18
3.1,0.015,0.185
3.12,0.03,0.19
3.14,0.03,0.195
3.16,0.015,0.2
3.18,0.03,0.205
3.2,0.03,0.21
3.22,0.03,0.215
3.24,0.045,0.22
3.26,0.045,0.225
3.28,0.045,0.23
3.3,0.06,0.235
3.32,0.06,0.24
3.34,0.06,0.245
3.36,0.075,0.25
3.38,0.075,0.255
3.4,0.075,0.26
3.42,0.09,0.265
3.44,0.105,0.27
3.46,0.105,0.275
3.48,0.105,0.28
3.5,0.12,0.285
3.52,0.135,0.29
3.54,0.135,0.295
3.56,0.15,0.3
3.58,0.18,0.305
3.6,0.18,0.31
3.62,0.21,0.315
3.64,0.225,0.32
3.66,0.24,0.325
3.68,0.255,0.33
3.7,0.285,0.33
3.72,0.3,0.34
3.74,0.315,0.345
3.76,0.345,0.35
3.78,0.36,0.355
3.8,0.39,0.36
3.82,0.42,0.365
3.84,0.435,0.37
3.86,0.465,0.375
3.88,0.48,0.375
3.9,0.51,0.385
3.92,0.525,0.39
3.94,0.555,0.39
3.96,0.57,0.4
3.98,0.585,0.405
4,0.585,0.41
4.02,0.585,0.41
4.04,0.57,0.415
4.06,0.555,0.425
4.08,0.525,0.43
4.1,0.48,0.435
4.12,0.435,0.44
4.14,0.405,0.44
4.16,0.36,0.45
4.18,0.315,0.455
4.2,0.285,0.455
4.22,0.24,0.465
4.24,0.21,0.465
4.26,0.18,0.475
4.28,0.165,0.475
4.3,0.135,0.48
4.32,0.12,0.49
4.34,0.105,0.49
4.36,0.075,0.495
4.38,0.075,0.5
4.4,0.06,0.505
4.42,0.06,0.51
4.44,0.045,0.515
4.46,0.045,0.52
4.48,0.045,0.525
4.5,0.03,0.53
4.52,0.03,0.535
4.54,0.03,0.545
4.56,0.045,0.545
4.58,0.03,0.55
4.6,0.03,0.555
4.62,0.03,0.56
4.64,0.03,0.565
4.66,0.03,0.57
4.68,0.03,0.575
4.7,0.045,0.58
4.72,0.03,0.585
4.74,0.045,0.59
4.76,0.045,0.595
4.78,0.045,0.605
4.8,0.06,0.605
4.82,0.06,0.61
4.84,0.075,0.62
4.86,0.09,0.62
4.88,0.09,0.625
4.9,0.105,0.63
4.92,0.12,0.635
4.94,0.135,0.64
4.96,0.15,0.645
4.98,0.165,0.65
5,0.195,0.655
5.02,0.21,0.66
5.04,0.255,0.665
5.06,0.27,0.67
5.08,0.3,0.675
5.1,0.33,0.68
5.12,0.36,0.685
5.14,0.405,0.69
5.16,0.45,0.695
5.18,0.465,0.7
5.2,0.51,0.705
5.22,0.555,0.71
5.24,0.585,0.715
5.26,0.645,0.72
5.28,0.69,0.725
5.3,0.735,0.73
5.32,0.78,0.735
5.34,0.84,0.74
5.36,0.885,0.745
5.38,0.945,0.75
5.4,1.005,0.755
5.42,1.065,0.76
5.44,1.125,0.765
5.46,1.2,0.77
5.48,1.26,0.775
5.5,1.335,0.785
5.52,1.395,0.785
5.54,1.47,0.79
5.56,1.53,0.795
5.58,1.62,0.8
5.6,1.68,0.805
5.62,1.77,0.81
5.64,1.86,0.815
5.66,1.935,0.82
5.68,2.025,0.825
5.7,2.115,0.83
5.72,2.19,0.835
5.74,2.28,0.84
5.76,2.37,0.845
5.78,2.46,0.85
5.8,2.55,0.855
5.82,2.625,0.86
5.84,2.715,0.865
5.86,2.79,0.87
5.88,2.865,0.875
5.9,2.925,0.88
5.92,2.985,0.885
5.94,3.015,0.89
5.96,3.045,0.895
5.98,3.045,0.9
6,3.03,0.905
6.02,2.97,0.91
6.04,2.91,0.915
6.06,2.82,0.92
6.08,2.715,0.925
6.1,2.595,0.93
6.12,2.475,0.935
6.14,2.34,0.94
6.16,2.22,0.945
6.18,2.1,0.95
6.2,1.98,0.955
6.22,1.86,0.96
6.24,1.74,0.965
6.26,1.62,0.97
6.28,1.515,0.97
6.3,1.395,0.98
6.32,1.275,0.985
6.34,1.155,0.985
6.36,1.035,0.995
6.38,0.945,0.995
6.4,0.84,1
6.42,0.75,1.01
6.44,0.69,1.015
6.46,0.6,1.02
6.48,0.555,1.02
6.5,0.51,1.03
6.52,0.465,1.035
6.54,0.42,1.04
6.56,0.39,1.045
6.58,0.36,1.05
6.6,0.345,1.05
6.62,0.33,1.06
6.64,0.315,1.065
6.66,0.33,1.065
6.68,0.315,1.075
6.7,0.33,1.075
6.72,0.345,1.085
6.74,0.36,1.09
6.76,0.375,1.095
6.78,0.39,1.1
6.8,0.42,1.105
6.82,0.435,1.11
6.84,0.465,1.11
6.86,0.48,1.12
6.88,0.51,1.125
6.9,0.555,1.125
6.92,0.6,1.13
6.94,0.645,1.135
6.96,0.69,1.14
6.98,0.75,1.145
7,0.81,1.15
7.02,0.87,1.155
