Time t / s,Voltage U_B1 / V,Voltage U_A1 / V
0,-0.005,-0.015
0.02,0,-0.015
0.04,0,-0.01
0.06,-0.005,-0.01
0.08,0,-0.015
0.1,-0.005,-0.01
0.12,-0.005,-0.015
0.14,0,-0.015
0.16,0,-0.015
0.18,-0.005,-0.01
0.2,0,-0.015
0.22,0,-0.015
0.24,0,-0.01
0.26,0,-0.015
0.28,0,-0.01
0.3,-0.005,-0.015
0.32,-0.005,-0.015
0.34,0,-0.01
0.36,0,-0.01
0.38,-0.005,-0.015
0.4,0,-0.01
0.42,-0.005,-0.01
0.44,0,-0.01
0.46,-0.005,-0.01
0.48,-0.005,-0.01
0.5,-0.005,-0.01
0.52,0,-0.035
0.54,-0.005,-0.015
0.56,0,-0.01
0.58,0,-0.01
0.6,0,-0.01
0.62,0,-0.01
0.64,0,-0.01
0.66,0,-0.01
0.68,-0.005,-0.01
0.7,-0.005,-0.01
0.72,0,-0.005
0.74,0,-0.015
0.76,0,-0.01
0.78,0,-0.005
0.8,-0.005,-0.01
0.82,-0.005,-0.01
0.84,0,-0.015
0.86,0,-0.01
0.88,-0.005,-0.015
0.9,0,-0.01
0.92,0,-0.015
0.94,0,-0.01
0.96,0,-0.015
0.98,-0.005,-0.01
1,-0.005,-0.01
1.02,0,-0.01
1.04,0,-0.01
1.06,0,-0.015
1.08,-0.005,-0.01
1.1,-0.005,-0.015
1.12,0,-0.015
1.14,0,-0.01
1.16,0,-0.01
1.18,0,-0.01
1.2,-0.005,-0.01
1.22,0,-0.01
1.24,-0.005,-0.01
1.26,0,-0.01
1.28,-0.005,-0.01
1.3,0,-0.01
1.32,0,-0.01
1.34,-0.005,-0.01
1.36,-0.005,-0.01
1.38,-0.005,-0.01
1.4,-0.005,-0.01
1.42,-0.005,-0.01
1.44,0,-0.01
1.46,0,-0.01
1.48,-0.005,-0.01
1.5,0,-0.01
1.52,0,-0.01
1.54,0,-0.01
1.56,0,-0.01
1.58,0,-0.01
1.6,0,-0.01
1.62,-0.005,-0.01
1.64,0,-0.01
1.66,0,-0.01
1.68,-0.005,-0.01
1.7,-0.005,-0.005
1.72,0,-0.005
1.74,0,-0.01
1.76,0,-0.01
1.78,0,-0.01
1.8,0,-0.005
1.82,0,-0.005
1.84,0,-0.005
1.86,0,-0.01
1.88,0,-0.01
1.9,-0.005,-0.01
1.92,0,-0.01
1.94,-0.005,-0.01
1.96,0,-0.01
1.98,0,-0.01
2,0,-0.01
2.02,0,-0.01
2.04,0,-0.01
2.06,0,-0.01
2.08,0,-0.01
2.1,-0.005,-0.01
2.12,-0.005,-0.005
2.14,0,-0.01
2.16,0,-0.01
2.18,0,-0.01
2.2,0,-0.01
2.22,0,-0.01
2.24,0,-0.01
2.26,0,-0.005
2.28,0,-0.005
2.3,0,-0.01
2.32,0,-0.005
2.34,0,-0.01
2.36,0,-0.01
2.38,0,-0.005
2.4,-0.005,-0.005
2.42,0,-0.005
2.44,0,-0.01
2.46,0,-0.005
2.48,0,-0.005
2.5,0,-0.005
2.52,0,-0.01
2.54,0,-0.01
2.56,-0.005,-0.005
2.58,0,-0.005
2.6,0,-0.005
2.62,0,-0.005
2.64,0,-0.005
2.66,0,-0.005
2.68,0,-0.005
2.7,0,-0.005
2.72,0,-0.005
2.74,-0.005,-0.005
2.76,0,-0.005
2.78,0,-0.005
2.8,0,-0.005
2.82,-0.005,-0.005
2.84,-0.005,-0.005
2.86,0,0
2.88,0,-0.005
2.9,-0.005,-0.005
2.92,0,-0.005
2.94,0,-0.005
2.96,0,-0.005
2.98,0,0
3,0,0
3.02,0,0
3.04,0,-0.005
3.06,0,-0.085
3.08,0.005,-0.045
3.1,0.01,-0.02
3.12,0.015,-0.025
3.14,0.02,-0.03
3.16,0.03,-0.02
3.18,0.035,0
3.2,0.04,0.005
3.22,0.045,0.005
3.24,0.05,0.005
3.26,0.055,0.005
3.28,0.065,0.005
3.3,0.07,0.005
3.32,0.075,0.005
3.34,0.08,0.005
3.36,0.085,0.005
3.38,0.095,0.005
3.4,0.095,0.005
3.42,0.105,0.005
3.44,0.11,0.01
3.46,0.115,0.01
3.48,0.12,0.01
3.5,0.125,0.01
3.52,0.13,0.01
3.54,0.14,0.01
3.56,0.145,0.01
3.58,0.15,0.01
3.6,0.155,0.01
3.62,0.16,0.015
3.64,0.165,0.015
3.66,0.17,-0.005
3.68,0.175,0.2
3.7,0.185,-0.085
3.72,0.19,0.015
3.74,0.195,0.035
3.76,0.2,-0.08
3.78,0.21,0.265
3.8,0.21,1.335
3.82,0.22,0.215
3.84,0.225,-0.01
3.86,0.23,0.02
3.88,0.235,0.05
3.9,0.245,0.025
3.92,0.25,0.045
3.94,0.255,0.02
3.96,0.26,0.03
3.98,0.265,0.075
4,0.27,0.045
4.02,0.275,0.12
4.04,0.285,0.04
4.06,0.29,0.045
4.08,0.295,0.105
4.1,0.3,0.1
4.12,0.305,0.105
4.14,0.31,0.04
4.16,0.315,0.09
4.18,0.325,0.1
4.2,0.325,0.095
4.22,0.33,0.065
4.24,0.34,0.05
4.26,0.345,0.08
4.28,0.35,0.04
4.3,0.36,0.095
4.32,0.365,0.07
4.34,0.37,0.02
4.36,0.375,0.05
4.38,0.38,0.03
4.4,0.385,0.075
4.42,0.39,0.03
4.44,0.395,0.015
4.46,0.405,0.03
4.48,0.41,0.015
4.5,0.415,0.025
4.52,0.42,0.025
4.54,0.425,0.025
4.56,0.43,0.02
4.58,0.435,0.005
4.6,0.445,0.02
4.62,0.45,0.045
4.64,0.455,0.01
4.66,0.46,0.01
4.68,0.465,0.015
4.7,0.475,0.01
4.72,0.475,0.025
4.74,0.485,0.01
4.76,0.49,0.03
4.78,0.495,0.005
4.8,0.5,0.01
4.82,0.505,0.03
4.84,0.51,0.015
4.86,0.515,0.03
4.88,0.52,0.01
4.9,0.525,0.035
4.92,0.535,0.045
4.94,0.54,0.02
4.96,0.545,0.045
4.98,0.55,0.04
5,0.555,0.045
5.02,0.565,0.045
5.04,0.57,0.055
5.06,0.575,0.08
5.08,0.58,0.06
5.1,0.585,0.075
5.12,0.59,0.11
5.14,0.6,0.1
5.16,0.605,0.095
5.18,0.61,0.12
5.2,0.615,0.135
5.22,0.62,0.155
5.24,0.625,0.145
5.26,0.63,0.17
5.28,0.64,0.19
5.3,0.64,0.19
5.32,0.65,0.22
5.34,0.655,0.24
5.36,0.66,0.25
5.38,0.665,0.26
5.4,0.67,0.28
5.42,0.675,0.325
5.44,0.685,0.325
5.46,0.69,0.345
5.48,0.695,0.38
5.5,0.7,0.405
5.52,0.705,0.43
5.54,0.71,0.445
5.56,0.72,0.485
5.58,0.72,0.505
5.6,0.73,0.53
5.62,0.735,0.565
5.64,0.74,0.6
5.66,0.745,0.62
5.68,0.755,0.645
5.7,0.755,0.685
5.72,0.765,0.715
5.74,0.77,0.72
5.76,0.775,0.745
5.78,0.78,0.765
5.8,0.785,0.765
5.82,0.79,0.755
5.84,0.795,0.74
5.86,0.805,0.72
5.88,0.81,0.68
5.9,0.815,0.64
5.92,0.82,0.595
5.94,0.825,0.55
5.96,0.83,0.495
5.98,0.835,0.45
6,0.845,0.405
6.02,0.85,0.365
6.04,0.855,0.315
6.06,0.86,0.29
6.08,0.865,0.26
6.1,0.875,0.22
6.12,0.88,0.21
6.14,0.885,0.185
6.16,0.89,0.17
6.18,0.895,0.145
6.2,0.9,0.145
6.22,0.905,0.14
6.24,0.91,0.115
6.26,0.915,0.105
6.28,0.925,0.1
6.3,0.93,0.09
6.32,0.935,0.085
6.34,0.94,0.08
6.36,0.945,0.07
6.38,0.95,0.075
6.4,0.96,0.065
6.42,0.965,0.07
6.44,0.97,0.075
6.46,0.975,0.07
6.48,0.98,0.075
6.5,0.985,0.075
6.52,0.99,0.085
6.54,1,0.085
6.56,1,0.09
6.58,1.01,0.11
6.6,1.015,0.08
6.62,1.02,0.13
6.64,1.025,0.145
6.66,1.03,0.145
6.68,1.035,0.165
6.7,1.045,0.205
6.72,1.045,0.15
6.74,1.055,0.245
6.76,1.06,0.26
6.78,1.065,0.285
6.8,1.07,0.315
6.82,1.075,0.34
6.84,1.085,0.365
6.86,1.09,0.4
6.88,1.095,0.44
6.9,1.1,0.465
6.92,1.105,0.505
6.94,1.115,0.545
6.96,1.12,0.59
6.98,1.125,0.625
7,1.125,0.67
7.02,1.13,0.725
7.04,1.14,0.77
7.06,1.145,0.815
7.08,1.15,0.865
7.1,1.155,0.92
7.12,1.16,0.975
7.14,1.17,1.025
7.16,1.175,1.09
7.18,1.18,1.15
7.2,1.185,1.2
7.22,1.19,1.265
7.24,1.195,1.335
7.26,1.2,1.4
7.28,1.21,1.46
7.3,1.215,1.525
7.32,1.22,1.605
7.34,1.225,1.66
7.36,1.23,1.73
7.38,1.24,1.79
7.4,1.24,1.84
7.42,1.25,1.89
7.44,1.255,1.925
7.46,1.26,1.95
7.48,1.265,1.96
7.5,1.27,1.945
7.52,1.28,1.925
7.54,1.28,1.88
7.56,1.29,1.81
7.58,1.295,1.73
7.6,1.3,1.625
7.62,1.305,1.525
7.64,1.31,1.41
7.66,1.315,1.295
7.68,1.32,1.175
7.7,1.33,1.07
7.72,1.335,0.97
7.74,1.34,0.885
7.76,1.345,0.805
7.78,1.35,0.73
7.8,1.355,0.665
7.82,1.36,0.605
7.84,1.37,0.505
7.86,1.375,0.49
7.88,1.38,0.455
7.9,1.385,0.39
7.92,1.39,0.365
7.94,1.4,0.33
7.96,1.405,0.31
7.98,1.41,0.285
8,1.415,0.255
8.02,1.42,0.235
8.04,1.425,0.225
8.06,1.43,0.21
8.08,1.435,0.195
8.1,1.445,0.195
8.12,1.45,0.19
8.14,1.45,0.185
8.16,1.46,0.185
8.18,1.465,0.195
8.2,1.47,0.2
8.22,1.475,0.21
8.24,1.48,0.225
8.26,1.49,0.245
8.28,1.495,0.26
8.3,1.5,0.28
8.32,1.505,0.305
8.34,1.51,0.33
8.36,1.515,0.355
8.38,1.52,0.385
8.4,1.525,0.425
8.42,1.535,0.46
8.44,1.54,0.495
8.46,1.545,0.535
8.48,1.55,0.565
8.5,1.555,0.63
8.52,1.565,0.68
8.54,1.57,0.69
8.56,1.575,0.795
8.58,1.58,0.855
8.6,1.585,0.91
8.62,1.59,0.98
8.64,1.595,1.04
8.66,1.6,1.105
8.68,1.605,1.18
8.7,1.615,1.255
8.72,1.615,1.33
8.74,1.625,1.41
8.76,1.63,1.495
8.78,1.635,1.575
8.8,1.64,1.665
8.82,1.645,1.755
8.84,1.65,1.85
8.86,1.655,1.945
8.88,1.665,2.04
8.9,1.67,2.14
8.92,1.675,2.245
8.94,1.68,2.355
8.96,1.685,2.455
8.98,1.69,2.565
9,1.7,2.67
9.02,1.705,2.77
9.04,1.71,2.88
9.06,1.715,2.98
9.08,1.72,3.07
9.1,1.725,3.155
9.12,1.73,3.23
9.14,1.735,3.29
9.16,1.745,3.335
9.18,1.75,3.35
9.2,1.755,3.35
9.22,1.76,3.32
9.24,1.765,3.26
9.26,1.77,3.185
9.28,1.775,3.08
9.3,1.78,2.965
9.32,1.785,2.81
9.34,1.795,2.655
9.36,1.8,2.5
9.38,1.805,2.335
9.4,1.81,2.17
9.42,1.815,2.04
9.44,1.82,1.89
9.46,1.83,1.775
9.48,1.835,1.635
9.5,1.84,1.53
9.52,1.845,1.405
9.54,1.85,1.295
9.56,1.855,1.19
9.58,1.86,1.09
9.6,1.87,1
9.62,1.875,0.905
9.64,1.88,0.83
9.66,1.885,0.755
9.68,1.89,0.7
9.7,1.895,0.64
9.72,1.9,0.59
9.74,1.905,0.545
9.76,1.91,0.515
9.78,1.92,0.485
9.8,1.925,0.45
9.82,1.93,0.435
9.84,1.935,0.42
9.86,1.94,0.41
9.88,1.945,0.41
9.9,1.955,0.41
9.92,1.96,0.42
9.94,1.965,0.43
9.96,1.97,0.45
9.98,1.975,0.46
10,1.98,0.49
10.02,1.985,0.51
10.04,1.99,0.54
10.06,2,0.575
10.08,2.005,0.605
10.1,2.01,0.65
10.12,2.015,0.69
10.14,2.02,0.74
10.16,2.025,0.805
10.18,2.035,0.855
10.2,2.04,0.915
10.22,2.045,0.985
10.24,2.05,1.055
10.26,2.055,1.13
10.28,2.06,1.215
10.3,2.065,1.295
10.32,2.07,1.385
10.34,2.08,1.47
10.36,2.085,1.555
10.38,2.085,1.66
10.4,2.095,1.765
10.42,2.1,1.87
10.44,2.105,1.985
10.46,2.11,2.09
10.48,2.115,2.205
10.5,2.12,2.325
10.52,2.13,2.445
10.54,2.135,2.575
10.56,2.14,2.715
10.58,2.145,2.845
10.6,2.15,2.985
10.62,2.155,3.125
10.64,2.16,3.27
10.66,2.17,3.415
10.68,2.175,3.56
10.7,2.18,3.705
10.72,2.185,3.84
10.74,2.19,3.995
10.76,2.195,4.135
10.78,2.2,4.275
10.8,2.205,4.395
10.82,2.215,4.515
10.84,2.22,4.61
10.86,2.225,4.69
10.88,2.23,4.75
10.9,2.235,4.78
10.92,2.245,4.79
10.94,2.245,4.765
10.96,2.255,4.72
10.98,2.255,4.645
11,2.265,4.55
11.02,2.27,4.43
11.04,2.275,4.295
11.06,2.28,4.14
11.08,2.285,3.985
11.1,2.29,3.815
11.12,2.3,3.645
11.14,2.305,3.48
11.16,2.31,3.315
11.18,2.315,3.145
11.2,2.32,2.975
11.22,2.325,2.81
11.24,2.33,2.635
11.26,2.335,2.465
11.28,2.345,2.3
11.3,2.35,2.14
11.32,2.355,1.99
11.34,2.36,1.845
11.36,2.365,1.71
11.38,2.37,1.585
11.4,2.375,1.475
11.42,2.385,1.375
11.44,2.39,1.28
11.46,2.395,1.195
11.48,2.4,1.12
11.5,2.405,1.05
11.52,2.41,0.985
11.54,2.42,0.935
11.56,2.42,0.89
11.58,2.425,0.845
11.6,2.435,0.815
11.62,2.44,0.8
11.64,2.445,0.785
11.66,2.45,0.775
11.68,2.455,0.775
11.7,2.46,0.785
11.72,2.465,0.795
11.74,2.475,0.81
11.76,2.48,0.83
11.78,2.485,0.86
11.8,2.49,0.895
11.82,2.495,0.935
11.84,2.5,0.985
11.86,2.51,1.035
11.88,2.515,1.095
11.9,2.52,1.15
11.92,2.525,1.23
11.94,2.53,1.305
11.96,2.535,1.385
11.98,2.54,1.465
12,2.545,1.555
12.02,2.55,1.645
12.04,2.56,1.745
12.06,2.565,1.85
12.08,2.57,1.96
12.1,2.575,2.08
12.12,2.58,2.2
12.14,2.585,2.33
12.16,2.59,2.46
12.18,2.595,2.595
12.2,2.605,2.745
12.22,2.605,2.885
12.24,2.615,3.03
12.26,2.62,3.19
12.28,2.625,3.365
12.3,2.63,3.515
12.32,2.635,3.68
12.34,2.64,3.85
12.36,2.65,4.025
12.38,2.655,4.2
12.4,2.66,4.38
12.42,2.665,4.56
12.44,2.67,4.75
12.46,2.675,4.915
12.48,2.68,5.09
12.5,2.685,5.255
12.52,2.69,5.415
12.54,2.7,5.64
12.56,2.705,5.69
12.58,2.71,5.81
12.6,2.715,5.9
12.62,2.72,6.105
12.64,2.725,6.075
12.66,2.73,6.07
12.68,2.74,6.06
12.7,2.74,6.035
12.72,2.75,5.995
12.74,2.755,5.93
12.76,2.76,5.845
12.78,2.765,5.745
12.8,2.77,5.63
12.82,2.775,5.505
12.84,2.785,5.365
12.86,2.79,5.215
12.88,2.795,5.05
12.9,2.8,4.875
12.92,2.805,4.7
12.94,2.81,4.505
12.96,2.815,4.315
12.98,2.825,4.11
13,2.83,3.91
13.02,2.835,3.705
13.04,2.84,3.515
13.06,2.845,3.325
13.08,2.85,3.14
13.1,2.855,2.965
13.12,2.86,2.8
13.14,2.865,2.645
13.16,2.875,2.495
13.18,2.88,2.355
13.2,2.885,2.215
13.22,2.89,2.09
13.24,2.895,1.975
13.26,2.9,1.865
13.28,2.905,1.765
13.3,2.91,1.68
13.32,2.915,1.605
13.34,2.92,1.535
13.36,2.93,1.48
13.38,2.935,1.435
13.4,2.94,1.395
13.42,2.945,1.365
13.44,2.95,1.335
13.46,2.96,1.33
13.48,2.96,1.325
13.5,2.97,1.325
13.52,2.975,1.34
13.54,2.98,1.355
13.56,2.985,1.385
13.58,2.99,1.425
13.6,2.995,1.465
13.62,3,1.515
13.64,3.005,1.575
13.66,3.015,1.64
13.68,3.02,1.71
13.7,3.025,1.79
13.72,3.03,1.875
13.74,3.035,1.97
13.76,3.045,2.07
13.78,3.045,2.18
13.8,3.05,2.29
13.82,3.055,2.415
13.84,3.065,2.54
13.86,3.07,2.675
13.88,3.075,2.82
13.9,3.08,2.965
13.92,3.085,3.12
13.94,3.09,3.28
13.96,3.095,3.445
13.98,3.105,3.62
14,3.11,3.795
14.02,3.115,3.985
14.04,3.12,4.17
14.06,3.13,4.365
14.08,3.13,4.57
14.1,3.135,4.775
14.12,3.145,4.975
14.14,3.15,5.195
14.16,3.155,5.4
14.18,3.16,5.61
14.2,3.165,5.82
14.22,3.17,6.025
14.24,3.175,6.225
14.26,3.18,6.42
14.28,3.185,6.605
14.3,3.185,6.62
14.32,3.19,6.62
14.34,3.19,6.61
14.36,3.185,6.62
14.38,3.19,6.62
14.4,3.19,6.62
14.42,3.19,6.62
14.44,3.19,6.62
14.46,3.185,6.62
14.48,3.185,6.615
14.5,3.19,6.62
14.52,3.185,6.625
14.54,3.185,6.62
14.56,3.185,6.62
14.58,3.185,6.625
14.6,3.19,6.625
14.62,3.185,6.625
14.64,3.19,6.63
14.66,3.19,6.625
14.68,3.19,6.63
14.7,3.185,6.63
14.72,3.19,6.63
14.74,3.19,6.63
14.76,3.19,6.635
14.78,3.185,6.63
14.8,3.19,6.63
14.82,3.185,6.635
14.84,3.19,6.635
14.86,3.185,6.635
14.88,3.19,6.635
14.9,3.19,6.635
14.92,3.19,6.635
14.94,3.185,6.64
14.96,3.185,6.64
14.98,3.19,6.64
15,3.185,6.64
15.02,3.185,6.64
15.04,3.19,6.64
15.06,3.185,6.645
15.08,3.185,6.64
15.1,3.185,6.645
15.12,3.19,6.74
15.14,3.185,6.65
15.16,3.19,6.655
15.18,3.185,6.645
15.2,3.19,6.645
15.22,3.185,6.645
15.24,3.185,6.645
15.26,3.19,6.65
15.28,3.19,6.65
15.3,3.19,6.65
15.32,3.19,6.65
15.34,3.19,6.65
15.36,3.185,6.655
15.38,3.19,6.655
15.4,3.19,6.655
15.42,3.19,6.655
15.44,3.185,6.66
15.46,3.19,6.655
15.48,3.185,6.66
15.5,3.185,6.655
15.52,3.185,6.66
15.54,3.19,6.66
15.56,3.19,6.655
15.58,3.19,6.66
15.6,3.185,6.665
15.62,3.19,6.66
15.64,3.19,6.665
15.66,3.185,6.665
15.68,3.19,6.665
15.7,3.185,6.765
15.72,3.185,6.675
15.74,3.185,6.67
15.76,3.19,6.67
15.78,3.19,6.665
15.8,3.185,6.675
15.82,3.19,6.675
15.84,3.19,6.675
15.86,3.185,6.67
15.88,3.19,6.675
15.9,3.185,6.675
15.92,3.19,6.68
15.94,3.185,6.68
15.96,3.19,6.675
15.98,3.185,6.675
16,3.19,6.68
16.02,3.19,6.68
16.04,3.185,6.68
16.06,3.185,6.68
16.08,3.185,6.68
16.1,3.19,6.68
16.12,3.19,6.685
16.14,3.19,6.685
16.16,3.185,6.685
16.18,3.19,6.675
16.2,3.185,6.685
16.22,3.185,6.69
16.24,3.185,6.685
16.26,3.19,6.685
16.28,3.19,6.69
16.3,3.19,6.69
16.32,3.19,6.69
16.34,3.185,6.665
16.36,3.185,6.695
16.38,3.19,6.695
16.4,3.19,6.695
16.42,3.19,6.695
16.44,3.19,6.695
16.46,3.185,6.7
16.48,3.185,6.695
16.5,3.19,6.7
16.52,3.19,6.7
16.54,3.19,6.7
16.56,3.185,6.7
16.58,3.19,6.7
16.6,3.185,6.7
16.62,3.19,6.69
16.64,3.19,6.705
16.66,3.19,6.7
16.68,3.185,6.7
16.7,3.185,6.705
16.72,3.19,6.705
16.74,3.185,6.705
16.76,3.185,6.705
16.78,3.185,6.71
16.8,3.185,6.71
16.82,3.19,6.71
16.84,3.185,6.71
16.86,3.185,6.71
16.88,3.19,6.71
16.9,3.19,6.71
16.92,3.185,6.71
16.94,3.19,6.71
16.96,3.185,6.72
16.98,3.19,6.715
17,3.19,6.72
17.02,3.185,6.715
17.04,3.185,6.715
17.06,3.185,6.715
17.08,3.19,6.71
17.1,3.19,6.715
17.12,3.19,6.72
17.14,3.185,6.72
17.16,3.185,6.72
17.18,3.185,6.72
17.2,3.19,6.72
17.22,3.185,6.72
17.24,3.185,6.725
17.26,3.185,6.725
17.28,3.19,6.725
17.3,3.19,6.725
17.32,3.185,6.725
17.34,3.19,6.725
17.36,3.185,6.725
17.38,3.19,6.73
17.4,3.19,6.725
17.42,3.19,6.73
17.44,3.185,6.73
17.46,3.19,6.73
17.48,3.185,6.73
17.5,3.19,6.73
17.52,3.185,6.73
