Time t / s,Voltage U_B1 / V,Voltage U_A1 / V
0,0,0.006
0.02,-0.005,0.006
0.04,0,0.006
0.06,0,0.006
0.08,0,0.0045
0.1,0,0.006
0.12,-0.005,0.0045
0.14,0,0.0045
0.16,-0.005,0.003
0.18,0,0.003
0.2,0,0.003
0.22,0,0.003
0.24,0,0.006
0.26,0,0.003
0.28,-0.005,0.003
0.3,0,0.003
0.32,0,0.0015
0.34,0,0.003
0.36,0,0.003
0.38,0,0.003
0.4,-0.005,0.0015
0.42,-0.005,0.0015
0.44,-0.005,0.0015
0.46,0,0.0015
0.48,0,0.0015
0.5,-0.005,0
0.52,0,0.0015
0.54,0,0.0015
0.56,-0.005,0.0015
0.58,0,0
0.6,-0.005,0
0.62,0,0
0.64,0,0
0.66,0,-0.024
0.68,-0.005,-0.0075
0.7,0,0.0015
0.72,0,0
0.74,0,-0.0045
0.76,0,-0.0015
0.78,-0.005,0
0.8,0,0
0.82,0,-0.0015
0.84,-0.005,0
0.86,-0.005,-0.0015
0.88,-0.005,0
0.9,0,0.0015
0.92,0.23,0.387
0.94,0,-0.0735
0.96,0.005,-0.018
0.98,0.01,-0.006
1,0.015,0
1.02,0.025,0.0015
1.04,0.03,0.003
1.06,0.035,0.003
1.08,0.04,-0.009
1.1,0.045,0.0015
1.12,0.05,0.0045
1.14,0.055,0.0045
1.16,0.065,0.006
1.18,0.07,0.006
1.2,0.075,0.006
1.22,0.08,0.0045
1.24,0.085,0.0045
1.26,0.095,0.0045
1.28,0.1,0.003
1.3,0.105,0.0045
1.32,0.11,0.045
1.34,0.115,0.0015
1.36,0.125,0.0015
1.38,0.13,0.003
1.4,0.135,0.003
1.42,0.14,0.003
1.44,0.145,0.0045
1.46,0.15,0.006
1.48,0.155,0.006
1.5,0.165,0.006
1.52,0.165,0.0075
1.54,0.175,0.006
1.56,0.18,0.006
1.58,0.185,0.021
1.6,0.19,0.009
1.62,0.195,0.0075
1.64,0.205,0.0075
1.66,0.205,0.0075
1.68,0.215,0.009
1.7,0.22,0.0075
1.72,0.225,0.003
1.74,0.23,0.009
1.76,0.235,0.0105
1.78,0.24,0.012
1.8,0.25,0.012
1.82,0.255,0.012
1.84,0.26,0.0135
1.86,0.265,0.015
1.88,0.27,0.018
1.9,0.275,0.018
1.92,0.285,0.0195
1.94,0.29,0.0195
1.96,0.295,0.021
1.98,0.3,0.0225
2,0.31,0.021
2.02,0.31,0.021
2.04,0.32,0.0225
2.06,0.325,0.0225
2.08,0.325,0.024
2.1,0.335,0.0225
2.12,0.34,0.021
2.14,0.345,0.021
2.16,0.35,0.0195
2.18,0.355,0.018
2.2,0.365,0.018
2.22,0.37,0.0165
2.24,0.375,0.015
2.26,0.38,0.0135
2.28,0.385,0.012
2.3,0.39,0.012
2.32,0.395,0.0105
2.34,0.405,0.0105
2.36,0.41,0.009
2.38,0.415,0.0075
2.4,0.42,0.0075
2.42,0.425,0.0045
2.44,0.43,0.0075
2.46,0.435,0.006
2.48,0.445,0.006
2.5,0.45,0.006
2.52,0.455,0.006
2.54,0.46,0.0045
2.56,0.465,0.006
2.58,0.475,0.006
2.6,0.48,0.006
2.62,0.485,0.006
2.64,0.49,0.009
2.66,0.495,0.006
2.68,0.5,0.006
2.7,0.505,0.009
2.72,0.51,0.009
2.74,0.52,0.003
2.76,0.525,0.0105
2.78,0.53,0.0105
2.8,0.535,0.0135
2.82,0.54,0.015
2.84,0.545,0.018
2.86,0.55,0.018
2.88,0.555,0.021
2.9,0.565,0.021
2.92,0.57,0.0255
2.94,0.575,0.0255
2.96,0.58,0.03
2.98,0.585,0.033
3,0.59,0.033
3.02,0.6,0.0405
3.04,0.605,0.045
3.06,0.61,0.048
3.08,0.615,0.0525
