Time t / s,Voltage U_B1 / V,Voltage U_A1 / V
0,-0.005,0.005
0.02,0,0.015
0.04,0,0.01
0.06,0,0.005
0.08,-0.005,0.015
0.1,0,0.01
0.12,0,0.005
0.14,0,0.01
0.16,0,0.01
0.18,0,0.01
0.2,0,0.005
0.22,-0.005,0.015
0.24,0,0.015
0.26,0,0.01
0.28,0,0.005
0.3,0,0.015
0.32,0,0.01
0.34,-0.005,0.01
0.36,-0.005,0.005
0.38,0,0.01
0.4,0,0.01
0.42,-0.005,0.005
0.44,0,0.01
0.46,0,0.01
0.48,-0.005,0.005
0.5,0,0.01
0.52,0,0.01
0.54,0,0.01
0.56,-0.005,0.005
0.58,-0.005,0.005
0.6,0,0.01
0.62,0,0.005
0.64,0,0.005
0.66,-0.005,0.005
0.68,0,0.01
0.7,0,0.005
0.72,-0.005,0.01
0.74,0,0.01
0.76,0,0.01
0.78,0,0.005
0.8,0,0.01
0.82,0,0.01
0.84,-0.005,0.01
0.86,-0.005,0.005
0.88,0,0.005
0.9,0,0.01
0.92,0,0.005
0.94,0,0.005
0.96,-0.005,0.015
0.98,0,0.005
1,0,0
1.02,0,0.005
1.04,-0.005,0.055
1.06,-0.005,0.01
1.08,-0.005,0.005
1.1,-0.005,0.01
1.12,0,0.01
1.14,-0.005,0.01
1.16,0,0.005
1.18,0,0.01
1.2,0,0.005
1.22,3.19,10.24
1.24,0.005,-0.06
1.26,0.005,-0.025
1.28,0.015,-0.005
1.3,0.02,0
1.32,0.025,0.015
1.34,0.03,0.01
1.36,0.035,0.01
1.38,0.04,0.015
1.4,0.045,0.015
1.42,0.055,0.015
1.44,0.06,0.01
1.46,0.065,0.015
1.48,0.07,0.02
1.5,0.08,0.015
1.52,0.085,0.015
1.54,0.09,0.02
1.56,0.095,0.02
1.58,0.1,0.015
1.6,0.105,0.015
1.62,0.115,0.02
1.64,0.12,0.02
1.66,0.125,0.02
1.68,0.13,0.02
1.7,0.135,0.02
1.72,0.145,0.02
1.74,0.15,0.02
1.76,0.155,0.025
1.78,0.16,0.02
1.8,0.165,0.02
1.82,0.17,0.025
1.84,0.175,0.025
1.86,0.18,0.03
1.88,0.185,0.025
1.9,0.195,0.025
1.92,0.2,0.03
1.94,0.205,0.025
1.96,0.21,0.03
1.98,0.215,0.03
2,0.225,0.04
2.02,0.23,0.035
2.04,0.235,0.035
2.06,0.24,0.04
2.08,0.245,0.035
2.1,0.25,0.04
2.12,0.255,0.05
2.14,0.26,0.05
2.16,0.27,0.05
2.18,0.275,0.05
2.2,0.28,0.055
2.22,0.29,0.06
2.24,0.29,0.065
2.26,0.295,0.06
2.28,0.305,0.065
2.3,0.31,0.07
2.32,0.315,0.065
2.34,0.32,0.065
2.36,0.325,0.07
2.38,0.33,0.065
2.4,0.335,0.06
2.42,0.345,0.06
2.44,0.35,0.06
2.46,0.355,0.055
2.48,0.36,0.05
2.5,0.365,0.05
2.52,0.37,0.045
2.54,0.38,0.04
2.56,0.385,0.04
2.58,0.39,0.035
2.6,0.395,0.035
2.62,0.4,0.03
2.64,0.405,0.005
2.66,0.415,0.03
2.68,0.42,0.025
2.7,0.425,0.03
2.72,0.43,0.025
2.74,0.435,0.025
2.76,0.445,0.025
2.78,0.45,0.025
2.8,0.455,0.025
2.82,0.46,0.02
2.84,0.465,0.025
2.86,0.47,0.025
2.88,0.475,0.025
2.9,0.48,0.025
2.92,0.485,0.025
2.94,0.49,0.025
2.96,0.5,0.025
2.98,0.505,0.025
3,0.51,0.025
3.02,0.515,0.03
3.04,0.52,0.03
3.06,0.53,0.035
3.08,0.535,0.04
3.1,0.54,0.04
3.12,0.545,0.04
3.14,0.55,0.045
3.16,0.555,0.05
3.18,0.56,0.055
3.2,0.565,0.045
3.22,0.57,0.06
3.24,0.58,0.07
3.26,0.585,0.07
3.28,0.59,0.08
3.3,0.595,0.085
3.32,0.6,0.085
3.34,0.61,0.12
3.36,0.615,0.14
3.38,0.62,0.125
3.4,0.625,0.13
3.42,0.63,0.145
3.44,0.635,0.155
3.46,0.64,0.17
3.48,0.645,0.18
3.5,0.655,0.195
3.52,0.66,0.21
3.54,0.665,0.225
3.56,0.67,0.24
3.58,0.675,0.26
3.6,0.68,0.28
3.62,0.69,0.3
3.64,0.695,0.315
3.66,0.7,0.335
3.68,0.705,0.36
3.7,0.71,0.39
3.72,0.715,0.405
3.74,0.72,0.43
3.76,0.73,0.45
3.78,0.735,0.48
3.8,0.74,0.505
3.82,0.745,0.53
3.84,0.75,0.55
3.86,0.755,0.58
3.88,0.765,0.6
3.9,0.77,0.62
3.92,0.775,0.635
3.94,0.78,0.645
3.96,0.785,0.65
3.98,0.79,0.65
4,0.795,0.64
4.02,0.8,0.62
4.04,0.805,0.595
4.06,0.81,0.56
4.08,0.82,0.52
4.1,0.825,0.485
4.12,0.83,0.44
4.14,0.835,0.395
4.16,0.845,0.355
4.18,0.85,0.325
4.2,0.855,0.285
4.22,0.86,0.255
4.24,0.865,0.23
4.26,0.87,0.205
4.28,0.875,0.185
4.3,0.885,0.17
4.32,0.89,0.155
4.34,0.895,0.14
4.36,0.9,0.125
4.38,0.905,0.115
4.4,0.91,0.105
4.42,0.915,0.1
4.44,0.92,0.09
4.46,0.93,0.08
4.48,0.935,0.08
4.5,0.94,0.075
4.52,0.945,0.07
4.54,0.955,0.065
4.56,0.955,0.065
4.58,0.965,0.065
4.6,0.97,0.065
4.62,0.97,0.065
4.64,0.98,0.07
4.66,0.985,0.075
4.68,0.99,0.08
4.7,0.995,-0.09
4.72,1.005,0.03
4.74,1.005,0.12
4.76,1.01,0.11
4.78,1.02,0.12
4.8,1.025,0.13
4.82,1.03,0.145
4.84,1.035,0.16
4.86,1.045,0.175
4.88,1.045,0.195
4.9,1.055,0.21
4.92,1.06,0.235
4.94,1.065,0.25
4.96,1.07,0.275
4.98,1.075,0.305
5,1.085,0.33
5.02,1.09,0.36
5.04,1.095,0.39
5.06,1.1,0.425
5.08,1.105,0.455
5.1,1.11,0.49
5.12,1.115,0.53
5.14,1.125,0.565
5.16,1.13,0.61
5.18,1.135,0.665
5.2,1.14,0.7
5.22,1.145,0.735
5.24,1.15,0.78
5.26,1.155,0.83
5.28,1.16,0.875
5.3,1.165,0.93
5.32,1.175,0.975
5.34,1.18,1.03
5.36,1.185,1.085
5.38,1.19,1.145
5.4,1.195,1.2
5.42,1.205,1.26
5.44,1.21,1.32
5.46,1.215,1.385
5.48,1.22,1.445
5.5,1.225,1.505
5.52,1.23,1.565
5.54,1.235,1.615
5.56,1.245,1.67
5.58,1.25,1.715
5.6,1.255,1.75
5.62,1.26,1.77
5.64,1.265,1.775
5.66,1.27,1.775
5.68,1.275,1.75
5.7,1.28,1.71
5.72,1.285,1.65
5.74,1.295,1.575
5.76,1.3,1.49
5.78,1.305,1.395
5.8,1.31,1.295
5.82,1.315,1.19
5.84,1.32,1.09
5.86,1.33,1
5.88,1.335,0.905
5.9,1.34,0.82
5.92,1.345,0.75
5.94,1.35,0.685
5.96,1.355,0.62
5.98,1.36,0.565
6,1.37,0.515
6.02,1.375,0.465
6.04,1.38,0.425
6.06,1.385,0.385
6.08,1.395,0.345
6.1,1.395,0.305
6.12,1.405,0.29
6.14,1.41,0.26
6.16,1.415,0.25
6.18,1.42,0.225
6.2,1.425,0.21
6.22,1.43,0.195
6.24,1.44,0.18
6.26,1.445,0.18
6.28,1.445,0.175
6.3,1.455,0.175
6.32,1.46,0.175
6.34,1.465,0.18
6.36,1.47,0.185
6.38,1.475,0.2
6.4,1.48,0.21
6.42,1.485,0.225
6.44,1.495,0.24
6.46,1.5,0.26
6.48,1.505,0.285
6.5,1.51,0.305
6.52,1.515,0.335
6.54,1.52,0.36
6.56,1.53,0.39
6.58,1.53,0.425
6.6,1.54,0.46
6.62,1.545,0.5
6.64,1.55,0.54
6.66,1.555,0.585
6.68,1.565,0.63
6.7,1.565,0.68
6.72,1.575,0.73
6.74,1.58,0.785
6.76,1.585,0.84
6.78,1.59,0.905
6.8,1.595,0.97
6.82,1.6,1.03
6.84,1.605,1.095
6.86,1.61,1.165
6.88,1.62,1.24
6.9,1.625,1.315
6.92,1.63,1.39
6.94,1.635,1.47
6.96,1.64,1.56
6.98,1.645,1.64
7,1.65,1.73
7.02,1.66,1.82
7.04,1.665,1.915
7.06,1.67,2.005
7.08,1.675,2.1
7.1,1.68,2.2
7.12,1.69,2.3
7.14,1.695,2.4
7.16,1.7,2.5
7.18,1.705,2.6
7.2,1.71,2.695
7.22,1.715,2.785
7.24,1.72,2.875
7.26,1.725,2.955
7.28,1.73,3.025
7.3,1.74,3.07
7.32,1.745,3.115
7.34,1.75,3.13
7.36,1.755,3.125
7.38,1.76,3.095
7.4,1.77,3.04
7.42,1.77,2.96
7.44,1.775,2.86
7.46,1.78,2.745
7.48,1.79,2.61
7.5,1.795,2.47
7.52,1.8,2.325
7.54,1.805,2.18
7.56,1.81,2.04
7.58,1.815,1.905
7.6,1.82,1.77
7.62,1.83,1.65
7.64,1.835,1.53
7.66,1.84,1.415
7.68,1.845,1.31
7.7,1.85,1.2
7.72,1.855,1.1
7.74,1.865,1.005
7.76,1.87,0.9
7.78,1.875,0.835
7.8,1.88,0.765
7.82,1.885,0.695
7.84,1.89,0.635
7.86,1.895,0.585
7.88,1.905,0.535
7.9,1.91,0.5
7.92,1.915,0.475
7.94,1.92,0.435
7.96,1.925,0.41
7.98,1.93,0.39
8,1.935,0.38
8.02,1.94,0.37
8.04,1.945,0.365
8.06,1.95,0.37
8.08,1.96,0.37
8.1,1.965,0.385
8.12,1.97,0.4
8.14,1.975,0.42
8.16,1.98,0.435
8.18,1.99,0.455
8.2,1.995,0.49
8.22,2,0.52
8.24,2.005,0.56
8.26,2.01,0.6
8.28,2.015,0.64
8.3,2.025,0.69
8.32,2.03,0.745
8.34,2.035,0.8
8.36,2.04,0.86
8.38,2.045,0.92
8.4,2.05,0.985
8.42,2.055,1.055
8.44,2.06,1.14
8.46,2.065,1.21
8.48,2.075,1.295
8.5,2.08,1.38
8.52,2.085,1.465
8.54,2.09,1.56
8.56,2.095,1.66
8.58,2.1,1.76
8.6,2.105,1.865
8.62,2.11,1.975
8.64,2.12,2.085
8.66,2.125,2.2
8.68,2.13,2.32
8.7,2.135,2.44
8.72,2.14,2.56
8.74,2.145,2.69
8.76,2.15,2.825
8.78,2.155,2.955
8.8,2.165,3.095
8.82,2.17,3.235
8.84,2.175,3.37
8.86,2.18,3.52
8.88,2.185,3.65
8.9,2.19,3.79
8.92,2.2,3.925
8.94,2.205,4.05
8.96,2.21,4.17
8.98,2.215,4.27
9,2.22,4.36
9.02,2.225,4.435
9.04,2.23,4.49
9.06,2.235,4.515
9.08,2.245,4.485
9.1,2.25,4.495
9.12,2.255,4.445
9.14,2.26,4.37
9.16,2.265,4.27
9.18,2.27,4.155
9.2,2.275,4.025
9.22,2.28,3.885
9.24,2.285,3.735
9.26,2.295,3.58
9.28,2.3,3.415
9.3,2.305,3.255
9.32,2.31,3.095
9.34,2.315,2.935
9.36,2.325,2.77
9.38,2.33,2.61
9.4,2.335,2.445
9.42,2.34,2.285
9.44,2.345,2.125
9.46,2.35,1.975
9.48,2.355,1.825
9.5,2.36,1.695
9.52,2.37,1.565
9.54,2.375,1.45
9.56,2.38,1.345
9.58,2.385,1.25
9.6,2.39,1.165
9.62,2.395,1.085
9.64,2.405,1.015
9.66,2.41,0.95
9.68,2.41,0.89
9.7,2.415,0.845
9.72,2.425,0.8
9.74,2.43,0.77
9.76,2.435,0.74
9.78,2.44,0.72
9.8,2.445,0.71
9.82,2.45,0.705
9.84,2.455,0.71
9.86,2.465,0.715
9.88,2.47,0.725
9.9,2.475,0.745
9.92,2.48,0.77
9.94,2.485,0.795
9.96,2.49,0.83
9.98,2.5,0.875
10,2.505,0.92
10.02,2.51,0.975
10.04,2.515,1.03
10.06,2.52,1.1
10.08,2.525,1.165
10.1,2.53,1.24
10.12,2.54,1.32
10.14,2.54,1.405
10.16,2.55,1.495
10.18,2.555,1.59
10.2,2.56,1.695
10.22,2.565,1.795
10.24,2.57,1.91
10.26,2.575,2.025
10.28,2.58,2.15
10.3,2.585,2.275
10.32,2.59,2.405
10.34,2.6,2.54
10.36,2.605,2.685
10.38,2.61,2.83
10.4,2.615,2.98
10.42,2.62,3.135
10.44,2.625,3.29
10.46,2.635,3.455
10.48,2.64,3.625
10.5,2.645,3.8
10.52,2.65,3.97
10.54,2.655,4.15
10.56,2.66,4.33
10.58,2.665,4.495
10.6,2.675,4.68
10.62,2.68,4.86
10.64,2.685,5.03
10.66,2.69,5.195
10.68,2.695,5.345
10.7,2.7,5.485
10.72,2.705,5.62
10.74,2.71,5.735
10.76,2.715,5.82
10.78,2.725,5.88
10.8,2.73,5.93
10.82,2.735,5.95
10.84,2.74,5.945
10.86,2.745,5.92
10.88,2.75,5.865
10.9,2.755,5.795
10.92,2.76,5.705
10.94,2.765,5.615
10.96,2.77,5.475
10.98,2.78,5.35
11,2.785,5.215
11.02,2.79,5.05
11.04,2.795,4.885
11.06,2.8,4.71
11.08,2.81,4.525
11.1,2.815,4.335
11.12,2.82,4.145
11.14,2.825,3.94
11.16,2.83,3.74
11.18,2.835,3.545
11.2,2.84,3.355
11.22,2.85,3.165
11.24,2.855,2.985
11.26,2.86,2.82
11.28,2.865,2.645
11.3,2.87,2.435
11.32,2.875,2.255
11.34,2.88,2.215
11.36,2.885,2.095
11.38,2.89,1.975
11.4,2.895,1.86
11.42,2.9,1.755
11.44,2.91,1.66
11.46,2.915,1.58
11.48,2.92,1.51
11.5,2.925,1.445
11.52,2.93,1.395
11.54,2.94,1.35
11.56,2.945,1.315
11.58,2.95,1.265
11.6,2.955,1.275
11.62,2.96,1.265
11.64,2.965,1.255
11.66,2.97,1.265
11.68,2.975,1.265
11.7,2.985,1.305
11.72,2.99,1.335
11.74,2.995,1.375
11.76,3,1.425
11.78,3.005,1.475
11.8,3.01,1.54
11.82,3.015,1.61
11.84,3.025,1.68
11.86,3.03,1.755
11.88,3.035,1.855
11.9,3.04,1.955
11.92,3.045,2.06
11.94,3.05,2.17
11.96,3.055,2.29
11.98,3.06,2.415
12,3.065,2.545
12.02,3.07,2.685
12.04,3.075,2.83
12.06,3.085,2.98
12.08,3.09,3.14
12.1,3.095,3.3
12.12,3.1,3.475
12.14,3.105,3.65
12.16,3.11,3.835
12.18,3.115,4.02
12.2,3.125,4.21
12.22,3.13,4.41
12.24,3.135,4.615
12.26,3.14,4.82
12.28,3.145,5.03
12.3,3.15,5.24
12.32,3.155,5.455
12.34,3.165,5.665
12.36,3.17,5.875
12.38,3.175,6.08
12.4,3.18,6.28
12.42,3.185,6.47
12.44,3.19,6.59
12.46,3.19,6.635
12.48,3.185,6.59
12.5,3.19,6.58
12.52,3.19,6.565
12.54,3.185,6.58
12.56,3.185,6.585
12.58,3.19,6.585
12.6,3.19,6.585
12.62,3.19,6.585
12.64,3.185,6.59
12.66,3.185,6.585
12.68,3.185,6.585
12.7,3.19,6.585
12.72,3.19,6.59
12.74,3.19,6.59
12.76,3.185,6.59
12.78,3.185,6.59
12.8,3.185,6.59
12.82,3.185,6.59
12.84,3.185,6.595
12.86,3.185,6.59
12.88,3.19,6.595
12.9,3.185,6.59
12.92,3.185,6.605
12.94,3.19,6.595
12.96,3.19,6.595
12.98,3.19,6.595
13,3.19,6.595
13.02,3.19,6.595
13.04,3.19,6.605
13.06,3.19,6.605
13.08,3.19,6.605
13.1,3.185,6.61
13.12,3.19,6.61
13.14,3.19,6.605
13.16,3.185,6.61
13.18,3.185,6.61
13.2,3.185,6.615
13.22,3.19,6.61
13.24,3.19,6.615
13.26,3.19,6.615
13.28,3.185,6.615
13.3,3.19,6.62
13.32,3.185,6.615
13.34,3.19,6.62
13.36,3.185,6.61
13.38,3.185,6.615
13.4,3.19,6.615
13.42,3.19,6.615
13.44,3.19,6.615
13.46,3.19,6.615
13.48,3.19,6.615
13.5,3.185,6.615
13.52,3.185,6.615
13.54,3.185,6.62
13.56,3.19,6.62
13.58,3.185,6.62
13.6,3.185,6.62
13.62,3.185,6.615
13.64,3.19,6.62
13.66,3.19,6.625
13.68,3.19,6.625
13.7,3.185,6.625
13.72,3.19,6.625
13.74,3.19,6.62
13.76,3.19,6.625
13.78,3.185,6.63
13.8,3.19,6.63
13.82,3.19,6.635
13.84,3.19,6.63
13.86,3.185,6.63
13.88,3.185,6.63
13.9,3.19,6.635
13.92,3.19,6.63
13.94,3.185,6.635
13.96,3.19,6.635
13.98,3.19,6.64
14,3.185,6.64
14.02,3.19,6.64
14.04,3.19,6.64
14.06,3.19,6.645
14.08,3.19,6.655
14.1,3.185,6.645
14.12,3.19,6.635
14.14,3.19,6.64
14.16,3.19,6.645
14.18,3.19,6.645
14.2,3.185,6.655
14.22,3.19,6.655
14.24,3.185,6.655
14.26,3.19,6.66
14.28,3.19,6.655
14.3,3.185,6.655
14.32,3.19,6.66
14.34,3.185,6.66
14.36,3.19,6.665
14.38,3.19,6.66
14.4,3.19,6.665
14.42,3.19,6.66
14.44,3.185,6.665
14.46,3.185,6.665
14.48,3.185,6.665
14.5,3.19,6.665
14.52,3.185,6.665
14.54,3.19,6.66
14.56,3.19,6.665
14.58,3.185,6.665
14.6,3.19,6.66
14.62,3.19,6.665
14.64,3.19,6.665
14.66,3.185,6.67
14.68,3.19,6.67
14.7,3.185,6.67
14.72,3.19,6.67
14.74,3.19,6.67
14.76,3.19,6.675
14.78,3.19,6.675
14.8,3.185,6.675
14.82,3.185,6.675
14.84,3.185,6.675
14.86,3.19,6.675
14.88,3.19,6.675
14.9,3.19,6.68
14.92,3.19,6.68
14.94,3.185,6.68
14.96,3.19,6.675
14.98,3.19,6.685
15,3.185,6.685
15.02,3.19,6.685
15.04,3.185,6.685
15.06,3.185,6.685
15.08,3.185,6.69
15.1,3.185,6.69
15.12,3.185,6.69
15.14,3.19,6.69
15.16,3.19,6.695
15.18,3.19,6.695
15.2,3.185,6.695
15.22,3.185,6.695
15.24,3.19,6.695
15.26,3.185,6.695
15.28,3.185,6.7
15.3,3.19,6.7
15.32,3.19,6.7
15.34,3.19,6.7
15.36,3.19,6.705
15.38,3.19,6.705
15.4,3.19,6.705
15.42,3.185,6.71
15.44,3.185,6.71
15.46,3.185,6.71
15.48,3.19,6.715
15.5,3.19,6.715
15.52,3.19,6.715
15.54,3.19,6.72
15.56,3.185,6.72
15.58,3.19,6.72
15.6,3.185,6.72
15.62,3.19,6.72
15.64,3.185,6.725
15.66,3.185,6.725
15.68,3.185,6.72
15.7,3.185,6.725
15.72,3.19,6.71
15.74,3.19,6.745
15.76,0,-0.075
15.78,0,-0.07
15.8,0,-0.065
15.82,0,-0.06
15.84,0,-0.06
15.86,-0.005,-0.055
15.88,0,-0.05
15.9,0,-0.05
15.92,-0.005,-0.045
15.94,0,-0.045
15.96,-0.005,-0.045
15.98,0,-0.04
16,-0.005,-0.04
16.02,0,-0.04
16.04,0,-0.04
16.06,0,-0.035
16.08,-0.005,-0.05
16.1,-0.005,-0.035
16.12,0,-0.035
16.14,-0.005,-0.035
16.16,0,-0.03
16.18,0,-0.03
16.2,0,-0.035
16.22,0,-0.03
16.24,-0.005,-0.03
16.26,0,-0.03
16.28,0,-0.03
16.3,-0.005,-0.025
16.32,0,-0.025
16.34,-0.005,-0.03
16.36,0,-0.025
16.38,0,-0.025
16.4,0,-0.03
16.42,0,-0.025
16.44,0,-0.025
16.46,-0.005,-0.025
16.48,0,-0.025
16.5,0,-0.02
16.52,0,-0.025
16.54,-0.005,-0.03
16.56,-0.005,-0.045
16.58,0,0.22
16.6,0,0.175
16.62,-0.005,0.175
16.64,0,-0.01
16.66,0,-0.025
16.68,0,-0.02
16.7,0,-0.02
16.72,0,-0.02
16.74,0,-0.02
16.76,-0.005,-0.02
16.78,-0.005,-0.02
16.8,0,-0.02
16.82,0,-0.02
16.84,0,-0.02
16.86,-0.005,-0.02
16.88,0,-0.02
16.9,0,-0.02
16.92,-0.005,-0.02
16.94,0,-0.02
16.96,-0.005,-0.02
16.98,0,-0.02
17,0,-0.02
17.02,0,-0.02
17.04,0,-0.02
17.06,0,-0.02
17.08,-0.005,-0.02
17.1,0,-0.02
17.12,-0.005,-0.02
17.14,0,-0.065
17.16,-0.005,-0.025
17.18,-0.005,-0.02
17.2,0,-0.02
17.22,-0.005,-0.015
17.24,-0.005,-0.02
17.26,0,-0.02
17.28,0,-0.02
17.3,0,-0.02
17.32,0,-0.02
17.34,0,-0.02
17.36,-0.005,-0.045
17.38,-0.005,-0.025
17.4,-0.005,-0.02
17.42,0,-0.02
17.44,0,-0.02
17.46,0,-0.02
17.48,0,-0.02
17.5,-0.005,-0.015
17.52,0,-0.015
17.54,0,-0.015
17.56,-0.005,-0.015
17.58,-0.005,-0.02
17.6,0,-0.015
17.62,-0.005,-0.015
17.64,-0.005,-0.015
17.66,0,-0.015
17.68,0,-0.015
17.7,0,-0.015
17.72,0,-0.015
17.74,0,-0.015
17.76,-0.005,-0.015
17.78,0,-0.015
17.8,-0.005,-0.015
17.82,-0.005,-0.02
17.84,0,-0.015
17.86,-0.005,-0.015
17.88,0,-0.015
17.9,0,-0.015
17.92,0,-0.015
17.94,0,-0.015
17.96,0,-0.015
17.98,0,-0.015
18,0,-0.015
18.02,0,-0.015
18.04,0,-0.015
18.06,-0.005,-0.015
18.08,0,-0.015
18.1,0,-0.015
18.12,-0.005,-0.015
18.14,0,-0.015
18.16,0,-0.015
18.18,-0.005,-0.015
18.2,0,-0.015
18.22,0,-0.015
18.24,0,-0.015
18.26,0,-0.015
18.28,-0.005,-0.015
18.3,0,-0.015
18.32,0,-0.015
18.34,0,-0.015
18.36,0,-0.015
18.38,-0.005,-0.015
18.4,0,-0.015
18.42,-0.005,-0.015
18.44,0,-0.015
18.46,0,-0.03
18.48,-0.005,-0.015
18.5,-0.005,-0.035
18.52,-0.005,-0.04
18.54,0,-0.015
18.56,0,-0.015
18.58,0,-0.015
18.6,-0.005,-0.015
18.62,0,-0.015
18.64,-0.005,-0.015
18.66,0,-0.015
