Time t / s,Voltage U_B1 / V,Voltage U_A1 / V
0,0,-0.005
0.02,0,-0.005
0.04,0,-0.005
0.06,0,-0.005
0.08,0,-0.005
0.1,0,0
0.12,-0.005,-0.005
0.14,-0.005,-0.005
0.16,0,-0.005
0.18,-0.005,-0.005
0.2,0,0
0.22,-0.005,-0.005
0.24,-0.005,-0.005
0.26,-0.005,-0.005
0.28,-0.005,-0.005
0.3,0,-0.005
0.32,-0.005,0
0.34,0,0
0.36,-0.005,-0.04
0.38,-0.005,0
0.4,0,-0.005
0.42,0,0
0.44,0,-0.005
0.46,0,-0.005
0.48,0,-0.005
0.5,-0.005,-0.005
0.52,0,-0.005
0.54,-0.005,-0.005
0.56,-0.005,-0.005
0.58,0,0
0.6,0,0
0.62,0,0
0.64,0,0
0.66,-0.005,0
0.68,0,-0.005
0.7,0,0
0.72,0,-0.005
0.74,0,0
0.76,-0.005,0
0.78,0,0
0.8,0,0
0.82,0,0
0.84,-0.005,0
0.86,0,-0.005
0.88,0,-0.005
0.9,0,0
0.92,0,-0.005
0.94,0,-0.005
0.96,-0.005,0
0.98,0,0
1,0,0
1.02,0,0
1.04,-0.005,-0.005
1.06,0,-0.075
1.08,0.005,-0.04
1.1,0.01,-0.015
1.12,0.015,-0.005
1.14,0.025,0
1.16,0.03,0
1.18,0.035,0
1.2,0.04,0.005
1.22,0.045,0.005
1.24,0.05,0
1.26,0.055,0.005
1.28,0.065,0.005
1.3,0.07,0
1.32,0.075,0
1.34,0.08,0.005
1.36,0.085,0.005
1.38,0.095,0.005
1.4,0.1,0.005
1.42,0.105,0.005
1.44,0.11,0.005
1.46,0.115,0.005
1.48,0.12,0.005
1.5,0.13,0.005
1.52,0.135,0.005
1.54,0.14,0.005
1.56,0.145,0.005
1.58,0.15,0.005
1.6,0.155,0.01
1.62,0.16,0.005
1.64,0.165,-0.005
1.66,0.175,0.005
1.68,0.18,0.01
1.7,0.185,0.01
1.72,0.19,0.01
1.74,0.195,0.01
1.76,0.2,0.015
1.78,0.21,0.015
1.8,0.215,0.015
1.82,0.22,0.025
1.84,0.225,0.02
1.86,0.23,0.02
1.88,0.235,0.02
1.9,0.245,0.025
1.92,0.25,0.02
1.94,0.255,0.025
1.96,0.26,0.025
1.98,0.265,0.03
2,0.27,0.03
2.02,0.28,0.035
2.04,0.285,0.035
2.06,0.29,0.04
2.08,0.295,0.04
2.1,0.3,0.04
2.12,0.305,0.045
2.14,0.31,0.045
2.16,0.32,0.045
2.18,0.325,0.04
2.2,0.33,0.055
2.22,0.335,0.04
2.24,0.34,0.04
2.26,0.345,0.035
2.28,0.35,0.035
2.3,0.355,0.03
2.32,0.365,0.025
2.34,0.37,0.025
2.36,0.375,0.025
2.38,0.38,0.015
2.4,0.385,0.02
2.42,0.39,0.02
2.44,0.395,0.02
2.46,0.405,0.015
2.48,0.41,0.015
2.5,0.415,0.015
2.52,0.42,0.015
2.54,0.43,0.015
2.56,0.435,0.015
2.58,0.44,0.015
