Time t / s,Voltage U_A1 / V,Voltage U_B1 / V
0,0,0.01
0.02,0,0.01
0.04,0,0.01
0.06,0,0.01
0.08,0,0.01
0.1,0.015,0.01
0.12,0,0.01
0.14,0,0.01
0.16,0.015,0.01
0.18,0,0.01
0.2,0,0.01
0.22,0,0.01
0.24,0,0.01
0.26,0.015,0.01
0.28,0.015,0.01
0.3,0,0.01
0.32,0.015,0.01
0.34,0,0.01
0.36,0,0.01
0.38,0,0.01
0.4,0,0.01
0.42,0,0.01
0.44,0,0.01
0.46,0,0.01
0.48,0,0.01
0.5,0.015,0.01
0.52,0,0.015
0.54,0,0.01
0.56,0,0.01
0.58,0,0.01
0.6,0.015,0.01
0.62,0,0.01
0.64,0,0.01
0.66,0,0.01
0.68,0,0.01
0.7,0,0.015
0.72,0.015,0.01
0.74,0,0.01
0.76,0,0.015
0.78,0.015,0.01
0.8,0,0.01
0.82,0.015,0.01
0.84,0,0.01
0.86,0,0.01
0.88,0,0.01
0.9,0.015,0.01
0.92,0.015,0.01
0.94,0,0.01
0.96,0.015,0.01
0.98,0.015,0.01
1,12.42,3.185
1.02,-0.015,0.015
1.04,0,0.02
1.06,0.015,0.025
1.08,0.015,0.03
1.1,0,0.035
1.12,0.015,0.04
1.14,0.015,0.045
1.16,0,0.055
1.18,0.015,0.06
1.2,0.015,0.065
1.22,0.015,0.07
1.24,0.015,0.075
1.26,0.015,0.08
1.28,0.015,0.085
1.3,0.015,0.09
1.32,0.015,0.095
1.34,0.015,0.1
1.36,0.015,0.105
1.38,0.015,0.11
1.4,0.015,0.115
1.42,0.015,0.12
1.44,0.015,0.125
1.46,0.015,0.13
1.48,0.015,0.135
1.5,0.015,0.14
1.52,0.015,0.145
1.54,0.015,0.15
1.56,0.015,0.16
1.58,0.015,0.16
1.6,0.015,0.165
1.62,0.015,0.17
1.64,0.015,0.175
1.66,0.015,0.18
1.68,0.015,0.185
1.7,0.03,0.19
1.72,0.015,0.195
1.74,0.015,0.2
1.76,0.03,0.205
1.78,0.03,0.21
1.8,0.03,0.215
1.82,0.03,0.22
1.84,0.03,0.225
1.86,0.045,0.23
1.88,0.045,0.235
1.9,0.045,0.24
1.92,0.03,0.245
1.94,0.06,0.25
1.96,0.075,0.255
1.98,0.075,0.26
2,0.075,0.265
2.02,0.09,0.27
2.04,0.105,0.28
2.06,0.12,0.28
2.08,0.105,0.29
2.1,0.135,0.295
2.12,0.15,0.295
2.14,0.15,0.305
2.16,0.165,0.31
2.18,0.195,0.315
2.2,0.195,0.315
2.22,0.21,0.325
2.24,0.24,0.325
2.26,0.24,0.33
2.28,0.27,0.335
2.3,0.3,0.34
2.32,0.315,0.345
2.34,0.33,0.355
2.36,0.345,0.36
2.38,0.375,0.36
2.4,0.405,0.37
2.42,0.42,0.375
2.44,0.45,0.375
2.46,0.465,0.38
2.48,0.495,0.39
2.5,0.51,0.39
2.52,0.525,0.4
2.54,0.54,0.4
2.56,0.54,0.405
2.58,0.555,0.41
2.6,0.54,0.415
2.62,0.525,0.425
2.64,0.51,0.425
2.66,0.465,0.435
2.68,0.42,0.44
2.7,0.375,0.445
2.72,0.345,0.45
2.74,0.315,0.455
2.76,0.27,0.46
2.78,0.225,0.465
2.8,0.21,0.47
2.82,0.18,0.475
2.84,0.15,0.48
2.86,0.135,0.485
2.88,0.105,0.49
2.9,0.09,0.495
2.92,0.075,0.5
2.94,0.075,0.505
2.96,0.06,0.505
2.98,0.06,0.515
3,0.045,0.52
3.02,0.045,0.52
3.04,0.03,0.53
3.06,0.03,0.53
3.08,0.03,0.54
3.1,0.03,0.545
3.12,0.03,0.55
3.14,0.03,0.555
3.16,0.03,0.555
3.18,0.03,0.565
3.2,0.03,0.57
3.22,0.03,0.57
3.24,0.045,0.58
3.26,0.03,0.585
3.28,0.045,0.585
3.3,0.045,0.595
3.32,0.06,0.6
3.34,0.06,0.605
3.36,0.06,0.61
3.38,0.075,0.615
3.4,0.09,0.62
3.42,0.09,0.625
3.44,0.09,0.63
3.46,0.105,0.635
3.48,0.12,0.64
3.5,0.135,0.645
3.52,0.165,0.65
3.54,0.18,0.655
3.56,0.21,0.66
3.58,0.225,0.665
3.6,0.255,0.665
3.62,0.285,0.675
3.64,0.33,0.68
3.66,0.345,0.685
3.68,0.39,0.69
3.7,0.42,0.695
3.72,0.45,0.7
3.74,0.495,0.705
3.76,0.525,0.71
3.78,0.57,0.715
3.8,0.615,0.72
3.82,0.66,0.725
3.84,0.705,0.73
3.86,0.765,0.735
3.88,0.81,0.74
3.9,0.87,0.745
3.92,0.915,0.75
3.94,0.975,0.755
3.96,1.035,0.76
3.98,1.095,0.765
4,1.17,0.77
4.02,1.23,0.775
4.04,1.29,0.78
4.06,1.365,0.785
4.08,1.44,0.79
4.1,1.5,0.795
4.12,1.575,0.8
4.14,1.65,0.805
4.16,1.74,0.81
4.18,1.815,0.815
4.2,1.905,0.82
4.22,1.98,0.825
4.24,2.055,0.83
4.26,2.16,0.835
4.28,2.25,0.84
4.3,2.325,0.845
4.32,2.415,0.85
4.34,2.505,0.855
4.36,2.595,0.86
4.38,2.685,0.865
4.4,2.775,0.87
4.42,2.85,0.875
4.44,2.895,0.88
4.46,2.955,0.885
4.48,2.985,0.89
4.5,3.015,0.895
4.52,3.015,0.9
4.54,3,0.905
4.56,2.955,0.91
4.58,2.88,0.915
4.6,2.805,0.92
4.62,2.7,0.925
4.64,2.58,0.93
4.66,2.445,0.935
4.68,2.325,0.94
4.7,2.19,0.945
4.72,2.07,0.955
4.74,1.965,0.955
4.76,1.845,0.96
4.78,1.725,0.965
4.8,1.605,0.97
4.82,1.5,0.975
4.84,1.38,0.98
4.86,1.26,0.985
4.88,1.14,0.99
4.9,1.02,0.995
4.92,0.915,1
4.94,0.825,1.005
4.96,0.735,1.01
4.98,0.66,1.015
5,0.6,1.02
5.02,0.555,1.025
5.04,0.495,1.03
5.06,0.465,1.035
5.08,0.405,1.04
5.1,0.39,1.045
5.12,0.36,1.05
5.14,0.345,1.055
5.16,0.33,1.06
5.18,0.33,1.065
5.2,0.33,1.07
5.22,0.345,1.075
5.24,0.36,1.08
5.26,0.375,1.085
5.28,0.375,1.09
5.3,0.405,1.095
5.32,0.435,1.1
5.34,0.45,1.105
5.36,0.48,1.11
5.38,0.495,1.115
5.4,0.525,1.125
5.42,0.555,1.125
5.44,0.6,1.13
5.46,0.645,1.135
5.48,0.69,1.14
5.5,0.75,1.145
5.52,0.81,1.15
5.54,0.87,1.155
5.56,0.93,1.16
5.58,0.99,1.165
5.6,1.05,1.17
5.62,1.125,1.175
5.64,1.185,1.18
5.66,1.245,1.185
5.68,1.335,1.19
5.7,1.425,1.195
5.72,1.5,1.2
5.74,1.59,1.205
5.76,1.665,1.21
5.78,1.77,1.215
5.8,1.86,1.22
5.82,1.965,1.225
5.84,2.055,1.23
5.86,2.16,1.235
5.88,2.265,1.24
5.9,2.385,1.245
5.92,2.49,1.25
5.94,2.61,1.255
5.96,2.73,1.26
5.98,2.865,1.265
6,2.97,1.27
6.02,3.105,1.275
6.04,3.24,1.28
6.06,3.375,1.285
6.08,3.51,1.29
6.1,3.645,1.295
6.12,3.78,1.3
6.14,3.93,1.305
6.16,4.08,1.31
6.18,4.23,1.315
6.2,4.38,1.32
6.22,4.515,1.325
6.24,4.68,1.335
6.26,4.815,1.34
6.28,4.98,1.34
6.3,5.115,1.345
6.32,5.28,1.35
6.34,5.4,1.355
6.36,5.535,1.365
6.38,5.655,1.365
6.4,5.76,1.37
6.42,5.85,1.38
6.44,5.91,1.38
6.46,5.97,1.39
6.48,5.985,1.395
6.5,5.985,1.4
6.52,5.955,1.4
6.54,5.91,1.41
6.56,5.82,1.415
6.58,5.715,1.42
6.6,5.61,1.425
6.62,5.49,1.425
6.64,5.34,1.435
6.66,5.19,1.44
6.68,5.04,1.445
6.7,4.89,1.45
6.72,4.725,1.45
6.74,4.56,1.455
6.76,4.365,1.465
6.78,4.185,1.465
6.8,3.975,1.475
6.82,3.765,1.475
6.84,3.555,1.48
6.86,3.33,1.49
6.88,3.135,1.495
6.9,2.925,1.495
