Time t / s,Voltage U_A1 / V,Voltage U_B1 / V
0,0.0045,0.009
0.02,0.0045,0.009
0.04,0.0045,0.0075
0.06,0.006,0.0075
0.08,0.0045,0.0075
0.1,0.006,0.009
0.12,0.0045,0.009
0.14,0.0045,0.009
0.16,0.0045,0.0075
0.18,0.006,0.0075
0.2,0.003,0.009
0.22,0.0045,0.009
0.24,0.0045,0.0075
0.26,0.0045,0.0075
0.28,0.0045,0.006
0.3,0.0045,0.0075
0.32,0.0045,0.009
0.34,0.006,0.0075
0.36,0.006,0.009
0.38,0.0045,0.0075
0.4,0.006,0.0075
0.42,0.0045,0.0075
0.44,0.0045,0.009
0.46,0.0075,0.009
0.48,0.0045,0.0075
0.5,0.006,0.0075
0.52,0.0045,0.0075
0.54,0.0045,0.0075
0.56,0.003,0.009
0.58,0.003,0.009
0.6,0.0045,0.009
0.62,0.0045,0.0075
0.64,0.006,0.0075
0.66,0.0045,0.009
0.68,0.0045,0.009
0.7,0.0045,0.009
0.72,0.0045,0.0075
0.74,0.0045,0.0075
0.76,0.0045,0.0075
0.78,0.0045,0.0075
0.8,0.0045,0.009
0.82,-0.0225,0.009
0.84,0.006,0.0075
0.86,0.003,0.0075
0.88,0.0045,0.0075
0.9,0.0045,0.0075
0.92,0.003,0.0075
0.94,0.003,0.0075
0.96,0.0045,0.0075
0.98,0.003,0.0075
1,0.003,0.0075
1.02,0.0045,0.0075
1.04,0.003,0.009
1.06,0.003,0.009
1.08,0.0045,0.009
1.1,0.0045,0.0075
1.12,0.0045,0.0075
1.14,0.003,0.009
1.16,0.003,0.009
1.18,0.003,0.0075
1.2,0.003,0.0075
1.22,0.003,0.0075
1.24,0.003,0.0075
1.26,0.003,0.009
1.28,0.003,0.009
1.3,0.003,0.009
1.32,0.003,0.0075
1.34,0.003,0.0075
1.36,0.003,0.009
1.38,0.003,0.009
1.4,0.003,0.0075
1.42,0.0015,0.009
1.44,0.003,0.0075
1.46,0.003,0.0075
1.48,0.0015,0.009
1.5,0.003,0.009
1.52,0.003,0.009
1.54,-0.0375,0.0105
1.56,-0.0135,0.0165
1.58,-0.0015,0.021
1.6,0.003,0.0255
1.62,0.003,0.033
1.64,0.006,0.036
1.66,0.0045,0.042
1.68,0.0075,0.045
1.7,0.006,0.051
1.72,0.0075,0.057
1.74,0.006,0.0615
1.76,0.0075,0.0675
1.78,0.0075,0.072
1.8,0.0075,0.0765
1.82,0.0075,0.081
1.84,0.0075,0.087
1.86,0.0075,0.0915
1.88,0.006,0.0975
1.9,0.0075,0.102
1.92,0.0075,0.1065
1.94,0.0075,0.111
1.96,0.0075,0.117
1.98,0.006,0.123
2,0.009,0.1275
2.02,0.0075,0.132
2.04,0.0105,0.1365
2.06,0.0075,0.141
2.08,0.009,0.147
2.1,0.0075,0.1515
2.12,0.0075,0.156
2.14,0.006,0.162
2.16,0.009,0.1665
2.18,0.0075,0.171
2.2,0.009,0.1785
2.22,0.009,0.1815
2.24,0.009,0.186
2.26,0.0105,0.1905
2.28,0.009,0.1965
2.3,0.0135,0.2025
2.32,0.0105,0.207
2.34,0.0105,0.2115
2.36,0.009,0.216
2.38,0.0105,0.222
2.4,0.0105,0.2265
2.42,0.012,0.2325
2.44,0.012,0.237
2.46,0.012,0.2415
2.48,0.012,0.246
2.5,0.012,0.2505
2.52,0.0135,0.2565
2.54,0.012,0.261
2.56,0.015,0.2655
2.58,0.018,0.27
2.6,0.012,0.276
2.62,0.0135,0.282
2.64,0.018,0.2865
2.66,0.018,0.291
2.68,0.018,0.2955
2.7,0.0195,0.3
2.72,0.0195,0.306
2.74,0.0405,0.3105
2.76,0.033,0.3165
2.78,0.024,0.3195
2.8,0.024,0.3255
2.82,0.0255,0.33
2.84,0.0255,0.336
2.86,0.027,0.3405
2.88,0.0285,0.345
2.9,0.03,0.351
2.92,0.0315,0.354
2.94,0.033,0.36
2.96,0.033,0.366
2.98,0.0345,0.3705
3,0.0375,0.375
3.02,0.0375,0.3795
3.04,0.039,0.3855
3.06,0.0375,0.39
3.08,0.039,0.396
3.1,0.039,0.4005
3.12,0.039,0.405
3.14,0.0375,0.4095
