Time t / s,Voltage U_A1 / V,Voltage U_B1 / V
0,0.006,0.0075
0.02,0.006,0.0075
0.04,0.0075,0.0075
0.06,0.006,0.0075
0.08,0.0075,0.009
0.1,0.0045,0.009
0.12,0.006,0.009
0.14,0.0075,0.0075
0.16,0.0075,0.0075
0.18,0.006,0.0075
0.2,0.0075,0.0075
0.22,0.006,0.0075
0.24,0.006,0.009
0.26,0.006,0.0075
0.28,0.0075,0.009
0.3,0.006,0.0075
0.32,0.0075,0.0075
0.34,0.0075,0.0075
0.36,0.006,0.0075
0.38,0.006,0.0075
0.4,0.0075,0.009
0.42,0.006,0.0075
0.44,0.006,0.009
0.46,0.006,0.009
0.48,0.0075,0.0075
0.5,0.0075,0.009
0.52,0.0075,0.0075
0.54,0.006,0.0075
0.56,0.0075,0.0075
0.58,0.0075,0.009
0.6,0.009,0.009
0.62,0.006,0.009
0.64,0.0075,0.009
0.66,0.0075,0.0075
0.68,0.0075,0.0075
0.7,0.006,0.0075
0.72,0.0075,0.0075
0.74,0.009,0.0075
0.76,0.006,0.009
0.78,0.006,0.009
0.8,0.0045,0.0075
0.82,0.006,0.0075
0.84,0.006,0.0075
0.86,0.006,0.0075
0.88,0.006,0.009
0.9,0.006,0.0075
0.92,0.006,0.0075
0.94,0.006,0.009
0.96,0.006,0.0075
0.98,0.006,0.0075
1,0.0075,0.0075
1.02,0.006,0.009
1.04,0.006,0.0075
1.06,0.006,0.009
1.08,0.006,0.009
1.1,0.006,0.009
1.12,0.0075,0.0075
1.14,0.006,0.0075
1.16,0.0075,0.0075
1.18,0.006,0.0075
1.2,0.0075,0.0075
1.22,0.006,0.009
1.24,0.006,0.009
1.26,0.006,0.0075
1.28,0.012,0.009
1.3,0.0075,0.0075
1.32,0.0075,0.0075
1.34,-0.0435,0.0165
1.36,-0.0165,0.0135
1.38,0.0015,0.0195
1.4,0.006,0.0255
1.42,0.006,0.03
1.44,-0.0135,0.0345
1.46,0.003,0.0405
1.48,0.0135,0.045
1.5,0.006,0.0495
1.52,0.012,0.0555
1.54,0.012,0.06
1.56,0.012,0.066
1.58,0.0135,0.0705
1.6,0.012,0.075
1.62,0.0135,0.0795
1.64,0.0135,0.084
1.66,0.0135,0.09
1.68,0.015,0.0945
1.7,0.0135,0.1005
1.72,0.0135,0.105
1.74,0.0135,0.111
1.76,0.015,0.1155
1.78,0.0135,0.12
1.8,0.0135,0.1245
1.82,0.015,0.1305
1.84,0.015,0.135
1.86,0.0135,0.141
1.88,0.015,0.1455
1.9,0.015,0.15
1.92,0.015,0.156
1.94,0.0135,0.159
1.96,0.015,0.165
1.98,0.015,0.1695
2,0.0135,0.1755
2.02,0.015,0.18
2.04,0.015,0.186
2.06,0.015,0.1905
2.08,0.015,0.195
2.1,0.015,0.201
2.12,0.0165,0.2055
2.14,0.015,0.21
2.16,0.0165,0.216
2.18,0.0165,0.2205
2.2,0.0165,0.225
2.22,0.018,0.2295
2.24,0.018,0.234
2.26,0.018,0.2385
2.28,0.018,0.2445
2.3,0.018,0.2505
2.32,0.0195,0.255
2.34,0.0195,0.261
2.36,0.021,0.264
2.38,0.021,0.27
2.4,0.021,0.2745
2.42,0.0225,0.279
2.44,0.021,0.285
2.46,0.0225,0.2895
2.48,0.0225,0.294
2.5,0.024,0.2985
2.52,0.0915,0.3045
2.54,0.0405,0.3075
2.56,0.0285,0.3135
2.58,0.021,0.318
2.6,0.039,0.3255
2.62,0.03,0.33
2.64,0.03,0.3345
2.66,0.0315,0.339
2.68,0.033,0.3435
2.7,0.0345,0.348
2.72,0.036,0.354
2.74,0.036,0.36
2.76,0.0375,0.3645
2.78,0.0375,0.369
2.8,0.039,0.3735
2.82,0.0405,0.378
2.84,0.0405,0.3825
2.86,0.042,0.3885
2.88,0.0405,0.393
2.9,0.0405,0.399
2.92,0.0405,0.4035
2.94,0.039,0.4095
2.96,0.039,0.414
2.98,0.0375,0.4185
3,0.036,0.423
3.02,0.0345,0.4275
3.04,0.0315,0.4335
3.06,0.03,0.438
3.08,0.0285,0.4425
3.1,0.0285,0.4485
3.12,0.0255,0.453
3.14,0.024,0.4575
3.16,0.0255,0.462
3.18,0.0225,0.4665
3.2,0.0225,0.4725
3.22,0.021,0.4785
3.24,0.0195,0.483
3.26,0.021,0.4875
3.28,0.0195,0.4935
3.3,0.0195,0.498
3.32,0.021,0.5025
3.34,0.0195,0.507
3.36,0.0195,0.513
3.38,0.0195,0.5175
3.4,0.018,0.522
3.42,0.018,0.528
3.44,0.018,0.531
3.46,0.0195,0.537
3.48,0.018,0.5415
3.5,0.018,0.546
3.52,0.018,0.5505
3.54,0.018,0.5565
3.56,0.018,0.5625
3.58,0.018,0.567
3.6,0.018,0.5715
3.62,0.0195,0.5775
3.64,0.018,0.582
3.66,0.0195,0.5865
3.68,0.021,0.591
3.7,0.021,0.597
3.72,0.0195,0.6015
3.74,0.021,0.6075
3.76,0.021,0.612
3.78,0.021,0.6165
3.8,0.0225,0.6225
3.82,0.0225,0.627
3.84,0.024,0.6315
3.86,0.0255,0.6345
3.88,0.0255,0.6405
3.9,0.027,0.645
3.92,0.027,0.6525
3.94,0.0285,0.657
3.96,0.03,0.6615
3.98,0.0315,0.666
4,0.033,0.6705
4.02,0.036,0.6765
4.04,0.036,0.681
4.06,0.0375,0.6855
4.08,0.039,0.6915
4.1,0.0405,0.696
4.12,0.045,0.7005
4.14,0.045,0.7065
4.16,0.0465,0.711
4.18,0.0495,0.7155
4.2,0.051,0.7215
4.22,0.054,0.7245
4.24,0.057,0.7305
4.26,0.06,0.735
4.28,0.063,0.741
4.3,0.066,0.7455
4.32,0.0705,0.7515
4.34,0.084,0.756
4.36,0.081,0.7605
4.38,0.084,0.765
4.4,0.09,0.7695
4.42,0.093,0.774
4.44,0.099,0.78
4.46,0.105,0.7845
4.48,0.1095,0.789
4.5,0.117,0.795
4.52,0.123,0.7995
4.54,0.132,0.8055
4.56,0.141,0.81
4.58,0.2955,0.8145
4.6,0.2595,0.819
4.62,0.8895,0.8235
4.64,-0.036,0.8295
4.66,0.5235,0.834
4.68,0.183,0.84
4.7,0.198,0.8445
4.72,0.2085,0.849
4.74,0.213,0.855
4.76,0.2145,0.8595
4.78,0.216,0.864
4.8,0.21,0.8685
4.82,0.2085,0.8745
4.84,0.2055,0.879
4.86,0.1905,0.8835
4.88,0.1845,0.8895
4.9,0.174,0.894
4.92,0.1575,0.9
4.94,0.1515,0.9045
4.96,0.1335,0.909
4.98,0.1275,0.9135
5,0.108,0.918
5.02,0.102,0.9225
5.04,0.099,0.9285
5.06,0.087,0.933
5.08,0.0855,0.9375
5.1,0.075,0.9435
5.12,0.069,0.9495
5.14,0.066,0.954
5.16,0.054,0.9585
5.18,0.054,0.9645
5.2,0.0465,0.969
5.22,0.0435,0.9735
5.24,0.0435,0.978
5.26,0.036,0.984
5.28,0.039,0.9885
5.3,0.0345,0.993
5.32,0.0315,0.999
