Time t / s,Voltage U_A1 / V,Voltage U_B1 / V
0,0.006,0.0075
0.02,0.0075,0.0075
0.04,0.006,0.0075
0.06,0.0075,0.0075
0.08,0.006,0.0075
0.1,0.0075,0.0075
0.12,0.0075,0.009
0.14,0.006,0.009
0.16,0.0075,0.0075
0.18,0.0075,0.0075
0.2,0.0075,0.0075
0.22,0.0045,0.009
0.24,0.0075,0.0075
0.26,0.006,0.009
0.28,0.0075,0.0075
0.3,0.006,0.0075
0.32,0.0075,0.0075
0.34,0.006,0.0075
0.36,0.0075,0.0075
0.38,0.0075,0.009
0.4,0.0075,0.009
0.42,0.0075,0.009
0.44,0.0075,0.009
0.46,0.0075,0.009
0.48,0.0075,0.0075
0.5,0.0075,0.0075
0.52,0.006,0.009
0.54,0.0075,0.0075
0.56,0.006,0.009
0.58,0.0075,0.0075
0.6,0.0075,0.0075
0.62,0.0075,0.0075
0.64,0.0075,0.0075
0.66,0.0075,0.0075
0.68,0.006,0.009
0.7,0.0075,0.0075
0.72,0.006,0.009
0.74,0.0075,0.009
0.76,0.0075,0.0075
0.78,0.0075,0.0075
0.8,0.0075,0.0075
0.82,0.0075,0.009
0.84,0.009,0.0075
0.86,0.006,0.009
0.88,0.0075,0.009
0.9,0.0075,0.0075
0.92,0.0105,0.0075
0.94,0.0075,0.0075
0.96,0.009,0.0075
0.98,3.072,3.072
1,-0.0315,0.012
1.02,-0.012,0.018
1.04,0.0015,0.0225
1.06,0.006,0.027
1.08,0.0075,0.033
1.1,0.009,0.0375
1.12,0.0105,0.0435
1.14,0.0105,0.048
1.16,0.0105,0.054
1.18,0.012,0.057
1.2,0.012,0.0615
1.22,0.015,0.066
1.24,0.0135,0.0735
1.26,0.0105,0.0765
1.28,0.012,0.0825
1.3,0.012,0.0885
1.32,0.0135,0.093
1.34,0.012,0.0975
1.36,0.0135,0.102
1.38,0.0135,0.108
1.4,0.012,0.1125
1.42,0.012,0.117
1.44,0.012,0.123
1.46,0.0135,0.1275
1.48,0.012,0.1335
1.5,0.0135,0.138
1.52,0.012,0.1425
1.54,0.012,0.147
1.56,0.012,0.153
1.58,0.015,0.1575
1.6,0.0135,0.1635
1.62,0.015,0.168
1.64,0.0135,0.1725
1.66,0.0135,0.177
1.68,0.0135,0.1815
1.7,0.0135,0.1875
1.72,0.015,0.192
1.74,0.015,0.198
1.76,0.0135,0.2025
1.78,0.015,0.207
1.8,0.015,0.2115
1.82,0.015,0.216
1.84,0.0165,0.222
1.86,0.015,0.2265
1.88,0.015,0.234
1.9,0.015,0.2385
1.92,0.0165,0.243
1.94,0.0165,0.2475
1.96,0.018,0.252
1.98,0.0165,0.2565
2,0.018,0.261
2.02,0.018,0.267
2.04,0.018,0.273
2.06,0.0195,0.2775
2.08,0.021,0.282
2.1,0.021,0.2865
2.12,0.021,0.291
2.14,0.021,0.2955
2.16,0.021,0.3015
2.18,0.0225,0.3075
2.2,0.0225,0.312
2.22,0.024,0.3165
2.24,0.021,0.3225
2.26,0.0255,0.327
2.28,0.027,0.3315
2.3,0.027,0.336
2.32,0.0285,0.342
2.34,0.0285,0.3465
2.36,0.03,0.351
2.38,0.0315,0.357
2.4,0.033,0.3615
2.42,0.033,0.366
2.44,0.036,0.3705
2.46,0.036,0.3765
2.48,0.036,0.381
2.5,0.036,0.387
2.52,0.036,0.3915
2.54,0.036,0.396
2.56,0.036,0.4005
2.58,0.036,0.4065
2.6,0.036,0.411
2.62,0.0345,0.4155
2.64,0.0315,0.4215
2.66,0.03,0.426
2.68,0.0285,0.432
2.7,0.027,0.435
2.72,0.0255,0.4395
2.74,0.024,0.4455
2.76,0.024,0.45
2.78,0.0225,0.456
2.8,0.0225,0.4605
2.82,0.021,0.4665
2.84,0.0195,0.471
2.86,0.0195,0.4755
2.88,0.0195,0.48
2.9,0.0195,0.4845
2.92,0.018,0.4905
2.94,0.018,0.495
2.96,0.018,0.4995
2.98,0.0165,0.5055
3,0.0165,0.51
3.02,0.0165,0.5145
3.04,0.0165,0.519
3.06,0.015,0.525
3.08,0.0165,0.5295
3.1,0.015,0.5355
3.12,0.0165,0.54
3.14,0.015,0.5445
3.16,0.0165,0.549
3.18,0.015,0.555
3.2,0.015,0.5595
3.22,0.0165,0.564
3.24,0.0165,0.57
3.26,0.0165,0.5745
3.28,0.0165,0.579
3.3,0.0165,0.5835
3.32,0.0165,0.5895
3.34,0.018,0.5925
3.36,0.0165,0.5985
3.38,0.018,0.6045
3.4,0.018,0.609
3.42,0.0195,0.6135
3.44,0.0195,0.6195
3.46,0.021,0.624
3.48,0.021,0.6285
3.5,0.021,0.633
3.52,0.0225,0.639
3.54,0.0225,0.645
3.56,0.024,0.6495
3.58,0.0255,0.654
3.6,0.0255,0.6585
3.62,0.027,0.663
3.64,0.027,0.669
3.66,0.0285,0.6735
3.68,0.0315,0.6795
3.7,0.033,0.684
3.72,0.0375,0.6885
3.74,0.036,0.693
3.76,0.0375,0.699
3.78,0.039,0.7035
3.8,0.042,0.708
3.82,0.0435,0.7125
3.84,0.0465,0.7185
3.86,0.048,0.723
3.88,0.051,0.7275
3.9,0.054,0.732
3.92,0.0555,0.738
3.94,0.06,0.744
3.96,0.066,0.7485
3.98,0.069,0.753
4,0.0705,0.759
4.02,0.0765,0.762
4.04,0.078,0.768
4.06,0.0855,0.7725
4.08,0.0885,0.777
4.1,0.096,0.783
4.12,0.1005,0.7875
4.14,0.108,0.792
4.16,0.114,0.7965
4.18,0.117,0.8025
4.2,0.126,0.807
4.22,0.135,0.813
4.24,0.1845,0.8175
4.26,0.15,0.822
4.28,0.159,0.8265
4.3,0.1665,0.8325
4.32,0.1755,0.837
4.34,0.183,0.8415
4.36,0.1905,0.846
4.38,0.198,0.852
4.4,0.2025,0.8565
4.42,0.204,0.861
4.44,0.2055,0.8655
4.46,0.207,0.8715
4.48,0.204,0.876
4.5,0.198,0.882
4.52,0.1905,0.8865
4.54,0.1785,0.891
4.56,0.168,0.8955
4.58,0.1545,0.9015
4.6,0.141,0.906
4.62,0.1275,0.912
4.64,0.114,0.9165
4.66,0.1035,0.921
4.68,0.0945,0.9255
4.7,0.087,0.9315
4.72,0.0795,0.936
4.74,0.0735,0.9405
4.76,0.0645,0.945
4.78,0.0615,0.951
4.8,0.0555,0.957
4.82,0.0525,0.9615
4.84,0.0495,0.966
4.86,0.0465,0.9705
4.88,0.0435,0.9765
4.9,0.039,0.981
4.92,0.0375,0.9855
4.94,0.0345,0.9915
4.96,0.033,0.996
4.98,0.0315,1.0005
5,0.0315,1.0065
5.02,0.03,1.0095
5.04,0.0285,1.0155
5.06,0.027,1.02
5.08,0.027,1.026
5.1,0.027,1.0305
5.12,0.027,1.0365
5.14,0.027,1.041
5.16,0.027,1.0455
5.18,0.027,1.05
5.2,0.027,1.056
5.22,0.0285,1.0605
5.24,0.0285,1.0665
5.26,0.03,1.071
5.28,0.03,1.074
5.3,0.0315,1.08
5.32,0.033,1.0845
5.34,0.0345,1.0905
5.36,0.042,1.0965
5.38,0.0345,1.101
5.4,0.3645,1.1055
5.42,0.2385,1.11
5.44,-0.0405,1.1145
5.46,-0.042,1.119
5.48,0.216,1.125
5.5,0.9315,1.1295
5.52,0.3225,1.1355
5.54,0.108,1.14
5.56,0.0525,1.146
5.58,0.06,1.1505
5.6,0.0525,1.155
5.62,0.069,1.1595
5.64,0.084,1.1655
5.66,0.0825,1.1685
5.68,0.0885,1.176
5.7,0.093,1.1805
5.72,0.1005,1.185
5.74,0.105,1.191
5.76,0.1155,1.1955
5.78,0.126,1.2
5.8,0.135,1.2045
5.82,0.144,1.209
5.84,0.1515,1.215
5.86,0.165,1.2195
5.88,0.1695,1.2255
5.9,0.189,1.23
5.92,0.1935,1.2345
5.94,0.207,1.239
5.96,0.222,1.2435
5.98,0.2355,1.2495
6,0.2505,1.254
6.02,0.264,1.26
6.04,0.276,1.2645
6.06,0.291,1.269
6.08,0.312,1.2735
6.1,0.321,1.2795
6.12,0.342,1.284
6.14,0.354,1.29
6.16,0.3765,1.2945
6.18,0.39,1.299
6.2,0.408,1.3035
6.22,0.423,1.308
6.24,0.4425,1.314
6.26,0.453,1.3185
6.28,0.4725,1.3245
6.3,0.4845,1.329
6.32,0.495,1.335
6.34,0.504,1.3395
6.36,0.51,1.344
6.38,0.5145,1.3485
6.4,0.513,1.3545
6.42,0.5055,1.359
6.44,0.495,1.365
6.46,0.486,1.3695
6.48,0.468,1.374
6.5,0.447,1.3785
6.52,0.4215,1.383
6.54,0.399,1.389
6.56,0.3705,1.3935
6.58,0.3495,1.3995
6.6,0.321,1.404
6.62,0.3,1.4085
6.64,0.2775,1.413
6.66,0.2595,1.419
6.68,0.237,1.4235
6.7,0.219,1.4295
6.72,0.198,1.434
6.74,0.18,1.4385
6.76,0.165,1.443
6.78,0.147,1.4475
6.8,0.132,1.452
6.82,0.1155,1.4565
6.84,0.1065,1.464
6.86,0.096,1.4685
6.88,0.087,1.473
6.9,0.0795,1.479
6.92,0.072,1.4835
6.94,0.0675,1.488
6.96,0.063,1.4925
6.98,0.06,1.497
7,0.0555,1.503
7.02,0.0525,1.509
7.04,0.051,1.5135
7.06,0.0495,1.518
7.08,0.048,1.5225
7.1,0.048,1.5285
7.12,0.0465,1.5315
7.14,0.0465,1.5375
