Time t / s,Voltage U_B1 / V,Voltage U_A1 / V
0,3.19,3.072
0.02,3.19,3.072
0.04,3.19,3.072
0.06,3.19,3.072
0.08,3.19,3.072
0.1,3.19,3.072
0.12,3.19,3.072
0.14,3.19,3.072
0.16,3.19,3.072
0.18,3.19,3.072
0.2,3.19,3.072
0.22,3.19,3.072
0.24,3.19,3.072
0.26,3.185,3.072
0.28,3.19,3.072
0.3,3.19,3.072
0.32,3.185,3.072
0.34,3.19,3.072
0.36,3.19,3.072
0.38,3.19,3.072
0.4,3.19,3.072
0.42,3.19,3.072
0.44,3.19,3.072
0.46,3.19,3.072
0.48,3.19,3.072
0.5,3.19,3.072
0.52,3.19,3.072
0.54,3.19,3.072
0.56,3.19,3.072
0.58,3.19,3.072
0.6,3.19,3.072
0.62,3.19,3.072
0.64,3.185,3.072
0.66,3.19,3.072
0.68,3.19,3.072
0.7,3.19,3.072
0.72,3.185,3.072
0.74,3.19,3.072
0.76,3.185,3.072
0.78,3.19,3.072
0.8,3.19,3.072
0.82,3.19,3.072
0.84,3.19,3.072
0.86,3.19,3.072
0.88,3.185,3.072
0.9,3.19,3.072
0.92,3.19,3.072
0.94,3.19,3.072
0.96,3.185,3.072
0.98,3.19,3.072
1,3.19,3.072
1.02,3.185,3.072
1.04,3.19,3.072
1.06,3.19,3.072
1.08,3.19,3.072
1.1,3.19,3.072
1.12,3.19,3.072
1.14,3.19,3.072
1.16,3.19,3.072
1.18,3.19,3.072
1.2,3.185,3.072
1.22,3.19,3.072
1.24,3.19,3.072
1.26,3.185,3.072
1.28,3.185,3.072
1.3,3.19,3.072
1.32,3.19,3.072
1.34,3.185,3.072
1.36,3.185,3.072
1.38,3.19,3.072
1.4,3.19,3.072
1.42,3.19,3.072
1.44,3.19,3.072
1.46,3.19,3.072
1.48,3.19,3.072
1.5,3.19,3.072
1.52,3.19,3.072
1.54,3.19,3.072
1.56,3.19,3.072
1.58,3.19,3.072
1.6,3.185,3.072
1.62,3.19,3.072
1.64,3.19,3.072
1.66,3.19,3.072
1.68,3.19,3.072
1.7,3.19,3.072
1.72,3.19,3.072
1.74,3.185,3.072
1.76,3.19,3.072
1.78,0,-0.09
1.8,-0.005,-0.0795
1.82,0,-0.0735
1.84,0,-0.069
1.86,0,-0.063
1.88,0,-0.06
1.9,-0.005,-0.057
1.92,-0.005,-0.0555
1.94,0,-0.0525
1.96,0,-0.051
1.98,0,-0.0495
2,0.45,1.3065
2.02,0,-0.0975
2.04,0.005,-0.072
2.06,0.015,-0.057
2.08,0.02,-0.0495
2.1,0.025,-0.0435
2.12,0.035,-0.039
2.14,0.04,-0.039
2.16,0.05,-0.036
2.18,0.055,-0.033
2.2,0.06,-0.033
2.22,0.065,-0.0315
2.24,0.075,-0.0285
2.26,0.08,-0.0285
2.28,0.09,-0.0285
2.3,0.095,-0.027
2.32,0.1,-0.027
2.34,0.11,-0.027
2.36,0.115,-0.0255
2.38,0.12,-0.024
2.4,0.125,-0.024
2.42,0.135,-0.024
2.44,0.14,-0.021
2.46,0.145,-0.021
2.48,0.155,-0.021
2.5,0.16,-0.0195
2.52,0.165,-0.018
2.54,0.17,-0.018
2.56,0.175,-0.0165
2.58,0.18,-0.0165
2.6,0.19,-0.018
2.62,0.195,-0.015
2.64,0.2,-0.015
2.66,0.205,-0.0135
2.68,0.215,-0.012
2.7,0.22,-0.0105
2.72,0.225,-0.0105
2.74,0.235,-0.009
2.76,0.24,-0.0075
2.78,0.245,-0.009
2.8,0.25,-0.006
2.82,0.255,-0.003
2.84,0.265,-0.003
2.86,0.27,-0.0015
2.88,0.275,0
2.9,0.285,0.0015
2.92,0.29,0.003
2.94,0.295,0.0045
2.96,0.3,0.0045
2.98,0.305,0.006
3,0.31,0.0075
3.02,0.32,0.009
3.04,0.325,0.009
3.06,0.33,0.0105
3.08,0.335,0.0105
