Time t / s,Voltage U_A1 / V,Voltage U_B1 / V
0,0,0.015
0.02,0,0.01
0.04,0,0.01
0.06,0,0.01
0.08,0,0.01
0.1,0,0.01
0.12,0.005,0.01
0.14,0,0.01
0.16,0,0.01
0.18,0,0.01
0.2,0,0.01
0.22,0,0.01
0.24,0,0.01
0.26,0,0.01
0.28,0,0.01
0.3,0,0.01
0.32,0,0.01
0.34,0,0.01
0.36,0,0.01
0.38,0,0.01
0.4,0,0.01
0.42,0,0.01
0.44,0,0.015
0.46,0.005,0.01
0.48,0,0.01
0.5,0,0.01
0.52,0,0.01
0.54,0,0.01
0.56,0,0.01
0.58,0,0.01
0.6,0,0.01
0.62,0,0.01
0.64,0.005,0.01
0.66,0,0.01
0.68,0,0.01
0.7,0,0.01
0.72,0,0.01
0.74,0,0.01
0.76,0.005,0.01
0.78,0,0.01
0.8,0,0.015
0.82,0,0.01
0.84,0,0.01
0.86,0,0.01
0.88,0,0.01
0.9,0,0.01
0.92,0,0.01
0.94,0,0.01
0.96,0,0.01
0.98,0,0.01
1,0.005,0.01
1.02,0,0.01
1.04,9.09,2.54
1.06,-0.025,0.02
1.08,-0.01,0.02
1.1,0,0.03
1.12,0,0.03
1.14,0.005,0.035
1.16,0.005,0.045
1.18,0.005,0.045
1.2,0,0.055
1.22,0.005,0.06
1.24,0.005,0.065
1.26,0.005,0.07
1.28,0.005,0.075
1.3,0.005,0.08
1.32,0.005,0.085
1.34,0.005,0.09
1.36,0.005,0.095
1.38,0.005,0.1
1.4,0.01,0.105
1.42,0.005,0.11
1.44,0.005,0.115
1.46,0.005,0.12
1.48,0.005,0.125
1.5,0.005,0.13
1.52,0.005,0.135
1.54,0.005,0.14
1.56,0.005,0.145
1.58,0.005,0.15
1.6,0.01,0.155
1.62,0.005,0.16
1.64,0.01,0.165
1.66,0.01,0.17
1.68,0.005,0.175
1.7,0.005,0.18
1.72,0.01,0.185
1.74,0.01,0.19
1.76,0.01,0.195
1.78,0.01,0.2
1.8,0.01,0.205
1.82,0.01,0.21
1.84,0.015,0.215
1.86,0.01,0.22
1.88,0.01,0.225
1.9,0.01,0.23
1.92,0.015,0.235
1.94,0.01,0.24
1.96,0.015,0.245
1.98,0.015,0.25
2,0.015,0.255
2.02,0.015,0.26
2.04,0.015,0.265
2.06,0.015,0.27
2.08,0.015,0.275
2.1,0.02,0.28
2.12,0.02,0.285
2.14,0.02,0.29
2.16,0.02,0.295
2.18,0.025,0.3
2.2,0.025,0.305
2.22,0.03,0.31
2.24,0.03,0.315
2.26,0.03,0.32
2.28,0.03,0.325
2.3,0.035,0.33
2.32,0.035,0.335
2.34,0.04,0.34
2.36,0.045,0.345
2.38,0.045,0.35
2.4,0.045,0.355
2.42,0.05,0.36
2.44,0.05,0.365
2.46,0.055,0.37
2.48,0.065,0.375
2.5,0.065,0.38
2.52,0.065,0.385
2.54,0.07,0.39
2.56,0.07,0.395
2.58,0.07,0.4
2.6,0.075,0.405
2.62,0.075,0.41
2.64,0.07,0.415
2.66,0.065,0.42
2.68,0.06,0.425
2.7,0.055,0.43
2.72,0.05,0.435
2.74,0.045,0.44
2.76,0.045,0.445
2.78,0.035,0.45
2.8,0.035,0.455
2.82,0.03,0.46
2.84,0.025,0.465
2.86,0.025,0.47
2.88,0.025,0.475
2.9,0.025,0.48
2.92,0.025,0.485
2.94,0.02,0.49
2.96,0.015,0.495
2.98,0.015,0.5
3,0.015,0.505
3.02,0.02,0.51
3.04,0.015,0.515
3.06,0.015,0.52
3.08,0.01,0.525
3.1,0.015,0.53
3.12,0.015,0.535
3.14,0.015,0.54
3.16,0.015,0.545
3.18,0.015,0.55
3.2,0.01,0.555
3.22,0.015,0.56
3.24,0.015,0.565
3.26,0.015,0.57
3.28,0.015,0.575
3.3,0.015,0.58
3.32,0.015,0.585
3.34,0.015,0.59
3.36,0.015,0.595
3.38,0.02,0.6
3.4,0.02,0.605
3.42,0.02,0.61
3.44,0.02,0.615
3.46,0.02,0.62
3.48,0.025,0.625
3.5,0.025,0.63
3.52,0.025,0.635
3.54,0.03,0.64
3.56,0.03,0.645
3.58,0.03,0.65
3.6,0.035,0.655
3.62,0.04,0.66
3.64,0.045,0.665
3.66,0.045,0.67
3.68,0.05,0.675
3.7,0.05,0.68
3.72,0.055,0.685
3.74,0.06,0.69
3.76,0.07,0.695
3.78,0.07,0.7
3.8,0.08,0.705
3.82,0.085,0.71
3.84,0.09,0.715
3.86,0.1,0.72
3.88,0.115,0.725
3.9,0.125,0.73
3.92,0.14,0.735
3.94,0.145,0.74
3.96,0.155,0.745
3.98,0.165,0.75
4,0.19,0.755
4.02,0.2,0.76
4.04,0.22,0.765
4.06,0.235,0.77
4.08,0.255,0.775
4.1,0.27,0.78
4.12,0.29,0.785
4.14,0.315,0.79
4.16,0.33,0.795
4.18,0.355,0.8
4.2,0.37,0.805
4.22,0.39,0.81
4.24,0.415,0.815
4.26,0.445,0.82
4.28,0.465,0.825
4.3,0.49,0.83
4.32,0.51,0.835
4.34,0.53,0.84
4.36,0.555,0.845
4.38,0.58,0.85
4.4,0.605,0.855
4.42,0.62,0.86
4.44,0.645,0.865
4.46,0.65,0.87
4.48,0.66,0.875
4.5,0.665,0.88
4.52,0.675,0.885
4.54,0.66,0.89
4.56,0.655,0.895
4.58,0.63,0.9
4.6,0.605,0.905
4.62,0.57,0.91
4.64,0.54,0.915
4.66,0.5,0.92
4.68,0.46,0.925
4.7,0.425,0.93
4.72,0.38,0.935
4.74,0.345,0.94
4.76,0.315,0.945
4.78,0.29,0.95
4.8,0.255,0.955
4.82,0.235,0.965
4.84,0.205,0.965
4.86,0.18,0.97
4.88,0.155,0.975
4.9,0.14,0.98
4.92,0.12,0.985
4.94,0.105,0.99
4.96,0.09,0.995
4.98,0.08,1
5,0.075,1.005
5.02,0.07,1.01
5.04,0.06,1.015
5.06,0.055,1.02
5.08,0.05,1.025
5.1,0.045,1.03
5.12,0.04,1.035
5.14,0.04,1.04
5.16,0.045,1.045
5.18,0.035,1.05
5.2,0.03,1.055
5.22,0.035,1.06
5.24,0.035,1.065
5.26,0.04,1.07
5.28,0.04,1.075
5.3,0.04,1.08
5.32,0.045,1.085
5.34,0.045,1.09
5.36,0.045,1.095
5.38,0.05,1.1
5.4,0.055,1.105
5.42,0.06,1.11
5.44,0.065,1.115
5.46,0.07,1.12
5.48,0.07,1.125
5.5,0.08,1.13
5.52,0.09,1.135
5.54,0.105,1.14
5.56,0.11,1.145
5.58,0.135,1.15
5.6,0.135,1.155
5.62,0.15,1.16
5.64,0.165,1.165
5.66,0.185,1.17
5.68,0.2,1.175
5.7,0.225,1.18
5.72,0.27,1.185
5.74,0.265,1.19
5.76,0.28,1.195
5.78,0.31,1.2
5.8,0.33,1.205
5.82,0.36,1.21
5.84,0.385,1.215
5.86,0.41,1.22
5.88,0.44,1.225
5.9,0.475,1.23
5.92,0.505,1.235
5.94,0.53,1.245
5.96,0.57,1.245
5.98,0.6,1.25
6,0.63,1.26
6.02,0.67,1.26
6.04,0.7,1.265
6.06,0.745,1.27
6.08,0.785,1.275
6.1,0.815,1.28
6.12,0.855,1.285
6.14,0.89,1.29
6.16,0.95,1.295
6.18,0.975,1.3
6.2,1.025,1.305
6.22,1.07,1.31
6.24,1.11,1.315
6.26,1.155,1.32
6.28,1.19,1.325
6.3,1.245,1.33
6.32,1.27,1.335
6.34,1.32,1.34
6.36,1.35,1.345
6.38,1.385,1.35
6.4,1.41,1.355
6.42,1.44,1.36
6.44,1.44,1.365
6.46,1.455,1.375
6.48,1.44,1.375
6.5,1.43,1.38
6.52,1.405,1.385
6.54,1.38,1.395
6.56,1.34,1.4
6.58,1.29,1.405
6.6,1.25,1.405
6.62,1.185,1.41
6.64,1.13,1.42
6.66,1.08,1.42
6.68,1.03,1.425
6.7,0.965,1.435
6.72,0.925,1.435
6.74,0.86,1.445
6.76,0.81,1.445
6.78,0.755,1.45
6.8,0.705,1.455
6.82,0.64,1.46
6.84,0.595,1.465
6.86,0.535,1.47
6.88,0.48,1.475
6.9,0.43,1.48
6.92,0.385,1.485
6.94,0.345,1.49
6.96,0.315,1.495
6.98,0.285,1.5
7,0.25,1.505
7.02,0.225,1.51
7.04,0.21,1.515
7.06,0.19,1.525
7.08,0.17,1.525
7.1,0.16,1.53
7.12,0.145,1.535
7.14,0.135,1.54
7.16,0.13,1.545
7.18,0.125,1.55
7.2,0.12,1.555
7.22,0.125,1.56
7.24,0.125,1.565
7.26,0.125,1.57
