Time t / s,Voltage U_A1 / V,Voltage U_B1 / V
0,0,0.009
0.02,0.0015,0.0075
0.04,0.0015,0.0075
0.06,0,0.0075
0.08,0,0.009
0.1,0.0015,0.0075
0.12,0,0.009
0.14,0.0015,0.0075
0.16,0,0.0075
0.18,0,0.0075
0.2,0,0.0075
0.22,0.0015,0.0075
0.24,0.0015,0.0075
0.26,0.0015,0.0075
0.28,0.0015,0.0075
0.3,0,0.0075
0.32,0,0.0075
0.34,0,0.0075
0.36,0.009,0.009
0.38,0.0015,0.009
0.4,0,0.0075
0.42,0,0.009
0.44,0.0015,0.009
0.46,0.0015,0.009
0.48,0.0015,0.0075
0.5,-0.0015,0.0075
0.52,0.0015,0.009
0.54,0,0.0075
0.56,0.0015,0.0075
0.58,0.0015,0.0075
0.6,0.0015,0.009
0.62,0.0015,0.0075
0.64,0,0.0075
0.66,0,0.009
0.68,0.0045,0.0075
0.7,-0.0015,0.0075
0.72,0.0015,0.0075
0.74,0.0015,0.0075
0.76,0,0.0075
0.78,0.0015,0.0075
0.8,0.003,0.0075
0.82,0.0015,0.0075
0.84,0.0015,0.0075
0.86,0.0015,0.0075
0.88,0.0015,0.009
0.9,0.0015,0.009
0.92,0.0015,0.009
0.94,0.0015,0.0075
0.96,0.0015,0.009
0.98,3.072,2.7135
1,-0.0315,0.012
1.02,-0.009,0.0165
1.04,0,0.0225
1.06,0.003,0.027
1.08,0.006,0.033
1.1,0.0045,0.0375
1.12,0.006,0.0435
1.14,0.006,0.048
1.16,0.0075,0.0525
1.18,0.0075,0.0585
1.2,0.0075,0.063
1.22,0.0075,0.069
1.24,0.0075,0.0735
1.26,0.0075,0.078
1.28,0.009,0.084
1.3,0.009,0.0885
1.32,0.0075,0.093
1.34,0.009,0.0975
1.36,0.009,0.102
1.38,0.0075,0.108
1.4,0.009,0.1125
1.42,0.009,0.1185
1.44,0.009,0.1245
1.46,0.009,0.129
1.48,0.0075,0.1335
1.5,0.009,0.1395
1.52,0.009,0.144
1.54,0.0105,0.15
1.56,0.0105,0.153
1.58,0.0105,0.159
1.6,0.0105,0.1635
1.62,0.0105,0.168
1.64,0.0105,0.1725
1.66,0.012,0.1785
1.68,0.0105,0.183
1.7,0.0105,0.189
1.72,0.0105,0.1935
1.74,0.0105,0.1995
1.76,0.0105,0.204
1.78,0.012,0.2085
1.8,0.0105,0.213
1.82,0.012,0.219
1.84,0.012,0.2235
1.86,0.012,0.228
1.88,0.0135,0.2325
1.9,0.012,0.2385
1.92,0.0135,0.243
1.94,0.012,0.2475
1.96,0.0135,0.252
1.98,0.0135,0.258
2,0.0135,0.264
2.02,0.0135,0.2685
2.04,0.015,0.273
2.06,0.015,0.279
2.08,0.015,0.2835
2.1,0.0165,0.2895
2.12,0.0165,0.294
2.14,0.0165,0.297
2.16,0.018,0.303
2.18,0.0195,0.3075
2.2,0.0195,0.3135
2.22,0.0195,0.3165
2.24,0.021,0.3225
2.26,0.0345,0.3285
2.28,0.0225,0.333
2.3,0.0225,0.339
2.32,0.0225,0.3435
2.34,0.024,0.348
2.36,0.024,0.3525
2.38,0.0255,0.3585
2.4,0.027,0.363
2.42,0.027,0.3675
2.44,0.0285,0.3735
2.46,0.0285,0.378
2.48,0.0285,0.3825
2.5,0.0285,0.387
2.52,0.03,0.393
2.54,0.03,0.3975
2.56,0.03,0.402
2.58,0.0285,0.4065
2.6,0.027,0.4125
2.62,0.027,0.417
2.64,0.0255,0.4215
2.66,0.0255,0.4275
2.68,0.024,0.4335
2.7,0.0225,0.438
2.72,0.021,0.444
2.74,0.021,0.447
2.76,0.0195,0.453
2.78,0.0195,0.459
2.8,0.0195,0.4635
2.82,0.0195,0.468
2.84,0.018,0.4725
2.86,0.018,0.477
2.88,0.018,0.483
2.9,0.018,0.4875
2.92,0.0165,0.492
2.94,0.018,0.498
2.96,0.0165,0.5025
2.98,0.015,0.507
3,0.0165,0.513
3.02,0.015,0.5175
3.04,0.0165,0.522
3.06,0.015,0.528
3.08,0.0165,0.531
3.1,0.0165,0.537
3.12,0.015,0.5415
3.14,0.0165,0.546
3.16,0.015,0.552
3.18,0.0165,0.5565
3.2,0.015,0.561
3.22,0.0165,0.567
3.24,0.0165,0.5715
3.26,0.018,0.5775
3.28,0.0165,0.582
3.3,0.0195,0.5865
3.32,0.018,0.5925
3.34,0.018,0.597
3.36,0.0195,0.603
3.38,0.0195,0.6075
3.4,0.021,0.612
3.42,0.021,0.618
3.44,0.0225,0.6225
3.46,0.0225,0.627
3.48,0.024,0.6315
3.5,0.024,0.636
3.52,0.0255,0.642
3.54,0.0255,0.6465
3.56,0.027,0.651
3.58,0.027,0.657
3.6,0.0285,0.663
3.62,0.03,0.6675
3.64,0.0315,0.672
3.66,0.033,0.6765
3.68,0.033,0.6825
3.7,0.0345,0.687
3.72,0.0375,0.6915
3.74,0.039,0.696
3.76,0.0405,0.7005
3.78,0.0405,0.7065
3.8,0.0435,0.711
3.82,0.0465,0.7155
3.84,0.048,0.7215
3.86,0.0495,0.726
3.88,0.0525,0.7305
3.9,0.0555,0.7365
3.92,0.0585,0.741
3.94,0.0615,0.747
3.96,0.0645,0.7515
3.98,0.069,0.756
4,0.0705,0.762
4.02,0.0765,0.7665
4.04,0.0795,0.771
4.06,0.0855,0.7755
4.08,0.0885,0.78
4.1,0.0945,0.786
4.12,0.099,0.7905
4.14,0.108,0.7965
4.16,0.111,0.801
4.18,0.1155,0.807
4.2,0.123,0.8115
4.22,0.1305,0.816
4.24,0.1365,0.8205
4.26,0.1425,0.825
4.28,0.15,0.831
4.3,0.1575,0.8355
4.32,0.165,0.84
